Protein.Group	Protein.Names	Genes	First.Protein.Description	N.Sequences	N.Proteotypic.Sequences	/home/lerost/DIA_tools_manuscript/input_files/PXD026600/RD139_Wide_UPS1_0_25fmol_inj2.mzML	/home/lerost/DIA_tools_manuscript/input_files/PXD026600/RD139_Wide_UPS1_1fmol_inj1.mzML	/home/lerost/DIA_tools_manuscript/input_files/PXD026600/RD139_Wide_UPS1_0_25fmol_inj3.mzML	/home/lerost/DIA_tools_manuscript/input_files/PXD026600/RD139_Wide_UPS1_1fmol_inj2.mzML	/home/lerost/DIA_tools_manuscript/input_files/PXD026600/RD139_Wide_UPS1_0_25fmol_inj1.mzML	/home/lerost/DIA_tools_manuscript/input_files/PXD026600/RD139_Wide_UPS1_1fmol_inj3.mzML
DECOY_sp|P69805|PTND_ECOLI	Mannose	Mannose		1	1		2.10037e+07				
O00762ups|UBE2C_HUMAN_UPS	Ubiquitin-conjugating	Ubiquitin-conjugating		1	1		681427		1.0248e+06		637967
O76070ups|SYUG_HUMAN_UPS	Gamma-synuclein	Gamma-synuclein		1	1		1.34801e+06				
P00350	6PGD_ECOLI	gnd	6-phosphogluconate dehydrogenase, decarboxylating	27	27	3.52836e+08	3.47953e+08	3.46031e+08	3.51566e+08	3.32601e+08	3.56184e+08
P00363	FRDA_ECOLI	frdA	Fumarate reductase flavoprotein subunit	28	28	2.35532e+08	2.41858e+08	2.33884e+08	2.45928e+08	2.28959e+08	2.37948e+08
P00370	DHE4_ECOLI	gdhA	NADP-specific glutamate dehydrogenase	10	10	1.50823e+07	1.47244e+07	1.48232e+07	1.52123e+07	1.45117e+07	1.47282e+07
P00393	DHNA_ECOLI	ndh	NADH dehydrogenase	19	19	2.51447e+07	2.51759e+07	2.44984e+07	2.61659e+07	2.45419e+07	2.57322e+07
P00448	SODM_ECOLI	sodA	Superoxide dismutase [Mn]	8	8	4.28286e+07	4.40453e+07	4.4217e+07	4.3038e+07	4.17405e+07	4.49966e+07
P00452	RIR1_ECOLI	nrdA	Ribonucleoside-diphosphate reductase 1 subunit alpha	32	32	4.3144e+07	4.36147e+07	4.27426e+07	4.24818e+07	4.37497e+07	4.19387e+07
P00490	PHSM_ECOLI	malP	Maltodextrin phosphorylase	31	31	3.97649e+07	3.85752e+07	3.80656e+07	3.82124e+07	3.85934e+07	3.88445e+07
P00509	AAT_ECOLI	aspC	Aspartate aminotransferase	28	28	9.54461e+07	1.01035e+08	9.8359e+07	1.01762e+08	9.90298e+07	1.00802e+08
P00547	KHSE_ECOLI	thrB	Homoserine kinase	3	3	3.423e+06	3.97287e+06	3.91264e+06	3.13525e+06	3.56704e+06	4.03878e+06
P00550	PTM3C_ECOLI	mtlA	PTS system mannitol-specific EIICBA component	4	4	3.50066e+06	3.85126e+06	4.06704e+06	3.96348e+06	4.1696e+06	4.09672e+06
P00561	AK1H_ECOLI	thrA	Bifunctional aspartokinase/homoserine dehydrogenase 1	12	12	1.3631e+07	1.46816e+07	1.50022e+07	1.49151e+07	1.45784e+07	1.48759e+07
P00562	AK2H_ECOLI	metL	Bifunctional aspartokinase/homoserine dehydrogenase 2	14	14	7.32095e+06	7.73562e+06	7.66155e+06	7.53043e+06	7.6752e+06	7.65075e+06
P00579	RPOD_ECOLI	rpoD	RNA polymerase sigma factor RpoD	19	18	1.40551e+08	1.46525e+08	1.41024e+08	1.4162e+08	1.38016e+08	1.39033e+08
P00582	DPO1_ECOLI	polA	DNA polymerase I	42	42	2.47392e+07	2.45672e+07	2.51182e+07	2.48247e+07	2.46916e+07	2.44982e+07
P00803	LEP_ECOLI	lepB	Signal peptidase I	6	6	1.2815e+07	1.28141e+07	1.28879e+07	1.2784e+07	1.24723e+07	1.33957e+07
P00805	ASPG2_ECOLI	ansB	L-asparaginase 2	20	20	1.42072e+08	1.43274e+08	1.41399e+08	1.42432e+08	1.38822e+08	1.39566e+08
P00811	AMPC_ECOLI	ampC	Beta-lactamase	5	5	4.62004e+06	4.01191e+06	4.0265e+06	3.42916e+06	4.56897e+06	4.59083e+06
P00861	DCDA_ECOLI	lysA	Diaminopimelate decarboxylase	2	2	1.30108e+06	1.7559e+06	1.2384e+06	1.59332e+06	1.37998e+06	1.59183e+06
P00864	CAPP_ECOLI	ppc	Phosphoenolpyruvate carboxylase	42	42	6.55856e+07	6.52626e+07	6.51798e+07	6.48894e+07	6.65828e+07	6.63081e+07
P00887	AROH_ECOLI	aroH	Phospho-2-dehydro-3-deoxyheptonate aldolase, Trp-sensitive	4	4	8.04824e+06	8.13286e+06	7.64294e+06	7.8369e+06	7.36119e+06	8.44536e+06
P00888	AROF_ECOLI	aroF	Phospho-2-dehydro-3-deoxyheptonate aldolase, Tyr-sensitive	8	7	1.15367e+07	1.12592e+07	1.07085e+07	1.09001e+07	1.05643e+07	1.11994e+07
P00892	ILVG_ECOLI	ilvG	Acetolactate synthase isozyme 2 large subunit	1	1	467434		612644	440233	487178	508240
P00894	ILVH_ECOLI	ilvH	Acetolactate synthase isozyme 3 small subunit	3	3	1.73325e+06	1.67899e+06	1.35112e+06	1.32323e+06	1.60883e+06	1.79157e+06
P00914	PHR_ECOLI	phrB	Deoxyribodipyrimidine photo-lyase	4	4	2.32876e+06	2.17127e+06	2.01374e+06	2.08174e+06	2.27573e+06	1.8885e+06
