Protein.Group	Protein.Names	Genes	First.Protein.Description	N.Sequences	N.Proteotypic.Sequences	/home/lerost/DIA_tools_manuscript/input_files/PXD026600/RD139_Wide_UPS1_0_1fmol_inj3.mzML	/home/lerost/DIA_tools_manuscript/input_files/PXD026600/RD139_Wide_UPS1_0_1fmol_inj2.mzML	/home/lerost/DIA_tools_manuscript/input_files/PXD026600/RD139_Wide_UPS1_2_5fmol_inj1.mzML	/home/lerost/DIA_tools_manuscript/input_files/PXD026600/RD139_Wide_UPS1_2_5fmol_inj3.mzML	/home/lerost/DIA_tools_manuscript/input_files/PXD026600/RD139_Wide_UPS1_0_1fmol_inj1.mzML	/home/lerost/DIA_tools_manuscript/input_files/PXD026600/RD139_Wide_UPS1_2_5fmol_inj2.mzML
DECOY_sp|P29745|PEPT_ECOLI	Peptidase	Peptidase		1	1	7.14363e+07	1.01882e+08				9.69851e+07
DECOY_sp|P37005|LAST_ECOLI	Uncharacterized	Uncharacterized		1	1				1.88144e+06	2.85242e+06	1.67069e+06
DECOY_sp|P63389|YHES_ECOLI	Uncharacterized	Uncharacterized		1	1	9.93992e+06	1.00674e+07			9.73516e+06	1.03593e+07
DECOY_sp|P76344|ZINT_ECOLI	Metal-binding	Metal-binding		1	1						3.13827e+06
O00762ups|UBE2C_HUMAN_UPS	Ubiquitin-conjugating	Ubiquitin-conjugating		2	2			2.83548e+06	3.33879e+06		2.64643e+06
O76070ups|SYUG_HUMAN_UPS	Gamma-synuclein	Gamma-synuclein		3	3			5.79331e+06	4.74131e+06		5.24209e+06
P00350	6PGD_ECOLI	gnd	6-phosphogluconate dehydrogenase, decarboxylating	27	27	3.25993e+08	3.21545e+08	3.12683e+08	3.08017e+08	3.09887e+08	3.11273e+08
P00363	FRDA_ECOLI	frdA	Fumarate reductase flavoprotein subunit	28	28	2.38586e+08	2.26308e+08	2.35824e+08	2.36469e+08	2.28877e+08	2.3765e+08
P00370	DHE4_ECOLI	gdhA	NADP-specific glutamate dehydrogenase	10	10	1.41744e+07	1.32984e+07	1.32494e+07	1.29648e+07	1.4492e+07	1.30596e+07
P00393	DHNA_ECOLI	ndh	NADH dehydrogenase	16	16	2.46509e+07	2.43107e+07	2.26465e+07	2.32714e+07	2.46253e+07	2.32095e+07
P00448	SODM_ECOLI	sodA	Superoxide dismutase [Mn]	8	8	4.67056e+07	4.25488e+07	4.36128e+07	4.37618e+07	4.46945e+07	4.14262e+07
P00452	RIR1_ECOLI	nrdA	Ribonucleoside-diphosphate reductase 1 subunit alpha	32	32	3.99596e+07	4.03192e+07	4.04631e+07	3.97052e+07	4.07247e+07	3.94848e+07
P00490	PHSM_ECOLI	malP	Maltodextrin phosphorylase	30	30	3.32054e+07	3.46824e+07	3.35419e+07	3.32882e+07	3.43538e+07	3.3037e+07
P00509	AAT_ECOLI	aspC	Aspartate aminotransferase	27	27	9.47913e+07	9.28153e+07	9.15189e+07	9.12667e+07	9.16545e+07	9.16285e+07
P00547	KHSE_ECOLI	thrB	Homoserine kinase	2	2		3.76125e+06	4.27204e+06	3.84977e+06	3.86099e+06	3.9471e+06
P00550	PTM3C_ECOLI	mtlA	PTS system mannitol-specific EIICBA component	4	4	3.71499e+06	3.61508e+06	3.73876e+06	3.73426e+06	3.65777e+06	3.68762e+06
P00561	AK1H_ECOLI	thrA	Bifunctional aspartokinase/homoserine dehydrogenase 1	12	12	1.38102e+07	1.38051e+07	1.44759e+07	1.43455e+07	1.38625e+07	1.39648e+07
P00562	AK2H_ECOLI	metL	Bifunctional aspartokinase/homoserine dehydrogenase 2	14	14	7.321e+06	7.67929e+06	7.36813e+06	7.44338e+06	7.69886e+06	7.44372e+06
P00579	RPOD_ECOLI	rpoD	RNA polymerase sigma factor RpoD	21	20	1.31633e+08	1.3487e+08	1.35977e+08	1.34517e+08	1.39342e+08	1.34523e+08
P00582	DPO1_ECOLI	polA	DNA polymerase I	40	40	2.29752e+07	2.30348e+07	2.29393e+07	2.23345e+07	2.2638e+07	2.31736e+07
P00803	LEP_ECOLI	lepB	Signal peptidase I	7	7	1.42305e+07	1.36412e+07	1.43622e+07	1.48675e+07	1.32319e+07	1.36486e+07
P00805	ASPG2_ECOLI	ansB	L-asparaginase 2	19	19	1.26672e+08	1.2796e+08	1.24789e+08	1.22599e+08	1.25346e+08	1.23521e+08
P00811	AMPC_ECOLI	ampC	Beta-lactamase	4	4	2.15507e+06	2.1425e+06	2.20359e+06	2.15465e+06	1.88395e+06	2.08171e+06
P00861	DCDA_ECOLI	lysA	Diaminopimelate decarboxylase	2	2	1.47731e+06	999243	927913	1.02854e+06	1.25313e+06	1.23951e+06
P00864	CAPP_ECOLI	ppc	Phosphoenolpyruvate carboxylase	40	40	6.25113e+07	6.21562e+07	6.33847e+07	6.35318e+07	6.09608e+07	6.24666e+07
P00887	AROH_ECOLI	aroH	Phospho-2-dehydro-3-deoxyheptonate aldolase, Trp-sensitive	4	4	6.32275e+06	6.56633e+06	5.85441e+06	5.61205e+06	6.34243e+06	6.05347e+06
P00888	AROF_ECOLI	aroF	Phospho-2-dehydro-3-deoxyheptonate aldolase, Tyr-sensitive	7	6	9.85973e+06	9.8841e+06	9.5979e+06	9.84406e+06	9.94821e+06	9.90827e+06
P00892	ILVG_ECOLI	ilvG	Acetolactate synthase isozyme 2 large subunit	1	1		627697	545813		501750	522527
P00894	ILVH_ECOLI	ilvH	Acetolactate synthase isozyme 3 small subunit	3	3	702337	817258	738860	655952	769629	815374
P00914	PHR_ECOLI	phrB	Deoxyribodipyrimidine photo-lyase	4	4	855861	791348	846059	735692	791344	779044
P00915ups|CAH1_HUMAN_UPS	Carbonic	Carbonic		1	1			2.12208e+06	2.13567e+06		1.80941e+06
P00918ups|CAH2_HUMAN_UPS	Carbonic	Carbonic		6	6			8.86424e+06	9.39441e+06		9.29711e+06
P00926	SDHD_ECOLI	dsdA	D-serine dehydratase	4	4	2.03784e+06	2.16389e+06	2.15694e+06	2.05506e+06	2.14624e+06	2.36341e+06
P00934	THRC_ECOLI	thrC	Threonine synthase	14	14	1.6227e+07	1.70209e+07	1.70394e+07	1.67525e+07	1.68961e+07	1.62893e+07
P00935	METB_ECOLI	metB	Cystathionine gamma-synthase	2	2	2.671e+06	2.30441e+06	2.47978e+06	2.52589e+06	2.31443e+06	2.25905e+06
P00936	CYAA_ECOLI	cyaA	Adenylate cyclase	3	3			2.64638e+06	2.40454e+06	2.5241e+06	2.23644e+06
P00946	MANA_ECOLI	manA	Mannose-6-phosphate isomerase	11	11	4.80223e+07	4.77047e+07	4.96571e+07	4.8579e+07	4.92795e+07	4.78662e+07
P00954	SYW_ECOLI	trpS	Tryptophan--tRNA ligase	11	11	8.17964e+07	8.1847e+07	8.86044e+07	8.72985e+07	7.94684e+07	8.86071e+07
P00956	SYI_ECOLI	ileS	Isoleucine--tRNA ligase	38	38	1.08247e+08	1.07506e+08	1.10651e+08	1.10419e+08	1.10268e+08	1.12567e+08
P00957	SYA_ECOLI	alaS	Alanine--tRNA ligase	41	41	1.18391e+08	1.1713e+08	1.18145e+08	1.19185e+08	1.16443e+08	1.19317e+08
P00959	SYM_ECOLI	metG	Methionine--tRNA ligase	32	32	6.02901e+07	5.99972e+07	5.91373e+07	5.86922e+07	6.02917e+07	6.02288e+07
P00960	SYGA_ECOLI	glyQ	Glycine--tRNA ligase alpha subunit	9	9	2.90564e+07	2.99327e+07	2.80514e+07	2.65011e+07	2.99445e+07	2.71346e+07
P00961	SYGB_ECOLI	glyS	Glycine--tRNA ligase beta subunit	39	39	7.18262e+07	7.09881e+07	7.05194e+07	7.10572e+07	7.1572e+07	7.1806e+07
P00962	SYQ_ECOLI	glnS	Glutamine--tRNA ligase	28	28	7.37658e+07	7.21532e+07	7.5157e+07	7.74467e+07	7.25323e+07	7.44342e+07
P00963	ASNA_ECOLI	asnA	Aspartate--ammonia ligase	9	9	9.12557e+07	9.38552e+07	8.98546e+07	9.23068e+07	8.6996e+07	9.30965e+07
P00968	CARB_ECOLI	carB	Carbamoyl-phosphate synthase large chain	32	32	1.77484e+07	1.73182e+07	1.78841e+07	1.75485e+07	1.77006e+07	1.75787e+07
P01008ups|ANT3_HUMAN_UPS	Antithrombin-III	Antithrombin-III		5	5			6.97288e+06	6.85885e+06		6.73337e+06
P01112ups|RASH_HUMAN_UPS	GTPase	GTPase		1	1				2.01473e+06		1.76477e+06
P01127ups|PDGFB_HUMAN_UPS	Platelet-derived	Platelet-derived		2	2			8.1019e+06	8.82506e+06		9.01603e+06
P01375ups|TNFA_HUMAN_UPS	Tumor	Tumor		2	2			4.26458e+06	3.82049e+06		4.35313e+06
P01579ups|IFNG_HUMAN_UPS	Interferon	Interferon		2	2			6.43591e+06	6.52205e+06		5.96737e+06
P02144ups|MYG_HUMAN_UPS	Myoglobin	Myoglobin		4	4			4.9857e+06	4.77881e+06		5.19693e+06
P02358	RS6_ECOLI	rpsF	30S ribosomal protein S6	11	11	8.35024e+08	8.16244e+08	9.13236e+08	8.75589e+08	8.21142e+08	9.23799e+08
P02359	RS7_ECOLI	rpsG	30S ribosomal protein S7	14	14	9.12473e+08	8.9706e+08	9.08794e+08	9.10849e+08	8.82297e+08	9.0434e+08
P02413	RL15_ECOLI	rplO	50S ribosomal protein L15	13	13	7.64423e+08	7.65142e+08	7.67994e+08	7.52782e+08	7.68851e+08	7.68064e+08
P02768ups|ALBU_HUMAN_UPS	Serum	Serum		7	7			1.18411e+07	1.15432e+07		1.16964e+07
P02787ups|TRFE_HUMAN_UPS	Serotransferrin	Serotransferrin		4	4			3.34204e+06	3.57962e+06		3.0236e+06
P02788ups|TRFL_HUMAN_UPS	Lactotransferrin	Lactotransferrin		8	8			6.80051e+06	6.87044e+06		7.0653e+06
P02918	PBPA_ECOLI	mrcA	Penicillin-binding protein 1A	9	9	2.43816e+06	2.56536e+06	2.70762e+06	2.34205e+06	2.26757e+06	2.35037e+06
P02919	PBPB_ECOLI	mrcB	Penicillin-binding protein 1B	15	15	2.05102e+07	2.16911e+07	2.30016e+07	2.14358e+07	2.12017e+07	2.07272e+07
P02925	RBSB_ECOLI	rbsB	D-ribose-binding periplasmic protein	14	14	3.87668e+07	3.94147e+07	3.88224e+07	3.87096e+07	3.91508e+07	3.88635e+07
P02930	TOLC_ECOLI	tolC	Outer membrane protein TolC	15	15	1.19409e+08	1.16474e+08	1.16329e+08	1.1689e+08	1.13656e+08	1.17072e+08
P02931	OMPF_ECOLI	ompF	Outer membrane protein F	17	16	1.99068e+08	1.9902e+08	1.85769e+08	1.83734e+08	1.93491e+08	1.87579e+08
P02932	PHOE_ECOLI	phoE	Outer membrane pore protein E	1	1	1.21993e+06	1.03367e+06	1.0709e+06	965814	1.1288e+06	1.0946e+06
P02942	MCP1_ECOLI	tsr	Methyl-accepting chemotaxis protein I	13	13	3.86132e+07	4.066e+07	4.47939e+07	4.3069e+07	4.06647e+07	4.15294e+07
P02943	LAMB_ECOLI	lamB	Maltoporin	9	9	7.60611e+06	7.09974e+06	8.61098e+06	8.29276e+06	8.04155e+06	8.34502e+06
P03004	DNAA_ECOLI	dnaA	Chromosomal replication initiator protein DnaA	12	12	5.43875e+06	5.72208e+06	5.07119e+06	5.69461e+06	5.56363e+06	5.07155e+06
P03007	DPO3E_ECOLI	dnaQ	DNA polymerase III subunit epsilon	3	3	1.10043e+06	1.4381e+06	1.22623e+06	1.34878e+06	1.42956e+06	1.48323e+06
P03018	UVRD_ECOLI	uvrD	DNA helicase II	10	10	7.96683e+06	8.15688e+06	7.64131e+06	7.58657e+06	7.94518e+06	7.59452e+06
P03023	LACI_ECOLI	lacI	Lactose operon repressor	2	2	2.74749e+06	2.7632e+06	2.73502e+06	2.4124e+06	2.43401e+06	2.46154e+06
