Protein.Group	Protein.Names	Genes	First.Protein.Description	N.Sequences	N.Proteotypic.Sequences	/home/lerost/DIA_tools_manuscript/input_files/PXD026600/RD139_Wide_UPS1_5fmol_inj3.mzML	/home/lerost/DIA_tools_manuscript/input_files/PXD026600/RD139_Wide_UPS1_1fmol_inj1.mzML	/home/lerost/DIA_tools_manuscript/input_files/PXD026600/RD139_Wide_UPS1_5fmol_inj2.mzML	/home/lerost/DIA_tools_manuscript/input_files/PXD026600/RD139_Wide_UPS1_1fmol_inj2.mzML	/home/lerost/DIA_tools_manuscript/input_files/PXD026600/RD139_Wide_UPS1_5fmol_inj1.mzML	/home/lerost/DIA_tools_manuscript/input_files/PXD026600/RD139_Wide_UPS1_1fmol_inj3.mzML
O00762ups|UBE2C_HUMAN_UPS	Ubiquitin-conjugating	Ubiquitin-conjugating		3	3	6.93689e+06	881132	6.89058e+06	1.66728e+06	6.89663e+06	953059
O76070ups|SYUG_HUMAN_UPS	Gamma-synuclein	Gamma-synuclein		4	4	2.16862e+07	2.36672e+06	2.29434e+07		2.29433e+07	3.56124e+06
P00167ups|CYB5_HUMAN_UPS	Cytochrome	Cytochrome		3	3	1.13008e+07		1.18757e+07		1.27558e+07	
P00350	6PGD_ECOLI	gnd	6-phosphogluconate dehydrogenase, decarboxylating	27	27	3.72025e+08	3.61199e+08	3.65374e+08	3.57298e+08	3.63114e+08	3.64051e+08
P00363	FRDA_ECOLI	frdA	Fumarate reductase flavoprotein subunit	28	28	2.43179e+08	2.35586e+08	2.3857e+08	2.29637e+08	2.37854e+08	2.40196e+08
P00370	DHE4_ECOLI	gdhA	NADP-specific glutamate dehydrogenase	11	11	1.6342e+07	1.73506e+07	1.65179e+07	1.7381e+07	1.65275e+07	1.76989e+07
P00393	DHNA_ECOLI	ndh	NADH dehydrogenase	19	19	3.64634e+07	3.61976e+07	3.57004e+07	3.71897e+07	3.55398e+07	3.61544e+07
P00448	SODM_ECOLI	sodA	Superoxide dismutase [Mn]	8	8	4.58158e+07	4.45735e+07	4.49082e+07	4.3357e+07	4.37313e+07	4.60321e+07
P00452	RIR1_ECOLI	nrdA	Ribonucleoside-diphosphate reductase 1 subunit alpha	33	33	4.43679e+07	4.34452e+07	4.333e+07	4.26325e+07	4.38182e+07	4.35373e+07
P00490	PHSM_ECOLI	malP	Maltodextrin phosphorylase	31	31	4.08727e+07	3.99836e+07	4.09196e+07	3.98981e+07	4.05615e+07	4.06248e+07
P00509	AAT_ECOLI	aspC	Aspartate aminotransferase	27	27	1.05165e+08	1.03048e+08	1.06338e+08	1.0304e+08	1.04583e+08	1.02677e+08
P00547	KHSE_ECOLI	thrB	Homoserine kinase	3	3	3.87934e+06	3.72835e+06	3.61667e+06	3.35741e+06	3.53079e+06	3.91007e+06
P00550	PTM3C_ECOLI	mtlA	PTS system mannitol-specific EIICBA component	5	5	3.5174e+06	3.67158e+06	3.99799e+06	3.71593e+06	3.68564e+06	3.84858e+06
P00561	AK1H_ECOLI	thrA	Bifunctional aspartokinase/homoserine dehydrogenase 1	12	12	1.4081e+07	1.52698e+07	1.45404e+07	1.51767e+07	1.47899e+07	1.55904e+07
P00562	AK2H_ECOLI	metL	Bifunctional aspartokinase/homoserine dehydrogenase 2	18	18	7.73276e+06	7.69224e+06	7.74305e+06	7.70345e+06	7.66599e+06	7.71157e+06
P00579	RPOD_ECOLI	rpoD	RNA polymerase sigma factor RpoD	20	19	8.35139e+07	8.56234e+07	8.7689e+07	8.34247e+07	8.6768e+07	8.37345e+07
P00582	DPO1_ECOLI	polA	DNA polymerase I	45	45	2.35401e+07	2.42111e+07	2.41589e+07	2.40259e+07	2.44407e+07	2.38913e+07
P00803	LEP_ECOLI	lepB	Signal peptidase I	6	6	1.51929e+07	1.55597e+07	1.54725e+07	1.53059e+07	1.39784e+07	1.61786e+07
P00805	ASPG2_ECOLI	ansB	L-asparaginase 2	20	20	1.34907e+08	1.41302e+08	1.40476e+08	1.40312e+08	1.43051e+08	1.36777e+08
P00811	AMPC_ECOLI	ampC	Beta-lactamase	4	4	5.64453e+06	5.98886e+06	5.96379e+06	5.26771e+06	6.4792e+06	6.3339e+06
P00861	DCDA_ECOLI	lysA	Diaminopimelate decarboxylase	2	2	986718	1.08925e+06	501272	957312	885038	873401
P00864	CAPP_ECOLI	ppc	Phosphoenolpyruvate carboxylase	42	42	6.22332e+07	6.30508e+07	6.40015e+07	6.18735e+07	6.28251e+07	6.35321e+07
P00887	AROH_ECOLI	aroH	Phospho-2-dehydro-3-deoxyheptonate aldolase, Trp-sensitive	4	4	9.11486e+06	7.94099e+06	8.93954e+06	8.10858e+06	9.16361e+06	8.37114e+06
P00888	AROF_ECOLI	aroF	Phospho-2-dehydro-3-deoxyheptonate aldolase, Tyr-sensitive	8	7	1.15658e+07	1.17632e+07	1.21754e+07	1.21511e+07	1.19758e+07	1.13692e+07
P00892	ILVG_ECOLI	ilvG	Acetolactate synthase isozyme 2 large subunit	3	3	526518	558230	571551	575864	558186	636032
P00894	ILVH_ECOLI	ilvH	Acetolactate synthase isozyme 3 small subunit	3	3	1.23811e+06	1.33011e+06	1.3457e+06	1.27989e+06	1.13688e+06	1.38519e+06
P00914	PHR_ECOLI	phrB	Deoxyribodipyrimidine photo-lyase	4	4	1.5685e+06	1.55934e+06	1.55236e+06	1.41967e+06	1.50076e+06	1.39675e+06
P00915ups|CAH1_HUMAN_UPS	Carbonic	Carbonic		6	6	8.58629e+06		8.26493e+06		7.80431e+06	1.47282e+06
P00918ups|CAH2_HUMAN_UPS	Carbonic	Carbonic		8	8	1.86742e+07	3.42958e+06	1.84962e+07	3.5505e+06	1.90247e+07	3.38988e+06
P00926	SDHD_ECOLI	dsdA	D-serine dehydratase	4	4	1.90987e+06	2.30649e+06	2.05807e+06	2.25104e+06	2.2017e+06	2.43713e+06
P00934	THRC_ECOLI	thrC	Threonine synthase	14	14	1.87161e+07	1.91444e+07	1.91666e+07	1.85884e+07	1.86757e+07	1.88375e+07
P00935	METB_ECOLI	metB	Cystathionine gamma-synthase	2	2	2.37344e+06	2.16804e+06	2.87284e+06	2.14355e+06	2.19155e+06	2.13397e+06
P00936	CYAA_ECOLI	cyaA	Adenylate cyclase	2	2	3.41243e+06	3.12916e+06		2.94049e+06	3.20539e+06	2.74764e+06
P00946	MANA_ECOLI	manA	Mannose-6-phosphate isomerase	11	11	5.21372e+07	5.44064e+07	5.06655e+07	5.25528e+07	5.28324e+07	5.19504e+07
P00954	SYW_ECOLI	trpS	Tryptophan--tRNA ligase	13	13	8.96285e+07	9.49175e+07	9.3553e+07	9.83947e+07	9.4553e+07	1.00622e+08
P00956	SYI_ECOLI	ileS	Isoleucine--tRNA ligase	39	39	1.24026e+08	1.22539e+08	1.225e+08	1.22847e+08	1.22213e+08	1.2273e+08
P00957	SYA_ECOLI	alaS	Alanine--tRNA ligase	41	41	1.33439e+08	1.34072e+08	1.32923e+08	1.32392e+08	1.33124e+08	1.31278e+08
P00959	SYM_ECOLI	metG	Methionine--tRNA ligase	35	35	6.45434e+07	6.32431e+07	6.32188e+07	6.29312e+07	6.47746e+07	6.36248e+07
P00960	SYGA_ECOLI	glyQ	Glycine--tRNA ligase alpha subunit	10	10	3.43005e+07	3.51082e+07	3.39218e+07	3.36272e+07	3.4714e+07	3.36752e+07
P00961	SYGB_ECOLI	glyS	Glycine--tRNA ligase beta subunit	38	38	8.0112e+07	7.85016e+07	7.96529e+07	7.90979e+07	7.83519e+07	7.94124e+07
P00962	SYQ_ECOLI	glnS	Glutamine--tRNA ligase	31	31	8.46405e+07	8.17413e+07	8.55653e+07	8.12008e+07	8.48852e+07	8.34208e+07
P00963	ASNA_ECOLI	asnA	Aspartate--ammonia ligase	10	10	1.12889e+08	1.05578e+08	1.09898e+08	1.08189e+08	1.07902e+08	1.0919e+08
