protein	RD139_Wide_UPS1_25fmol_inj1	RD139_Wide_UPS1_25fmol_inj2	RD139_Wide_UPS1_25fmol_inj3	RD139_Wide_UPS1_50fmol_inj1	RD139_Wide_UPS1_50fmol_inj2	RD139_Wide_UPS1_50fmol_inj3	isna	pval	log2_FC	Bonf_pass	BH_thr	BH_pass	FC_pass	Organism	Human	Ecoli	Yeast	FDR_pass	Search Engine	Quantitation	Imputation	FC_thr
P02787ups|TRFE_HUMAN_UPS	547300038.7452338	544017789.8160855	540144584.5491657	1031969913.4867816	1034362167.6222095	1039044026.1102794	0	7.603445650435275e-09	-0.9286022609568063	True	2.4813895781637717e-05	True	True	Human	True	False	False	True	diann231	directlfq	min	0.5
O00762ups|UBE2C_HUMAN_UPS	182963291.9573885	189291651.2599333	186784643.16261685	372792691.5955354	378019948.1488837	374104831.6815223	0	2.2244989393810997e-07	-1.008796812215931	True	4.9627791563275434e-05	True	True	Human	True	False	False	True	diann231	directlfq	min	0.5
P01127ups|PDGFB_HUMAN_UPS	151326241.17013532	156870109.31645235	156680904.9439548	302888546.11981755	299663120.1118821	296596975.9386245	0	5.942874551122006e-07	-0.9517097913106188	True	7.444168734491316e-05	True	True	Human	True	False	False	True	diann231	directlfq	min	0.5
P19319	86528.91406249994	107235.62765544336	64128.48857249768	1060382.9018026115	1022160.973586454	1021795.777142688	3	7.576287242745704e-07	-3.589441725461513	True	9.925558312655087e-05	True	True	Ecoli	False	True	False	True	diann231	directlfq	min	0.5
P04040ups|CATA_HUMAN_UPS	223119487.0636983	230710887.08583468	219118145.8576797	461355299.4576355	450248156.079462	458565825.6828288	0	1.0597998705295474e-06	-1.025786096587174	True	0.00012406947890818859	True	True	Human	True	False	False	True	diann231	directlfq	min	0.5
P00918ups|CAH2_HUMAN_UPS	493559018.6227045	493967924.6743346	470150202.5961302	1000125572.3904748	1013026642.5701532	1027297199.9252974	0	1.178626815905454e-06	-1.060613367803625	True	0.00014888337468982633	True	True	Human	True	False	False	True	diann231	directlfq	min	0.5
Q06830ups|PRDX1_HUMAN_UPS	206184848.0270441	203441156.1352245	214213942.0758815	420009851.6790696	427328777.25733006	419579243.9481815	0	1.5425823753996593e-06	-1.022075165124511	True	0.00017369727047146405	True	True	Human	True	False	False	True	diann231	directlfq	min	0.5
P12081ups|SYHC_HUMAN_UPS	652188564.8398631	643829028.535991	681913857.0875702	1311616577.3803236	1342484678.7932546	1326158222.8883586	0	2.6670730355645745e-06	-1.0088700580656111	True	0.00019851116625310174	True	True	Human	True	False	False	True	diann231	directlfq	min	0.5
P55957ups|BID_HUMAN_UPS	85844278.49704643	86986300.82202165	83946904.29324389	159137213.63161847	160135139.41977742	158351062.6835833	0	2.8885254894626367e-06	-0.8953548667135949	True	0.00022332506203473945	True	True	Human	True	False	False	True	diann231	directlfq	min	0.5
P06396ups|GELS_HUMAN_UPS	281109988.3563607	297702886.5140691	298110431.5668699	562091131.495728	580038467.6651103	567858260.4552166	0	3.651948785136688e-06	-0.9634635037316621	True	0.00024813895781637717	True	True	Human	True	False	False	True	diann231	directlfq	min	0.5
P06732ups|KCRM_HUMAN_UPS	403317995.21695817	433465527.03784907	404511230.9410776	831163037.3791889	835318031.3766323	809504365.2498969	0	7.977250459423217e-06	-0.9961570942341239	True	0.0002729528535980149	True	True	Human	True	False	False	True	diann231	directlfq	min	0.5
P01375ups|TNFA_HUMAN_UPS	116805828.3796809	119999132.94591027	127027118.01927982	240974667.71202475	252695714.1229949	245472748.420924	0	1.1950606184155876e-05	-1.0225810078360948	True	0.00029776674937965266	True	True	Human	True	False	False	True	diann231	directlfq	min	0.5
