protein	RD139_Wide_UPS1_2_5fmol_inj1	RD139_Wide_UPS1_2_5fmol_inj2	RD139_Wide_UPS1_2_5fmol_inj3	RD139_Wide_UPS1_50fmol_inj1	RD139_Wide_UPS1_50fmol_inj2	RD139_Wide_UPS1_50fmol_inj3	isna	pval	log2_FC	Bonf_pass	BH_thr	BH_pass	FC_pass	Organism	Human	Ecoli	Yeast	FDR_pass	Search Engine	Quantitation	Imputation	FC_thr
P41159ups|LEP_HUMAN_UPS	14424494.025601266	10063847.186230376	11672325.45417104	242625694.40495968	240584689.80546	237531863.21027023	0	4.434476740668842e-08	-4.3169902326699665	True	2.5e-05	True	True	Human	True	False	False	True	diann231	directlfq	min	1.660964047443681
P08263ups|GSTA1_HUMAN_UPS	30057819.497603983	37774773.2999888	42863761.55865844	709707525.0984207	728175555.4453238	720189507.04039	0	2.3461306434735027e-07	-4.285063776546199	True	5e-05	True	True	Human	True	False	False	True	diann231	directlfq	min	1.660964047443681
P62937ups|PPIA_HUMAN_UPS	86103.67481883755	10934566.49917536	68330.00098733944	340398990.10134643	352521099.20615494	344991829.68750185	2	2.877717221762088e-07	-6.548410913607433	True	7.500000000000001e-05	True	True	Human	True	False	False	True	diann231	directlfq	min	1.660964047443681
P61626ups|LYSC_HUMAN_UPS	86103.67481883755	61075.43359375002	6948800.364510677	148526097.09751105	153214164.37243143	156507675.88267592	2	1.319293087501148e-06	-6.012982740501081	True	0.0001	True	True	Human	True	False	False	True	diann231	directlfq	min	1.660964047443681
P69905ups|HBA_HUMAN_UPS	15420824.55797298	19463162.44332356	15709969.799845437	332851660.1930155	324304536.0578184	330207644.1004265	0	1.7119125477818158e-06	-4.286544833560696	True	0.000125	True	True	Human	True	False	False	True	diann231	directlfq	min	1.660964047443681
P02144ups|MYG_HUMAN_UPS	24794614.2263501	26695176.87880451	26513740.26754221	537522385.9847364	543283726.1366006	543879861.0810246	0	3.0889727419587275e-06	-4.380477645025662	True	0.00015000000000000001	True	True	Human	True	False	False	True	diann231	directlfq	min	1.660964047443681
P01112ups|RASH_HUMAN_UPS	26562482.353168342	15493881.81711018	19276685.79633241	289471666.5927422	280746659.32100266	296931974.8362884	0	4.092867400778659e-06	-3.8215454733032694	True	0.00017500000000000003	True	True	Human	True	False	False	True	diann231	directlfq	min	1.660964047443681
P06732ups|KCRM_HUMAN_UPS	34151779.11096943	38844084.699889936	35079248.577499725	705404441.5276167	712835186.0742943	699109383.9572035	0	4.2576473989389435e-06	-4.292152852829523	True	0.0002	True	True	Human	True	False	False	True	diann231	directlfq	min	1.660964047443681
P23256	867575.6233196515	865388.6375107133	850587.3123564144	107033.54522348211	106900.3885843928	100529.33828442528	3	4.2625440471110795e-06	3.0383922516030544	True	0.000225	True	True	Ecoli	False	True	False	True	diann231	directlfq	min	1.660964047443681
O76070ups|SYUG_HUMAN_UPS	38688289.28938226	40861574.820056826	32247027.7208457	658530850.328231	678315087.7746648	666299108.9813439	0	5.076980553728766e-06	-4.163314905873526	True	0.00025	True	True	Human	True	False	False	True	diann231	directlfq	min	1.660964047443681
P63165ups|SUMO1_HUMAN_UPS	86103.67481883755	61075.43359375002	17618647.84497749	321603881.7591408	345283319.0260133	347366060.81009376	2	1.3589977153845042e-05	-5.835169287725054	True	0.000275	True	True	Human	True	False	False	True	diann231	directlfq	min	1.660964047443681
P04040ups|CATA_HUMAN_UPS	16980089.48472899	24697488.350029588	22270235.764912136	401079437.5764573	384338377.641605	388261890.62891626	0	1.536939842732579e-05	-4.197999910540269	True	0.00030000000000000003	True	True	Human	True	False	False	True	diann231	directlfq	min	1.660964047443681
P55957ups|BID_HUMAN_UPS	8273231.833540955	9313740.092356406	7050609.908959281	139643403.9282726	134743011.9249342	134849915.84168428	0	1.916131426364611e-05	-4.054001663786774	True	0.000325	True	True	Human	True	False	False	True	diann231	directlfq	min	1.660964047443681
P06396ups|GELS_HUMAN_UPS	18580843.07041077	21763001.21144393	29095375.190358706	480143424.0654728	491479147.2038482	467111279.1378493	0	2.326931949546549e-05	-4.372905192828418	True	0.00035000000000000005	True	True	Human	True	False	False	True	diann231	directlfq	min	1.660964047443681
P09211ups|GSTP1_HUMAN_UPS	11123142.76638075	10373357.49806477	68330.00098733944	193623752.36141	199825422.30005428	196334692.88067845	1	2.3764662700768574e-05	-4.773434094732898	True	0.000375	True	True	Human	True	False	False	True	diann231	directlfq	min	1.660964047443681
P68871ups|HBB_HUMAN_UPS	32412935.659120485	35308780.337698564	34946759.03776619	392376325.624185	388146955.24668974	381172674.2981979	0	2.724193966891705e-05	-3.50016736216015	False	0.0004	True	True	Human	True	False	False	True	diann231	directlfq	min	1.660964047443681
P02741ups|CRP_HUMAN_UPS	86103.67481883755	61075.43359375002	68330.00098733944	64224992.17942411	65285012.60394216	65280296.52347487	3	2.9320940359205086e-05	-9.819957279278205	False	0.00042500000000000003	True	True	Human	True	False	False	True	diann231	directlfq	min	1.660964047443681
P16083ups|NQO2_HUMAN_UPS	22387981.98402953	22778235.798827488	20922040.996932205	368508300.383586	359268081.4866885	363372688.5409595	0	3.0502801290212226e-05	-4.045310417027263	False	0.00045	True	True	Human	True	False	False	True	diann231	directlfq	min	1.660964047443681
P02788ups|TRFL_HUMAN_UPS	55280164.270800486	59569741.80499402	65786817.401907645	1120251747.0852268	1125238614.5538898	1154565143.700538	0	3.0892903340550015e-05	-4.234395170406018	False	0.00047500000000000005	True	True	Human	True	False	False	True	diann231	directlfq	min	1.660964047443681
P00167ups|CYB5_HUMAN_UPS	16142179.98230256	15520995.457389165	68330.00098733944	317227438.7062336	311053762.7967522	318285402.4771832	1	3.551816748951218e-05	-4.898716149037268	False	0.0005	True	True	Human	True	False	False	True	diann231	directlfq	min	1.660964047443681
O00762ups|UBE2C_HUMAN_UPS	13849279.60410151	11535592.57971766	13122090.405012827	325308593.43625075	321607988.8273283	315515674.99493307	0	3.675339126407776e-05	-4.643493763632808	False	0.0005250000000000001	True	True	Human	True	False	False	True	diann231	directlfq	min	1.660964047443681
P00918ups|CAH2_HUMAN_UPS	41056628.42294601	39759679.22440778	34276922.00065431	860692778.5022258	854236255.3019704	833731299.3579196	0	3.896682773243017e-05	-4.468864239677533	False	0.00055	True	True	Human	True	False	False	True	diann231	directlfq	min	1.660964047443681
P19319	86103.67481883755	61075.43359375002	68330.00098733944	2003520.5008333216	1922915.8694160855	1941822.3688098253	3	4.8194519678377127e-05	-4.767111725393252	False	0.0005750000000000001	True	True	Ecoli	False	True	False	True	diann231	directlfq	min	1.660964047443681
P63284	837134450.3531305	845005436.2056433	841276614.3464239	898756700.9156076	907769775.6352288	901623189.4460602	0	7.248890252293252e-05	-0.10192912263368265	False	0.0006000000000000001	True	False	Ecoli	False	True	False	True	diann231	directlfq	min	1.660964047443681
Q06830ups|PRDX1_HUMAN_UPS	19423196.981351186	14885564.480325269	17650520.274673123	350864753.1365031	363846505.0904557	366786778.088548	0	7.858269201779722e-05	-4.379505747861003	False	0.000625	True	True	Human	True	False	False	True	diann231	directlfq	min	1.660964047443681
P10599ups|THIO_HUMAN_UPS	86103.67481883755	61075.43359375002	68330.00098733944	48231700.89292015	49474681.12017004	48125885.43711023	3	7.922693170255594e-05	-9.402345404131234	False	0.00065	True	True	Human	True	False	False	True	diann231	directlfq	min	1.660964047443681
P15559ups|NQO1_HUMAN_UPS	13809451.76546327	15180742.37826744	16435019.37721839	316277986.5100873	306023921.40799385	317873341.9538496	0	8.733787505349618e-05	-4.371364501094634	False	0.000675	True	True	Human	True	False	False	True	diann231	directlfq	min	1.660964047443681
P05413ups|FABPH_HUMAN_UPS	27432219.77181817	29547932.59050496	27745025.398355547	404747628.1955018	397287302.67587584	411863371.21533376	0	8.807669621276002e-05	-3.8407129917853857	False	0.0007000000000000001	True	True	Human	True	False	False	True	diann231	directlfq	min	1.660964047443681
P01579ups|IFNG_HUMAN_UPS	17205120.677530754	19370827.39078003	16771301.98486915	288421104.72161645	295834862.2707468	301106546.6636392	0	9.254354380959681e-05	-4.052782480905739	False	0.0007250000000000001	True	True	Human	True	False	False	True	diann231	directlfq	min	1.660964047443681
P08758ups|ANXA5_HUMAN_UPS	33431319.671578947	31101519.18018869	31313429.174681246	580642071.3576127	564704521.3024294	561840441.0971527	0	9.39204736051085e-05	-4.154755055030919	False	0.00075	True	True	Human	True	False	False	True	diann231	directlfq	min	1.660964047443681
P0AAI9	171051638.40219155	168120526.47384325	173818038.0623893	203581680.11959705	207775853.44158465	206352617.5444905	0	0.00011897337077929065	-0.26799876575871157	False	0.000775	True	False	Ecoli	False	True	False	True	diann231	directlfq	min	1.660964047443681
P01008ups|ANT3_HUMAN_UPS	38310434.33645288	40526396.7440683	44278716.80830193	667072481.459024	698862220.5358956	674956338.232129	0	0.00014485223227403215	-4.051114289323916	False	0.0008	True	True	Human	True	False	False	True	diann231	directlfq	min	1.660964047443681
P12081ups|SYHC_HUMAN_UPS	53500100.81048399	53593417.123716585	48769244.39117567	1119813591.7121892	1171504651.6085703	1137394019.1424787	0	0.00016678343493866673	-4.459318642987595	False	0.0008250000000000001	True	True	Human	True	False	False	True	diann231	directlfq	min	1.660964047443681
P0A9C5	1447729030.980231	1443098021.3398857	1461866576.912998	1339733887.8886952	1334317826.8573687	1317385444.0722418	0	0.00019719375281339682	0.12500018000796254	False	0.0008500000000000001	True	False	Ecoli	False	True	False	True	diann231	directlfq	min	1.660964047443681
P0A850	9084163725.735598	9123739498.065445	9162391452.408691	8613087729.464111	8571872584.544666	8582665421.501426	0	0.00019923858415696907	0.08705135582749882	False	0.000875	True	False	Ecoli	False	True	False	True	diann231	directlfq	min	1.660964047443681
