Protein.Group	Protein.Names	Genes	First.Protein.Description	N.Sequences	N.Proteotypic.Sequences	/home/lerost/DIA_tools_manuscript/input_files/PXD026600/RD139_Wide_UPS1_0_1fmol_inj3.mzML	/home/lerost/DIA_tools_manuscript/input_files/PXD026600/RD139_Wide_UPS1_0_1fmol_inj2.mzML	/home/lerost/DIA_tools_manuscript/input_files/PXD026600/RD139_Wide_UPS1_2_5fmol_inj1.mzML	/home/lerost/DIA_tools_manuscript/input_files/PXD026600/RD139_Wide_UPS1_2_5fmol_inj3.mzML	/home/lerost/DIA_tools_manuscript/input_files/PXD026600/RD139_Wide_UPS1_0_1fmol_inj1.mzML	/home/lerost/DIA_tools_manuscript/input_files/PXD026600/RD139_Wide_UPS1_2_5fmol_inj2.mzML	isna	pval	log2_FC	Bonf_pass	BH_thr	BH_pass	FC_pass	Organism	Human	Ecoli	Yeast	FDR_pass	Search Engine	Quantitation	Imputation	FC_thr
P08263ups|GSTA1_HUMAN_UPS	Glutathione	Glutathione		5	5.0	130950.0	163616.0	3998010.0	3979880.0	154869.0	4006300.0	3	1.5906822729610958e-09	-4.736876112102206	True	2.587991718426501e-05	True	True	Human	True	False	False	True	diann231	manual	min	1.660964047443681
P06732ups|KCRM_HUMAN_UPS	Creatine	Creatine		9	9.0	130950.0	163616.0	3392010.0	3344900.0	154869.0	3396920.0	3	1.7244321350134994e-07	-4.494923242459892	True	5.175983436853002e-05	True	True	Human	True	False	False	True	diann231	manual	min	1.660964047443681
P67244	YQHA_ECOLI	yqhA	UPF0114 protein YqhA	2	2.0	1902750.0	1828100.0	1291670.0	1244280.0	1863340.0	1233640.0	0	3.483653684023682e-05	0.5695216369722974	False	7.763975155279505e-05	True	False	Ecoli	False	True	False	True	diann231	manual	min	1.660964047443681
P01579ups|IFNG_HUMAN_UPS	Interferon	Interferon		2	2.0	130950.0	163616.0	6303890.0	6422730.0	154869.0	6486850.0	3	4.423078332610489e-05	-5.417861807017213	False	0.00010351966873706004	True	True	Human	True	False	False	True	diann231	manual	min	1.660964047443681
P68871ups|HBB_HUMAN_UPS	Hemoglobin	Hemoglobin		4	4.0	2696590.0	3203110.0	7021250.0	6581700.0	2808830.0	6538210.0	0	6.253429333395947e-05	-1.20964565805891	False	0.00012939958592132506	True	False	Human	True	False	False	True	diann231	manual	min	1.660964047443681
P02788ups|TRFL_HUMAN_UPS	Lactotransferrin	Lactotransferrin		8	8.0	130950.0	163616.0	6227710.0	6465160.0	154869.0	6436980.0	3	0.00011402723905408593	-5.4115692715470995	False	0.0001552795031055901	True	True	Human	True	False	False	True	diann231	manual	min	1.660964047443681
P16083ups|NQO2_HUMAN_UPS	Ribosyldihydronicotinamide	Ribosyldihydronicotinamide		3	3.0	130950.0	163616.0	1520780.0	1622600.0	154869.0	1596300.0	3	0.00014370352399921169	-3.398605274019979	False	0.0001811594202898551	True	True	Human	True	False	False	True	diann231	manual	min	1.660964047443681
P0A9L3	FKBB_ECOLI	fklB	FKBP-type 22 kDa peptidyl-prolyl cis-trans isomerase	9	9.0	138101000.0	139782000.0	121040000.0	123819000.0	138017000.0	122640000.0	0	0.00016151423430613846	0.17849636074139993	False	0.00020703933747412008	True	False	Ecoli	False	True	False	True	diann231	manual	min	1.660964047443681
P00918ups|CAH2_HUMAN_UPS	Carbonic	Carbonic		6	6.0	130950.0	163616.0	10072400.0	9623670.0	154869.0	9794500.0	3	0.00016910886771532232	-6.03599741759046	False	0.0002329192546583851	True	True	Human	True	False	False	True	diann231	manual	min	1.660964047443681
P0A9Y6	CSPC_ECOLI	cspC	Cold shock-like protein CspC	8	8.0	1179660000.0	1153220000.0	1015560000.0	1017940000.0	1171630000.0	1040830000.0	0	0.00021797184352641296	0.18894070806650634	False	0.0002587991718426501	True	False	Ecoli	False	True	False	True	diann231	manual	min	1.660964047443681
P15559ups|NQO1_HUMAN_UPS	NAD(P)H	NAD(P)H		3	3.0	130950.0	163616.0	3150740.0	3349920.0	154869.0	3270440.0	3	0.00024520942898498147	-4.442336600767763	False	0.00028467908902691516	True	True	Human	True	False	False	True	diann231	manual	min	1.660964047443681
P02768ups|ALBU_HUMAN_UPS	Serum	Serum		6	6.0	130950.0	163616.0	12284300.0	12469500.0	154869.0	11799900.0	3	0.00026675229607247094	-6.345761154727217	False	0.0003105590062111802	True	True	Human	True	False	False	True	diann231	manual	min	1.660964047443681
P10636-8ups|TAU_HUMAN_UPS	Microtubule-associated	Microtubule-associated		3	3.0	130950.0	163616.0	4554780.0	4366020.0	154869.0	4283930.0	3	0.00029661181874035775	-4.876798512910994	False	0.00033643892339544517	True	True	Human	True	False	False	True	diann231	manual	min	1.660964047443681
P08758ups|ANXA5_HUMAN_UPS	Annexin	Annexin		6	6.0	130950.0	163616.0	2878470.0	2986140.0	154869.0	2770770.0	3	0.0003915210295592685	-4.264075280281408	False	0.0003623188405797102	False	True	Human	True	False	False	False	diann231	manual	min	1.660964047443681
P55957ups|BID_HUMAN_UPS	BH3-interacting	BH3-interacting		2	2.0	130950.0	163616.0	6598070.0	6333040.0	154869.0	6799080.0	3	0.00041421691204009223	-5.456148559360317	False	0.00038819875776397513	False	True	Human	True	False	False	False	diann231	manual	min	1.660964047443681
P05413ups|FABPH_HUMAN_UPS	Fatty	Fatty		3	3.0	130950.0	163616.0	7039840.0	6900370.0	154869.0	7391840.0	3	0.000418380461342531	-5.568766324862613	False	0.00041407867494824016	False	True	Human	True	False	False	False	diann231	manual	min	1.660964047443681
P0A6M8	EFG_ECOLI	fusA	Elongation factor G	42	42.0	814563000.0	809986000.0	846777000.0	844905000.0	806147000.0	853341000.0	0	0.000423040259419536	-0.06630922332740048	False	0.0004399585921325052	False	False	Ecoli	False	True	False	False	diann231	manual	min	1.660964047443681
P04040ups|CATA_HUMAN_UPS	Catalase	Catalase		2	2.0	130950.0	163616.0	2164160.0	2346700.0	154869.0	2242080.0	3	0.00043541019565175105	-3.9093313545151864	False	0.0004658385093167702	False	True	Human	True	False	False	False	diann231	manual	min	1.660964047443681
P01127ups|PDGFB_HUMAN_UPS	Platelet-derived	Platelet-derived		2	2.0	130950.0	163616.0	15817200.0	16717200.0	154869.0	15459600.0	3	0.0005525163674296909	-6.738597767886873	False	0.0004917184265010353	False	True	Human	True	False	False	False	diann231	manual	min	1.660964047443681
P01375ups|TNFA_HUMAN_UPS	Tumor	Tumor		2	2.0	130950.0	163616.0	3495480.0	3347040.0	154869.0	3643350.0	3	0.0005658753154313712	-4.544190275274903	False	0.0005175983436853002	False	True	Human	True	False	False	False	diann231	manual	min	1.660964047443681
P03018	UVRD_ECOLI	uvrD	DNA helicase II	10	10.0	7808440.0	7816560.0	7318950.0	7367540.0	7773100.0	7274270.0	0	0.0006171296191321486	0.09146340033191722	False	0.0005434782608695652	False	False	Ecoli	False	True	False	False	diann231	manual	min	1.660964047443681
O00762ups|UBE2C_HUMAN_UPS	Ubiquitin-conjugating	Ubiquitin-conjugating		2	2.0	130950.0	163616.0	2186470.0	2370010.0	154869.0	2192330.0	3	0.0006237796234072247	-3.9084487532665033	False	0.0005693581780538303	False	True	Human	True	False	False	False	diann231	manual	min	1.660964047443681
P02144ups|MYG_HUMAN_UPS	Myoglobin	Myoglobin		4	4.0	130950.0	163616.0	5168780.0	4804860.0	154869.0	5215160.0	3	0.0006547634573205396	-5.0787516035846245	False	0.0005952380952380953	False	True	Human	True	False	False	False	diann231	manual	min	1.660964047443681
P0ABU0	MENB_ECOLI	menB	1,4-Dihydroxy-2-naphthoyl-CoA synthase	7	7.0	26185400.0	25933300.0	28310900.0	28572400.0	25670200.0	28414300.0	0	0.0006708163197323631	-0.13294084317429974	False	0.0006211180124223604	False	False	Ecoli	False	True	False	False	diann231	manual	min	1.660964047443681
P01008ups|ANT3_HUMAN_UPS	Antithrombin-III	Antithrombin-III		5	5.0	130950.0	163616.0	7533810.0	8154480.0	154869.0	7513900.0	3	0.0007503409196181759	-5.690004694567768	False	0.0006469979296066253	False	True	Human	True	False	False	False	diann231	manual	min	1.660964047443681
P0A9Q9	DHAS_ECOLI	asd	Aspartate-semialdehyde dehydrogenase	12	12.0	89007000.0	87823700.0	93947500.0	95580400.0	87191100.0	94573200.0	0	0.0007644035168028954	-0.10574736115182932	False	0.0006728778467908903	False	False	Ecoli	False	True	False	False	diann231	manual	min	1.660964047443681
P12081ups|SYHC_HUMAN_UPS	Histidyl-tRNA	Histidyl-tRNA		10	10.0	130950.0	163616.0	5304690.0	5172130.0	154869.0	5672600.0	3	0.0007812869876520801	-5.1672260622358674	False	0.0006987577639751553	False	True	Human	True	False	False	False	diann231	manual	min	1.660964047443681
P0A7S9	RS13_ECOLI	rpsM	30S ribosomal protein S13	12	12.0	444409000.0	448402000.0	421635000.0	413516000.0	449864000.0	416526000.0	0	0.0008384541824125423	0.10124781939290534	False	0.0007246376811594204	False	False	Ecoli	False	True	False	False	diann231	manual	min	1.660964047443681
P0A9B6	E4PD_ECOLI	epd	D-erythrose-4-phosphate dehydrogenase	6	6.0	6370520.0	6567360.0	7169140.0	7279030.0	6506100.0	7285280.0	0	0.0008534487336556841	-0.16059365295345265	False	0.0007505175983436854	False	False	Ecoli	False	True	False	False	diann231	manual	min	1.660964047443681
P0AAI5	FABF_ECOLI	fabF	3-oxoacyl-[acyl-carrier-protein] synthase 2	10	10.0	168123000.0	171892000.0	190859000.0	192148000.0	173418000.0	187808000.0	0	0.0008539182344349637	-0.1528472211928985	False	0.0007763975155279503	False	False	Ecoli	False	True	False	False	diann231	manual	min	1.660964047443681
Q15843ups|NEDD8_HUMAN_UPS	NEDD8	NEDD8		2	2.0	130950.0	163616.0	2559550.0	2727660.0	154869.0	2845750.0	3	0.000913368021141017	-4.177596133684841	False	0.0008022774327122153	False	True	Human	True	False	False	False	diann231	manual	min	1.660964047443681
O76070ups|SYUG_HUMAN_UPS	Gamma-synuclein	Gamma-synuclein		3	3.0	130950.0	163616.0	15570500.0	14028700.0	154869.0	14468100.0	3	0.0009887950001760371	-6.615452215716843	False	0.0008281573498964803	False	True	Human	True	False	False	False	diann231	manual	min	1.660964047443681
P09211ups|GSTP1_HUMAN_UPS	Glutathione	Glutathione		2	2.0	130950.0	163616.0	1954430.0	2082460.0	154869.0	2188820.0	3	0.0010107689958047076	-3.792053991465417	False	0.0008540372670807454	False	True	Human	True	False	False	False	diann231	manual	min	1.660964047443681
P0ACE0	MBHM_ECOLI	hybC	Hydrogenase-2 large chain	19	19.0	63099700.0	63489100.0	61900200.0	61578000.0	63517700.0	61966700.0	0	0.0010618589047241185	0.03581726832764538	False	0.0008799171842650104	False	False	Ecoli	False	True	False	False	diann231	manual	min	1.660964047443681
P0AEX9	MALE_ECOLI	malE	Maltose-binding periplasmic protein	17	17.0	34007200.0	34623500.0	31988000.0	32542800.0	34549400.0	32337400.0	0	0.0013084187508745993	0.0910697108854604	False	0.0009057971014492754	False	False	Ecoli	False	True	False	False	diann231	manual	min	1.660964047443681
P00915ups|CAH1_HUMAN_UPS	Carbonic	Carbonic		3	3.0	130950.0	163616.0	2002120.0	2238870.0	154869.0	2019310.0	3	0.0013266067094180514	-3.800047409559068	False	0.0009316770186335404	False	True	Human	True	False	False	False	diann231	manual	min	1.660964047443681
P02787ups|TRFE_HUMAN_UPS	Serotransferrin	Serotransferrin		5	5.0	130950.0	163616.0	2846170.0	3141550.0	154869.0	2759990.0	3	0.0016308360933707823	-4.282721008943794	False	0.0009575569358178054	False	True	Human	True	False	False	False	diann231	manual	min	1.660964047443681
P41159ups|LEP_HUMAN_UPS	Leptin	Leptin		1	1.0	130950.0	163616.0	5720180.0	5383750.0	154869.0	4982210.0	3	0.0016388413990573083	-5.161561891397423	False	0.0009834368530020705	False	True	Human	True	False	False	False	diann231	manual	min	1.660964047443681
P45464	LPOA_ECOLI	lpoA	Penicillin-binding protein activator LpoA	15	15.0	26408100.0	26633900.0	25520800.0	25633800.0	26497400.0	25818900.0	0	0.0019017982217887127	0.04730783089370168	False	0.0010093167701863354	False	False	Ecoli	False	True	False	False	diann231	manual	min	1.660964047443681
P0A7L3	RL20_ECOLI	rplT	50S ribosomal protein L20	7	7.0	665090000.0	691910000.0	579763000.0	577848000.0	698476000.0	602956000.0	0	0.0020219047319741785	0.22343239557348568	False	0.0010351966873706005	False	False	Ecoli	False	True	False	False	diann231	manual	min	1.660964047443681
