protein	RD139_Wide_UPS1_1fmol_inj1	RD139_Wide_UPS1_1fmol_inj2	RD139_Wide_UPS1_1fmol_inj3	RD139_Wide_UPS1_5fmol_inj1	RD139_Wide_UPS1_5fmol_inj2	RD139_Wide_UPS1_5fmol_inj3	isna	pval	log2_FC	Bonf_pass	BH_thr	BH_pass	FC_pass	Organism	Human	Ecoli	Yeast	FDR_pass	Search Engine	Quantitation	Imputation	FC_thr
P39187	6641994.748952503	6601693.589519155	6608597.716556496	141570.8865724902	164410.9426536909	162160.01112067368	3	7.750925609051075e-09	5.406215625509793	True	2.44140625e-05	True	True	Ecoli	False	True	False	True	diann231	directlfq	min	1.160964047443681
P15559ups|NQO1_HUMAN_UPS	2983972.3608021885	2898955.706279868	3722808.565431247	20123660.666470915	20235232.96177418	19303672.510257885	0	2.1226557069669e-06	-2.6348578717593183	True	4.8828125e-05	True	True	Human	True	False	False	True	diann231	directlfq	min	1.160964047443681
P12081ups|SYHC_HUMAN_UPS	15230422.90296632	18619743.339921214	17194267.266444035	88093602.11025463	88554089.72153735	92223869.22938275	0	3.363454268041744e-06	-2.3970916211039537	True	7.324218750000001e-05	True	True	Human	True	False	False	True	diann231	directlfq	min	1.160964047443681
P02144ups|MYG_HUMAN_UPS	4235020.613614999	6001237.348788361	7428537.261196103	39846934.05940054	39928152.12534613	36979671.83705296	0	1.6356438218648354e-05	-2.724532414015939	True	9.765625e-05	True	True	Human	True	False	False	True	diann231	directlfq	min	1.160964047443681
P61626ups|LYSC_HUMAN_UPS	77362.52583292259	160710.31249999988	154134.99906173706	15587439.415591268	15226887.841514785	15570472.455814105	3	2.609549419957946e-05	-6.88588993693047	False	0.0001220703125	True	True	Human	True	False	False	True	diann231	directlfq	min	1.160964047443681
P37325	1032940.731824006	994041.8939067431	1047392.2434302098	141570.8865724902	164410.9426536909	162160.01112067368	3	3.318480502444521e-05	2.715275471232758	False	0.00014648437500000002	True	True	Ecoli	False	True	False	True	diann231	directlfq	min	1.160964047443681
P68871ups|HBB_HUMAN_UPS	13855238.859817969	12387117.816030506	12676247.772919362	34467724.6119335	33600202.686278924	32141171.95357819	0	4.775421298294819e-05	-1.3644816313072679	False	0.00017089843750000002	True	True	Human	True	False	False	True	diann231	directlfq	min	1.160964047443681
O00762ups|UBE2C_HUMAN_UPS	1591301.884137757	2809080.9285774087	1650398.70863464	11425687.727589088	10393959.796002382	11431704.83578229	0	7.56900497236279e-05	-2.458219618779866	False	0.0001953125	True	True	Human	True	False	False	True	diann231	directlfq	min	1.160964047443681
P0A6E1	77362.52583292259	160710.31249999988	154134.99906173706	927854.476132188	997599.160265054	877339.8175037478	3	8.376761659898107e-05	-2.8371751618858525	False	0.0002197265625	True	True	Ecoli	False	True	False	True	diann231	directlfq	min	1.160964047443681
P06732ups|KCRM_HUMAN_UPS	9160781.35002129	9304101.219216578	9020305.052759532	41033494.62831628	42537979.71245522	42126282.85211644	0	0.00012030569235746153	-2.193232675402908	False	0.000244140625	True	True	Human	True	False	False	True	diann231	directlfq	min	1.160964047443681
P41159ups|LEP_HUMAN_UPS	77362.52583292259	1996349.545856727	1928522.0998957213	13663012.545554675	15831101.616091	15653029.11000456	1	0.00013516878456792654	-3.4957572154717096	False	0.0002685546875	True	True	Human	True	False	False	True	diann231	directlfq	min	1.160964047443681
Q47083	77362.52583292259	160710.31249999988	154134.99906173706	1505124.026759774	1657570.8325443345	1665638.211511939	3	0.00014262486811922854	-3.621834930377015	False	0.00029296875000000004	True	True	Ecoli	False	True	False	True	diann231	directlfq	min	1.160964047443681
P60785	186055242.9373528	188051910.94887167	188274665.39986837	201062593.0191437	200053963.1375212	202857962.58890325	0	0.0002433387069282816	-0.10293772892820167	False	0.0003173828125	True	False	Ecoli	False	True	False	True	diann231	directlfq	min	1.160964047443681
