protein	RD139_Wide_UPS1_50fmol_inj1	RD139_Wide_UPS1_50fmol_inj2	RD139_Wide_UPS1_50fmol_inj3	RD139_Wide_UPS1_5fmol_inj1	RD139_Wide_UPS1_5fmol_inj2	RD139_Wide_UPS1_5fmol_inj3	isna	pval	log2_FC	Bonf_pass	BH_thr	BH_pass	FC_pass	Organism	Human	Ecoli	Yeast	FDR_pass	Search Engine	Quantitation	Imputation	FC_thr
Q06830ups|PRDX1_HUMAN_UPS	360484509.04488885	365015607.75786215	366628276.8542806	39731892.93578848	45002872.02133925	39194362.50920896	0	2.5705450219128775e-08	3.1395552597192786	True	2.4715768660405338e-05	True	True	Human	True	False	False	True	diann231	directlfq	min	1.660964047443681
P06396ups|GELS_HUMAN_UPS	497225827.99935055	503837093.9686303	495963817.4490408	58530116.91005715	50484958.48083764	50656125.44573098	0	2.845034719598743e-08	3.2289239615608545	True	4.9431537320810677e-05	True	True	Human	True	False	False	True	diann231	directlfq	min	1.660964047443681
P02787ups|TRFE_HUMAN_UPS	957436226.626165	943662441.9822624	963781923.5932248	101459911.3244624	94553088.15709078	82927615.91306269	0	5.118437315113626e-08	3.360445089260809	True	7.414730598121603e-05	True	True	Human	True	False	False	True	diann231	directlfq	min	1.660964047443681
P62937ups|PPIA_HUMAN_UPS	399596037.2870377	409005036.2844525	402850124.8124174	36668187.11025942	33022958.2552151	27205777.933942445	0	7.2747413628011e-08	3.644141621308045	True	9.886307464162135e-05	True	True	Human	True	False	False	True	diann231	directlfq	min	1.660964047443681
P01127ups|PDGFB_HUMAN_UPS	271935088.171208	273585543.3502757	278807184.35551304	32466755.87263563	29094424.11419637	34797306.93651838	0	1.6187800853272498e-07	3.0967345327298856	True	0.00012357884330202668	True	True	Human	True	False	False	True	diann231	directlfq	min	1.660964047443681
P01375ups|TNFA_HUMAN_UPS	225018484.02346525	229007194.9769517	232163969.07884997	21511553.289309014	26184889.931483183	26021077.797129758	0	4.2702948562419707e-07	3.2185278996619116	True	0.00014829461196243205	True	True	Human	True	False	False	True	diann231	directlfq	min	1.660964047443681
P55957ups|BID_HUMAN_UPS	144170100.63734716	142812999.2372099	144956368.76006085	15290864.447785852	18021319.66522269	14594333.441365091	0	6.965062422018245e-07	3.1725353001287306	True	0.0001730103806228374	True	True	Human	True	False	False	True	diann231	directlfq	min	1.660964047443681
P16083ups|NQO2_HUMAN_UPS	383685010.981455	383265796.47820455	391761051.3626375	41832673.282815054	36946678.18796831	38318819.04720076	0	1.438592408488502e-06	3.306731409417441	True	0.0001977261492832427	True	True	Human	True	False	False	True	diann231	directlfq	min	1.660964047443681
P62988ups|UBIQ_HUMAN_UPS	40332517.9207048	40675078.848655775	41760639.69550421	7624971.766013432	6662030.484841902	5732144.1474029245	0	1.8339643591377343e-06	2.6164849787767976	True	0.00022244191794364805	True	True	Human	True	False	False	True	diann231	directlfq	min	1.660964047443681
P99999ups|CYC_HUMAN_UPS	174284613.76043668	180210932.2702113	172954350.3583107	18449892.8412596	18046890.41644172	22563571.78477854	0	2.8792805919841575e-06	3.158772121193644	True	0.00024715768660405336	True	True	Human	True	False	False	True	diann231	directlfq	min	1.660964047443681
P02144ups|MYG_HUMAN_UPS	558913261.0232507	570646889.5027747	554561530.4567299	58585759.80424401	65512112.39438237	57743432.33346162	0	2.9426215790797867e-06	3.2112445352879178	True	0.00027187345526445873	True	True	Human	True	False	False	True	diann231	directlfq	min	1.660964047443681
O00762ups|UBE2C_HUMAN_UPS	317419907.3757338	321542889.4130405	318162822.5729116	33920373.577424	32683265.288999688	33540567.432038307	0	4.56317920896097e-06	3.2566293272916407	True	0.0002965892239248641	True	True	Human	True	False	False	True	diann231	directlfq	min	1.660964047443681
P02753ups|RETBP_HUMAN_UPS	44205797.35129347	42754434.39346676	44003422.89124365	120292.31445352928	2277152.0999381463	135394.08643503988	2	5.485942413623604e-06	5.69226758603844	True	0.0003213049925852694	True	True	Human	True	False	False	True	diann231	directlfq	min	1.660964047443681
P68871ups|HBB_HUMAN_UPS	416829334.9967588	406058629.9666994	404597500.5739223	61686469.5722481	65424109.816999964	58962523.80784879	0	6.025301179444566e-06	2.7217645074058554	True	0.0003460207612456748	True	True	Human	True	False	False	True	diann231	directlfq	min	1.660964047443681
P63279ups|UBC9_HUMAN_UPS	160327898.75957143	156560667.25829625	149815717.29953092	17185855.72388684	26208972.98298287	16327658.232887318	0	6.697392116412445e-06	2.966162560163711	True	0.0003707365299060801	True	True	Human	True	False	False	True	diann231	directlfq	min	1.660964047443681
P63165ups|SUMO1_HUMAN_UPS	332495965.2875521	326723905.4114289	332741162.46583146	32215058.0825877	26266050.76380993	39459664.29384924	0	6.747668546879303e-06	3.3403019590973835	True	0.0003954522985664854	True	True	Human	True	False	False	True	diann231	directlfq	min	1.660964047443681
P69905ups|HBA_HUMAN_UPS	336290205.1659913	347643685.65800333	335638812.01486427	35129037.56808122	30275429.865701724	36902533.31864121	0	7.158895744200712e-06	3.316987877950999	True	0.0004201680672268908	True	True	Human	True	False	False	True	diann231	directlfq	min	1.660964047443681
P01112ups|RASH_HUMAN_UPS	316646066.7428551	308620842.3701382	316930739.9907166	35234890.164603695	31795888.69427569	33133880.446427613	0	1.3936494357777335e-05	3.233656154303595	True	0.0004448838358872961	True	True	Human	True	False	False	True	diann231	directlfq	min	1.660964047443681
P05413ups|FABPH_HUMAN_UPS	425005995.2559426	407802737.1724453	402573329.00786495	53392511.75826454	46884363.305518255	41632589.74074301	0	2.31561613003306e-05	3.121914567251947	True	0.00046959960454770146	True	True	Human	True	False	False	True	diann231	directlfq	min	1.660964047443681
P02788ups|TRFL_HUMAN_UPS	1205933767.158232	1215564785.0151117	1245491046.374956	131678255.98565713	122579879.40450424	135688737.96430984	0	2.7245954281100525e-05	3.23324668518248	False	0.0004943153732081067	True	True	Human	True	False	False	True	diann231	directlfq	min	1.660964047443681
P06732ups|KCRM_HUMAN_UPS	754563330.8031865	736317839.6619488	730327014.0156181	74907792.3729665	80117715.14073913	81444191.06676464	0	4.237337211823506e-05	3.231617384542427	False	0.0005190311418685121	True	True	Human	True	False	False	True	diann231	directlfq	min	1.660964047443681
P10636-8ups|TAU_HUMAN_UPS	537729694.5508239	515609434.9009321	530019200.39415467	51677348.70390888	44287722.80591716	47900215.56622437	0	4.449379564637663e-05	3.460197354145024	False	0.0005437469105289175	True	True	Human	True	False	False	True	diann231	directlfq	min	1.660964047443681
P01579ups|IFNG_HUMAN_UPS	325134147.4798741	317359510.4937816	314178024.9049595	28427201.29844124	25909638.50311646	27753591.59674191	0	5.8565914165138187e-05	3.5427379218102617	False	0.0005684626791893229	True	True	Human	True	False	False	True	diann231	directlfq	min	1.660964047443681
P00709ups|LALBA_HUMAN_UPS	90267906.5647598	80494871.71559961	82616503.26718895	10397880.7627275	146792.7228844422	135394.08643503988	2	6.635375488969304e-05	4.56830588224418	False	0.0005931784478497282	True	True	Human	True	False	False	True	diann231	directlfq	min	1.660964047443681
P00918ups|CAH2_HUMAN_UPS	905693313.3410646	892334446.3266073	917038827.713054	91668316.98244946	89708116.17441341	91063505.6687926	0	6.950360225095363e-05	3.3169774623018324	False	0.0006178942165101335	True	True	Human	True	False	False	True	diann231	directlfq	min	1.660964047443681
O76070ups|SYUG_HUMAN_UPS	692717621.4942921	694286592.6110401	691411984.3050512	89107063.7822431	86672984.51738292	70274093.80611563	0	6.991249471739216e-05	3.0784368714848918	False	0.0006426099851705388	True	True	Human	True	False	False	True	diann231	directlfq	min	1.660964047443681
P01344ups|IGF2_HUMAN_UPS	75742959.99999996	78760739.14909212	76343105.90229979	6323979.931000943	5259152.122045096	135394.08643503988	1	7.310928563847314e-05	4.300072729563945	False	0.0006673257538309441	True	True	Human	True	False	False	True	diann231	directlfq	min	1.660964047443681
P76342	101918.42968750012	89800.96036732593	102607.82938710706	5104601.337620892	5016665.363766005	5189692.025099603	3	8.986681348307608e-05	-5.700999843510687	False	0.0006920415224913496	True	True	Ecoli	False	True	False	True	diann231	directlfq	min	1.660964047443681
P12081ups|SYHC_HUMAN_UPS	1174091814.5742052	1209652415.20477	1210065819.7514098	119597722.62596785	119910318.46359792	123330652.03080098	0	0.00010606275575802611	3.308113939170798	False	0.0007167572911517549	True	True	Human	True	False	False	True	diann231	directlfq	min	1.660964047443681
P61769ups|B2MG_HUMAN_UPS	27768335.59754227	30455741.077488355	32324122.880926996	4009236.663734125	3329270.853613711	135394.08643503988	1	0.00010712539191296507	3.5987524797414143	False	0.0007414730598121602	True	True	Human	True	False	False	True	diann231	directlfq	min	1.660964047443681
P08263ups|GSTA1_HUMAN_UPS	729135273.1373483	757443223.6098974	730784105.3030964	81905145.04029377	85796916.86360763	81304106.22707617	0	0.00014262967278846678	3.1545913264561136	False	0.0007661888284725655	True	True	Human	True	False	False	True	diann231	directlfq	min	1.660964047443681
P04040ups|CATA_HUMAN_UPS	413146472.6576038	391702292.3895279	411834780.6050327	48239504.64160325	42395026.11650918	42361064.01216466	0	0.00014463937880372857	3.1935036127789758	False	0.0007909045971329708	True	True	Human	True	False	False	True	diann231	directlfq	min	1.660964047443681
P15559ups|NQO1_HUMAN_UPS	319929086.7458384	334888715.93507534	331329807.38111794	35340972.92290706	36615603.76834436	33792736.604783066	0	0.0001547119085007076	3.221155315511245	False	0.0008156203657933762	True	True	Human	True	False	False	True	diann231	directlfq	min	1.660964047443681
Q46835	2511170.4957871274	2891337.588152667	2878361.683313057	6002931.782403912	6346283.474869877	5749854.8331368845	0	0.0001935952855287543	-1.1280613633388998	False	0.0008403361344537816	True	False	Ecoli	False	True	False	True	diann231	directlfq	min	1.660964047443681
P51965ups|UB2E1_HUMAN_UPS	32925030.84788386	31348697.51173473	32372843.66212779	120292.31445352928	146792.7228844422	135394.08643503988	3	0.00020637624993479937	7.907660797969912	False	0.0008650519031141869	True	True	Human	True	False	False	True	diann231	directlfq	min	1.660964047443681
P00167ups|CYB5_HUMAN_UPS	336192406.77335674	310463817.2700961	326712835.3701203	42960118.332394905	41466718.25025959	34840184.919771805	0	0.00022139991367300534	3.0287917373528312	False	0.0008897676717745922	True	True	Human	True	False	False	True	diann231	directlfq	min	1.660964047443681
P01008ups|ANT3_HUMAN_UPS	706477277.7384079	755211033.005893	717380400.9056873	82685322.72146308	79922650.08067483	70442716.84168744	0	0.0002552136397521578	3.22499600184188	False	0.0009144834404349976	True	True	Human	True	False	False	True	diann231	directlfq	min	1.660964047443681
P08758ups|ANXA5_HUMAN_UPS	610478558.5017425	618010647.6299298	587226557.3498467	59212689.88091224	59194106.06296916	58764538.669338405	0	0.0002867027458485891	3.3573212699038137	False	0.0009391992090954029	True	True	Human	True	False	False	True	diann231	directlfq	min	1.660964047443681
P02741ups|CRP_HUMAN_UPS	62272814.150382265	66069767.58172571	64461581.5915391	120292.31445352928	146792.7228844422	135394.08643503988	3	0.00029405370438451075	8.904006535568598	False	0.0009639149777558082	True	True	Human	True	False	False	True	diann231	directlfq	min	1.660964047443681
P10599ups|THIO_HUMAN_UPS	51468918.92891889	51124516.58068899	48699344.06635974	120292.31445352928	146792.7228844422	135394.08643503988	3	0.00029978871586460365	8.554213467581429	False	0.0009886307464162135	True	True	Human	True	False	False	True	diann231	directlfq	min	1.660964047443681
P01133ups|EGF_HUMAN_UPS	61333163.69760977	62298137.221049234	52420200.37687983	5777576.699951003	146792.7228844422	6985135.15645686	1	0.00031169107598877285	3.7694919886357012	False	0.001013346515076619	True	True	Human	True	False	False	True	diann231	directlfq	min	1.660964047443681
