protein	RD139_Wide_UPS1_0_25fmol_inj1	RD139_Wide_UPS1_0_25fmol_inj2	RD139_Wide_UPS1_0_25fmol_inj3	RD139_Wide_UPS1_50fmol_inj1	RD139_Wide_UPS1_50fmol_inj2	RD139_Wide_UPS1_50fmol_inj3	isna	pval	log2_FC	Bonf_pass	BH_thr	BH_pass	FC_pass	Organism	Human	Ecoli	Yeast	FDR_pass	Search Engine	Quantitation	Imputation	FC_thr
Q06830ups|PRDX1_HUMAN_UPS	144268.2620184846	159304.8945739293	147215.3873970595	442281107.8911706	443646693.8611256	441801274.5975245	3	1.5586997220364227e-06	-11.524222321384464	True	2.450980392156863e-05	True	True	Human	True	False	False	True	diann231	directlfq	min	1.660964047443681
P62988ups|UBIQ_HUMAN_UPS	2193132.489004165	3100926.555667373	2030058.1016227915	47601607.293349385	48923337.92902257	49424578.201949775	0	2.013372277563956e-06	-4.316670823080229	True	4.901960784313726e-05	True	True	Human	True	False	False	True	diann231	directlfq	min	1.660964047443681
P01112ups|RASH_HUMAN_UPS	144268.2620184846	159304.8945739293	147215.3873970595	359324363.21417266	357398755.9242301	357806290.4931949	3	2.6742089366661478e-06	-11.218966496719931	True	7.352941176470589e-05	True	True	Human	True	False	False	True	diann231	directlfq	min	1.660964047443681
P09211ups|GSTP1_HUMAN_UPS	144268.2620184846	159304.8945739293	147215.3873970595	236063272.5227979	238639273.65478176	236796586.00901464	3	1.0444737177754912e-05	-10.624195429385155	True	9.803921568627452e-05	True	True	Human	True	False	False	True	diann231	directlfq	min	1.660964047443681
P02144ups|MYG_HUMAN_UPS	144268.2620184846	159304.8945739293	147215.3873970595	603716403.4562956	597457312.5103973	597133409.3232536	3	1.277859032299545e-05	-11.961900960867235	True	0.00012254901960784314	True	True	Human	True	False	False	True	diann231	directlfq	min	1.660964047443681
P0A749	231058474.71698165	230577787.98643035	229525790.9015756	213415395.114992	213359739.0865027	212431803.99291992	0	1.6468501054220072e-05	0.11274094447200464	True	0.00014705882352941178	True	False	Ecoli	False	True	False	True	diann231	directlfq	min	1.660964047443681
P41159ups|LEP_HUMAN_UPS	144268.2620184846	159304.8945739293	147215.3873970595	286234407.62018424	283791815.5946173	288028339.92272735	3	1.844017039013668e-05	-10.894402822974332	True	0.0001715686274509804	True	True	Human	True	False	False	True	diann231	directlfq	min	1.660964047443681
P69902	32146746.6994426	32543813.924621977	32634014.717318896	38578230.75660891	38924641.04874655	39275622.30223703	0	2.6093867321354384e-05	-0.26289856264016725	False	0.00019607843137254904	True	False	Ecoli	False	True	False	True	diann231	directlfq	min	1.660964047443681
P37747	16236279.34673588	16467097.548379185	16530996.281773329	11032519.297337957	11289823.209035344	11514897.645933028	0	2.6613718565377353e-05	0.5410539871721616	False	0.00022058823529411765	True	False	Ecoli	False	True	False	True	diann231	directlfq	min	1.660964047443681
P69905ups|HBA_HUMAN_UPS	144268.2620184846	159304.8945739293	147215.3873970595	386480225.78491	393878147.31510985	387755692.6289203	3	3.4409062173714814e-05	-11.339442686685205	False	0.00024509803921568627	True	True	Human	True	False	False	True	diann231	directlfq	min	1.660964047443681
P15559ups|NQO1_HUMAN_UPS	144268.2620184846	159304.8945739293	147215.3873970595	360792540.7986076	367872561.6194786	366637980.1443407	3	3.57924860464879e-05	-11.246591662026683	False	0.00026960784313725494	True	True	Human	True	False	False	True	diann231	directlfq	min	1.660964047443681
P00918ups|CAH2_HUMAN_UPS	144268.2620184846	159304.8945739293	147215.3873970595	980900875.9675472	1001338019.034401	986552980.930704	3	3.791694318924518e-05	-12.685137485404464	False	0.00029411764705882356	True	True	Human	True	False	False	True	diann231	directlfq	min	1.660964047443681
P62937ups|PPIA_HUMAN_UPS	144268.2620184846	159304.8945739293	147215.3873970595	450369419.05688	446462990.9995872	456244345.32291967	3	3.9745041099721594e-05	-11.551505207922112	False	0.0003186274509803922	True	True	Human	True	False	False	True	diann231	directlfq	min	1.660964047443681
P00709ups|LALBA_HUMAN_UPS	144268.2620184846	159304.8945739293	147215.3873970595	89729715.75330174	91751687.58957744	90788293.9081879	3	4.148577757767039e-05	-9.23836985624285	False	0.0003431372549019608	True	True	Human	True	False	False	True	diann231	directlfq	min	1.660964047443681
O00762ups|UBE2C_HUMAN_UPS	144268.2620184846	159304.8945739293	147215.3873970595	362741676.9179983	369944015.3099588	370394531.5643268	3	4.549670753766822e-05	-11.256799244898197	False	0.0003676470588235294	True	True	Human	True	False	False	True	diann231	directlfq	min	1.660964047443681
P12081ups|SYHC_HUMAN_UPS	144268.2620184846	159304.8945739293	147215.3873970595	1331345998.4992058	1354671943.1710382	1362951569.4024975	3	4.915770194261721e-05	-13.13281630666564	False	0.0003921568627450981	True	True	Human	True	False	False	True	diann231	directlfq	min	1.660964047443681
P51965ups|UB2E1_HUMAN_UPS	144268.2620184846	159304.8945739293	147215.3873970595	29619583.94377144	30306485.375102557	29677037.18130373	3	5.4427321473196234e-05	-7.634954088146501	False	0.0004166666666666667	True	True	Human	True	False	False	True	diann231	directlfq	min	1.660964047443681
P06396ups|GELS_HUMAN_UPS	144268.2620184846	159304.8945739293	147215.3873970595	564862302.1380165	575609884.3799438	561368965.3106687	3	5.7083636277154807e-05	-11.882357910749125	False	0.0004411764705882353	True	True	Human	True	False	False	True	diann231	directlfq	min	1.660964047443681
P05413ups|FABPH_HUMAN_UPS	144268.2620184846	159304.8945739293	147215.3873970595	467190845.4933871	458043225.4443135	471093865.4101029	3	6.907919670904718e-05	-11.596899334464354	False	0.000465686274509804	True	True	Human	True	False	False	True	diann231	directlfq	min	1.660964047443681
P63165ups|SUMO1_HUMAN_UPS	144268.2620184846	159304.8945739293	147215.3873970595	382047870.5463108	378382819.0185002	389486943.3023742	3	7.267499264800853e-05	-11.316792053636087	False	0.0004901960784313725	True	True	Human	True	False	False	True	diann231	directlfq	min	1.660964047443681
P16083ups|NQO2_HUMAN_UPS	144268.2620184846	159304.8945739293	147215.3873970595	439411226.3183278	451357795.29772407	450370312.1254103	3	7.337141676006743e-05	-11.538720656773526	False	0.0005147058823529412	True	True	Human	True	False	False	True	diann231	directlfq	min	1.660964047443681
P00915ups|CAH1_HUMAN_UPS	144268.2620184846	159304.8945739293	147215.3873970595	563614733.734042	574035662.3221622	554873920.9618355	3	9.641331027346836e-05	-11.874438088763673	False	0.0005392156862745099	True	True	Human	True	False	False	True	diann231	directlfq	min	1.660964047443681
P0AFY2	144268.2620184846	159304.8945739293	147215.3873970595	15879641.618050842	15998756.656373031	16408834.962761702	3	9.97959802507581e-05	-6.74304713970651	False	0.0005637254901960784	True	True	Ecoli	False	True	False	True	diann231	directlfq	min	1.660964047443681
P08263ups|GSTA1_HUMAN_UPS	144268.2620184846	159304.8945739293	147215.3873970595	838853746.2662369	819841283.1733013	809443269.5777631	3	0.00010956135206157671	-12.418684763520288	False	0.0005882352941176471	True	True	Human	True	False	False	True	diann231	directlfq	min	1.660964047443681
P01375ups|TNFA_HUMAN_UPS	144268.2620184846	159304.8945739293	147215.3873970595	251296416.77211916	259105086.1644351	249691663.0096772	3	0.00013181340261915508	-10.7195096953274	False	0.0006127450980392157	True	True	Human	True	False	False	True	diann231	directlfq	min	1.660964047443681
P02787ups|TRFE_HUMAN_UPS	144268.2620184846	159304.8945739293	147215.3873970595	1036534854.7663732	1064917016.2789325	1078275575.6920264	3	0.00013483295948906964	-12.78416463604747	False	0.0006372549019607843	True	True	Human	True	False	False	True	diann231	directlfq	min	1.660964047443681
P02788ups|TRFL_HUMAN_UPS	144268.2620184846	159304.8945739293	147215.3873970595	1354501110.5407343	1377464137.7994258	1411135005.2859488	3	0.00014181080855313658	-13.165972257856843	False	0.000661764705882353	True	True	Human	True	False	False	True	diann231	directlfq	min	1.660964047443681
P55957ups|BID_HUMAN_UPS	144268.2620184846	159304.8945739293	147215.3873970595	164542332.0029681	160220983.64145815	157829279.93163982	3	0.0001493552760494189	-10.064139212719539	False	0.0006862745098039216	True	True	Human	True	False	False	True	diann231	directlfq	min	1.660964047443681
P61626ups|LYSC_HUMAN_UPS	144268.2620184846	159304.8945739293	147215.3873970595	162573668.61168903	163503408.77506578	169118878.72232205	3	0.00015364257836693153	-10.101332965484037	False	0.0007107843137254903	True	True	Human	True	False	False	True	diann231	directlfq	min	1.660964047443681
