protein	RD139_Wide_UPS1_0_25fmol_inj1	RD139_Wide_UPS1_0_25fmol_inj2	RD139_Wide_UPS1_0_25fmol_inj3	RD139_Wide_UPS1_5fmol_inj1	RD139_Wide_UPS1_5fmol_inj2	RD139_Wide_UPS1_5fmol_inj3	isna	pval	log2_FC	Bonf_pass	BH_thr	BH_pass	FC_pass	Organism	Human	Ecoli	Yeast	FDR_pass	Search Engine	Quantitation	Imputation	FC_thr
P67662	141297.23510072628	133796.22389038006	115453.0700519794	921735.6824243204	969791.5488599451	945715.90294303	3	1.126876509461415e-05	-2.8609234420413223	True	2.448579823702253e-05	True	True	Ecoli	False	True	False	True	diann231	directlfq	min	1.660964047443681
O00762ups|UBE2C_HUMAN_UPS	141297.23510072628	133796.22389038006	115453.0700519794	13637519.335254569	13878968.664770396	13978989.943529945	3	4.991831235496364e-05	-6.731315875275141	False	4.897159647404506e-05	False	True	Human	True	False	False	False	diann231	directlfq	min	1.660964047443681
P02787ups|TRFE_HUMAN_UPS	141297.23510072628	133796.22389038006	115453.0700519794	70262524.16312666	70001022.22426194	68472354.89904729	3	6.442121139126473e-05	-9.061968602324399	False	7.34573947110676e-05	False	True	Human	True	False	False	False	diann231	directlfq	min	1.660964047443681
P02788ups|TRFL_HUMAN_UPS	141297.23510072628	133796.22389038006	115453.0700519794	96632532.17480876	95753120.36128822	98454344.45485896	3	6.739674784463584e-05	-9.540515531513869	False	9.794319294809012e-05	False	True	Human	True	False	False	False	diann231	directlfq	min	1.660964047443681
P01008ups|ANT3_HUMAN_UPS	141297.23510072628	133796.22389038006	115453.0700519794	46764724.7594407	46699848.27627129	48181032.17657314	3	0.00010494201116794894	-8.50257568627002	False	0.00012242899118511264	False	True	Human	True	False	False	False	diann231	directlfq	min	1.660964047443681
P68871ups|HBB_HUMAN_UPS	10935269.76861135	11822654.035648055	10536258.100210818	35714235.99413714	36131807.85938536	38284159.95859933	0	0.00012484604840878484	-1.7258681939975016	False	0.0001469147894221352	False	True	Human	True	False	False	False	diann231	directlfq	min	1.660964047443681
P0AEX9	207068708.12094277	205480554.3292071	200738325.7793491	245300813.844844	240010107.0102708	243266279.6133703	0	0.00012709309225723882	-0.24851809532467867	False	0.0001714005876591577	False	False	Ecoli	False	True	False	False	diann231	directlfq	min	1.660964047443681
P01112ups|RASH_HUMAN_UPS	141297.23510072628	133796.22389038006	115453.0700519794	21667364.84458004	20899951.412931558	20941224.57764561	3	0.00013840655961679503	-7.345312374211251	False	0.00019588638589618023	False	True	Human	True	False	False	False	diann231	directlfq	min	1.660964047443681
P22256	528521361.7438079	531895285.1227823	504480974.21859807	688178743.8564427	668398287.095134	695796347.2379082	0	0.0001687218496137209	-0.39122494114994527	False	0.00022037218413320275	False	False	Ecoli	False	True	False	False	diann231	directlfq	min	1.660964047443681
P06732ups|KCRM_HUMAN_UPS	141297.23510072628	133796.22389038006	115453.0700519794	46354147.878865175	48811513.06578399	48055683.30927927	3	0.00023253997924710493	-8.518536359079533	False	0.0002448579823702253	False	True	Human	True	False	False	False	diann231	directlfq	min	1.660964047443681
P24175	141297.23510072628	133796.22389038006	115453.0700519794	1170960.895353455	1262790.2667268815	1202632.3748359424	3	0.0002579583615855075	-3.2189380276661224	False	0.0002693437806072478	False	True	Ecoli	False	True	False	False	diann231	directlfq	min	1.660964047443681
P02144ups|MYG_HUMAN_UPS	141297.23510072628	133796.22389038006	115453.0700519794	44649841.29800071	45016297.7538226	42570995.82418346	3	0.00029963239970424765	-8.403417217685421	False	0.0002938295788442704	False	True	Human	True	False	False	False	diann231	directlfq	min	1.660964047443681
P75785	141297.23510072628	133796.22389038006	115453.0700519794	4238556.010431805	4411737.006925213	4515970.65417196	3	0.00032318014616894013	-5.075207745957311	False	0.00031831537708129284	False	True	Ecoli	False	True	False	False	diann231	directlfq	min	1.660964047443681
