protein	RD139_Wide_UPS1_1fmol_inj1	RD139_Wide_UPS1_1fmol_inj2	RD139_Wide_UPS1_1fmol_inj3	RD139_Wide_UPS1_25fmol_inj1	RD139_Wide_UPS1_25fmol_inj2	RD139_Wide_UPS1_25fmol_inj3	isna	pval	log2_FC	Bonf_pass	BH_thr	BH_pass	FC_pass	Organism	Human	Ecoli	Yeast	FDR_pass	Search Engine	Quantitation	Imputation	FC_thr
P01127ups|PDGFB_HUMAN_UPS	7352281.874651865	6540868.373382169	71985.39407860195	139123153.09189224	144691670.80804235	146172975.44967628	1	1.6761517844798132e-06	-4.944394233207601	True	2.454590083456063e-05	True	True	Human	True	False	False	True	diann231	directlfq	min	1.660964047443681
Q06830ups|PRDX1_HUMAN_UPS	98320.21075109964	4568301.224600381	71985.39407860195	168191877.65126303	166937731.15579548	174160309.0866125	2	1.84248776291453e-06	-6.747880384143417	True	4.909180166912126e-05	True	True	Human	True	False	False	True	diann231	directlfq	min	1.660964047443681
P02787ups|TRFE_HUMAN_UPS	34978824.748850815	21705589.22998302	12318575.508292897	445013384.4394477	463415469.7701006	438087348.57359546	0	2.23872940534957e-06	-4.286428913234427	True	7.36377025036819e-05	True	True	Human	True	False	False	True	diann231	directlfq	min	1.660964047443681
P55957ups|BID_HUMAN_UPS	4452286.125495142	79799.03124999994	3862848.096317144	77838717.08707733	76040466.53191233	73233122.21838798	1	2.8652029510908993e-06	-4.757743214283287	True	9.818360333824252e-05	True	True	Human	True	False	False	True	diann231	directlfq	min	1.660964047443681
P10636-8ups|TAU_HUMAN_UPS	98320.21075109964	79799.03124999994	6194571.190580934	265019748.27347317	273218288.4322001	261444084.26968572	2	3.8066805153407775e-06	-6.97138024236262	True	0.00012272950417280314	True	True	Human	True	False	False	True	diann231	directlfq	min	1.660964047443681
P62988ups|UBIQ_HUMAN_UPS	2254562.542224514	2161014.878331452	2900393.3067045216	19334010.92146783	20434137.23890739	19917874.54479202	0	3.881640514331213e-06	-3.028271912501469	True	0.0001472754050073638	True	True	Human	True	False	False	True	diann231	directlfq	min	1.660964047443681
P05413ups|FABPH_HUMAN_UPS	14514893.797546584	14218827.41373239	19970704.10751328	215873451.5090812	220825094.97114596	226509140.9918692	0	4.661695134685323e-06	-3.7673359620376923	True	0.0001718213058419244	True	True	Human	True	False	False	True	diann231	directlfq	min	1.660964047443681
P08758ups|ANXA5_HUMAN_UPS	10832502.94139719	5475662.581417602	9337527.039893908	299244781.2365031	299294403.77643174	289531959.99276763	0	5.92858662067402e-06	-5.113886821169371	True	0.00019636720667648503	True	True	Human	True	False	False	True	diann231	directlfq	min	1.660964047443681
P69905ups|HBA_HUMAN_UPS	98320.21075109964	6719319.779585063	71985.39407860195	178433062.3101904	184208118.7060556	172315551.5982293	2	8.53130822073632e-06	-6.278852860451299	True	0.00022091310751104566	True	True	Human	True	False	False	True	diann231	directlfq	min	1.660964047443681
P15559ups|NQO1_HUMAN_UPS	7935119.124602387	5959210.491408213	8249356.901871123	160490993.39606163	165971656.6106122	161081665.7063278	0	1.2959177584588428e-05	-4.460566030185132	True	0.0002454590083456063	True	True	Human	True	False	False	True	diann231	directlfq	min	1.660964047443681
P06396ups|GELS_HUMAN_UPS	98320.21075109964	5480870.802782135	8497441.235921327	253846001.55923212	256072540.48100603	256007540.57770303	1	2.6722098514203e-05	-5.765831044247142	False	0.00027000490918016693	True	True	Human	True	False	False	True	diann231	directlfq	min	1.660964047443681
O00762ups|UBE2C_HUMAN_UPS	3442067.2005797504	6187710.740504276	5641786.183873806	161305682.2900524	169365285.18172306	165014482.20061213	0	4.1217645968801075e-05	-5.020505173912581	False	0.0002945508100147276	True	True	Human	True	False	False	True	diann231	directlfq	min	1.660964047443681
P63165ups|SUMO1_HUMAN_UPS	98320.21075109964	79799.03124999994	71985.39407860195	180023931.6830395	175256339.69639394	176908708.42105433	3	6.210141263460186e-05	-11.055191120634762	False	0.0003190967108492882	True	True	Human	True	False	False	True	diann231	directlfq	min	1.660964047443681
P08263ups|GSTA1_HUMAN_UPS	11800632.338960472	19057056.625163853	13107388.729660662	355788550.65196085	377585601.14930713	364763903.2090359	0	7.445082864879401e-05	-4.64255760908349	False	0.0003436426116838488	True	True	Human	True	False	False	True	diann231	directlfq	min	1.660964047443681
P16083ups|NQO2_HUMAN_UPS	11038342.524209462	6983164.788515186	7814768.86270407	157051449.70398283	166678936.78085214	157214554.70191187	0	8.329444670428734e-05	-4.218401690869121	False	0.0003681885125184094	True	True	Human	True	False	False	True	diann231	directlfq	min	1.660964047443681
O76070ups|SYUG_HUMAN_UPS	31476804.905015416	79799.03124999994	71985.39407860195	475830718.919363	479604064.64354783	489703970.50101584	2	9.153893172194748e-05	-5.513834997068978	False	0.00039273441335297007	True	True	Human	True	False	False	True	diann231	directlfq	min	1.660964047443681
P68871ups|HBB_HUMAN_UPS	17679807.950177185	16606671.843832036	16061605.338893928	178687935.94945532	174109309.66971847	181573094.1296301	0	9.55294519272517e-05	-3.407831118189914	False	0.0004172803141875307	True	True	Human	True	False	False	True	diann231	directlfq	min	1.660964047443681
P41159ups|LEP_HUMAN_UPS	4470138.061968622	2477422.4588147043	3045228.4581035334	131310008.0409211	132963527.67545325	126008877.20795508	0	0.00010170215178648297	-5.287487253490801	False	0.0004418262150220913	True	True	Human	True	False	False	True	diann231	directlfq	min	1.660964047443681
P00918ups|CAH2_HUMAN_UPS	16242390.525707304	14267089.32218816	14505503.248795372	424431696.13422096	422505314.8990612	407819926.666197	0	0.00013950681739623519	-4.800858834806068	False	0.00046637211585665196	True	True	Human	True	False	False	True	diann231	directlfq	min	1.660964047443681
P06732ups|KCRM_HUMAN_UPS	8268607.039918018	15676465.430927249	13828412.89663306	338860484.7674025	363977042.5753397	358281374.9478156	0	0.00019025607346932148	-4.812068606694769	False	0.0004909180166912126	True	True	Human	True	False	False	True	diann231	directlfq	min	1.660964047443681
P01112ups|RASH_HUMAN_UPS	98320.21075109964	79799.03124999994	71985.39407860195	176232513.39815867	181404671.03380388	172725278.96137565	3	0.00020342772827433562	-11.050231156060624	False	0.0005154639175257732	True	True	Human	True	False	False	True	diann231	directlfq	min	1.660964047443681
P02768ups|ALBU_HUMAN_UPS	39532455.65462232	37962245.44554009	25804317.91977009	866249429.9782001	835973160.800892	895560151.21214	0	0.00020449769169825755	-4.652382321410354	False	0.0005400098183603339	True	True	Human	True	False	False	True	diann231	directlfq	min	1.660964047443681
P02788ups|TRFL_HUMAN_UPS	26858972.8289639	17188983.56792656	24386682.270307675	571728613.1251932	609027195.8106625	575204276.2004422	0	0.00022510239953453355	-4.681389500924593	False	0.0005645557191948945	True	True	Human	True	False	False	True	diann231	directlfq	min	1.660964047443681
P63279ups|UBC9_HUMAN_UPS	3155566.2377761044	3753756.906866467	71985.39407860195	82813238.78973685	87129160.75646259	77646233.28496736	1	0.0002463685352586467	-5.148303796797273	False	0.0005891016200294552	True	True	Human	True	False	False	True	diann231	directlfq	min	1.660964047443681
P22564	431773.77776298334	421908.1249999998	473335.99800902535	783780.2137065576	769964.5302412825	721138.0953370123	0	0.0002618201922883051	-0.7776044137003707	False	0.0006136475208640157	True	False	Ecoli	False	True	False	True	diann231	directlfq	min	1.660964047443681
P01579ups|IFNG_HUMAN_UPS	6533633.280268631	9201436.366492637	8775587.324424269	163893466.1560361	159942918.19675457	151603268.90951315	0	0.0003259507874735882	-4.277781174805542	False	0.0006381934216985763	True	True	Human	True	False	False	True	diann231	directlfq	min	1.660964047443681
P01375ups|TNFA_HUMAN_UPS	98320.21075109964	79799.03124999994	71985.39407860195	99689007.99406543	97332132.9038984	103584284.40124568	3	0.0003312930465975958	-10.231123531408858	False	0.000662739322533137	True	True	Human	True	False	False	True	diann231	directlfq	min	1.660964047443681
P01344ups|IGF2_HUMAN_UPS	98320.21075109964	79799.03124999994	71985.39407860195	40176003.04738	42815618.40555692	41050351.17410532	3	0.00035332484789322695	-8.954080858571587	False	0.0006872852233676976	True	True	Human	True	False	False	True	diann231	directlfq	min	1.660964047443681
P02741ups|CRP_HUMAN_UPS	98320.21075109964	79799.03124999994	71985.39407860195	22188362.2639442	22962371.121318515	23681902.349788014	3	0.00035422694513101703	-8.104417144004207	False	0.0007118311242022583	True	True	Human	True	False	False	True	diann231	directlfq	min	1.660964047443681
P09211ups|GSTP1_HUMAN_UPS	98320.21075109964	79799.03124999994	71985.39407860195	107125254.63201132	112977169.4031156	106496385.98893416	3	0.0003595477003618584	-10.350772018683136	False	0.0007363770250368188	True	True	Human	True	False	False	True	diann231	directlfq	min	1.660964047443681
