Protein.Group	Protein.Names	Genes	First.Protein.Description	N.Sequences	N.Proteotypic.Sequences	/home/lerost/DIA_tools_manuscript/input_files/PXD026600/RD139_Wide_UPS1_0_1fmol_inj3.mzML	/home/lerost/DIA_tools_manuscript/input_files/PXD026600/RD139_Wide_UPS1_0_25fmol_inj2.mzML	/home/lerost/DIA_tools_manuscript/input_files/PXD026600/RD139_Wide_UPS1_0_1fmol_inj2.mzML	/home/lerost/DIA_tools_manuscript/input_files/PXD026600/RD139_Wide_UPS1_0_25fmol_inj3.mzML	/home/lerost/DIA_tools_manuscript/input_files/PXD026600/RD139_Wide_UPS1_0_25fmol_inj1.mzML	/home/lerost/DIA_tools_manuscript/input_files/PXD026600/RD139_Wide_UPS1_0_1fmol_inj1.mzML	isna	pval	log2_FC	Bonf_pass	BH_thr	BH_pass	FC_pass	Organism	Human	Ecoli	Yeast	FDR_pass	Search Engine	Quantitation	Imputation	FC_thr
P69811	PTFAH_ECOLI	fruB	Multiphosphoryl transfer protein	23	23.0	106144000.0	114992000.0	106704000.0	114463000.0	115159000.0	106206000.0	0	8.31289513944691e-06	-0.11118069118363495	True	2.6385224274406334e-05	True	False	Ecoli	False	True	False	True	diann231	manual	min	0.6609640474436812
P0A7K2	RL7_ECOLI	rplL	50S ribosomal protein L7/L12	13	13.0	2861040000.0	2561020000.0	2854550000.0	2572890000.0	2538270000.0	2821070000.0	0	7.347900208055549e-05	0.15403515205297977	False	5.277044854881267e-05	False	False	Ecoli	False	True	False	False	diann231	manual	min	0.6609640474436812
P67244	YQHA_ECOLI	yqhA	UPF0114 protein YqhA	2	2.0	2306630.0	1345200.0	2326070.0	1315130.0	1447210.0	2190950.0	0	0.00010098528210410671	0.7322690250752502	False	7.915567282321901e-05	False	True	Ecoli	False	True	False	False	diann231	manual	min	0.6609640474436812
P0A7M6	RL29_ECOLI	rpmC	50S ribosomal protein L29	5	5.0	331604000.0	277340000.0	324321000.0	269825000.0	276546000.0	323854000.0	0	0.00011611791725138722	0.25031811520100894	False	0.00010554089709762533	False	False	Ecoli	False	True	False	False	diann231	manual	min	0.6609640474436812
P0A794	PDXJ_ECOLI	pdxJ	Pyridoxine 5'-phosphate synthase	9	9.0	40592300.0	42000100.0	40683700.0	42179100.0	42291100.0	40825000.0	0	0.00023730694199097752	-0.05072360948422852	False	0.00013192612137203166	False	False	Ecoli	False	True	False	False	diann231	manual	min	0.6609640474436812
P0A7R9	RS11_ECOLI	rpsK	30S ribosomal protein S11	7	7.0	506115000.0	524311000.0	502315000.0	528238000.0	529110000.0	500931000.0	0	0.00035892531450498354	-0.06750069109880101	False	0.00015831134564643802	False	False	Ecoli	False	True	False	False	diann231	manual	min	0.6609640474436812
P0A6Q6	FABZ_ECOLI	fabZ	3-hydroxyacyl-[acyl-carrier-protein] dehydratase FabZ	7	7.0	101746000.0	92625600.0	102397000.0	93170800.0	91682700.0	100415000.0	0	0.0003792513143170243	0.13433789068013907	False	0.00018469656992084433	False	False	Ecoli	False	True	False	False	diann231	manual	min	0.6609640474436812
P0A7L3	RL20_ECOLI	rplT	50S ribosomal protein L20	7	7.0	708148000.0	601097000.0	729760000.0	590483000.0	602632000.0	727936000.0	0	0.0004567107436599348	0.27157896730399206	False	0.00021108179419525067	False	False	Ecoli	False	True	False	False	diann231	manual	min	0.6609640474436812
P0AFG0	NUSG_ECOLI	nusG	Transcription antitermination protein NusG	8	8.0	146852000.0	160636000.0	145488000.0	163371000.0	159589000.0	144022000.0	0	0.0005707098143110193	-0.1482768396089109	False	0.000237467018469657	False	False	Ecoli	False	True	False	False	diann231	manual	min	0.6609640474436812
P68679	RS21_ECOLI	rpsU	30S ribosomal protein S21	6	6.0	555809000.0	523164000.0	559653000.0	515001000.0	514373000.0	550648000.0	0	0.0006199378933220346	0.10185507317799693	False	0.0002638522427440633	False	False	Ecoli	False	True	False	False	diann231	manual	min	0.6609640474436812
