protein	RD139_Wide_UPS1_0_1fmol_inj1	RD139_Wide_UPS1_0_1fmol_inj2	RD139_Wide_UPS1_0_1fmol_inj3	RD139_Wide_UPS1_5fmol_inj1	RD139_Wide_UPS1_5fmol_inj2	RD139_Wide_UPS1_5fmol_inj3	isna	pval	log2_FC	Bonf_pass	BH_thr	BH_pass	FC_pass	Organism	Human	Ecoli	Yeast	FDR_pass	Search Engine	Quantitation	Imputation	FC_thr
P02768ups|ALBU_HUMAN_UPS	230038.27074944857	69675.80783092458	87489.212751241	141609932.06292698	144021603.1261757	142890695.3228066	3	2.169679452004398e-05	-10.112063117889255	True	2.457002457002457e-05	True	True	Human	True	False	False	True	diann231	directlfq	min	1.660964047443681
O00762ups|UBE2C_HUMAN_UPS	230038.27074944857	69675.80783092458	87489.212751241	11694466.139998332	12121239.998753214	12100182.203579612	3	2.2926923635755254e-05	-6.535387173347933	True	4.914004914004914e-05	True	True	Human	True	False	False	True	diann231	directlfq	min	1.660964047443681
P0ABF4	230038.27074944857	69675.80783092458	87489.212751241	2353881.000000001	2616635.8227040656	2476458.6339650266	3	4.156746281568563e-05	-4.265491481732049	False	7.371007371007373e-05	True	True	Ecoli	False	True	False	True	diann231	directlfq	min	1.660964047443681
P01579ups|IFNG_HUMAN_UPS	230038.27074944857	69675.80783092458	87489.212751241	21116196.04581531	21293802.5005842	21911498.56403209	3	6.84087654257985e-05	-7.376065960069559	False	9.828009828009828e-05	True	True	Human	True	False	False	True	diann231	directlfq	min	1.660964047443681
P00915ups|CAH1_HUMAN_UPS	230038.27074944857	69675.80783092458	87489.212751241	25535745.76595295	24556674.637688898	25191885.23914462	3	8.479550750804705e-05	-7.603114114526846	False	0.00012285012285012285	True	True	Human	True	False	False	True	diann231	directlfq	min	1.660964047443681
P31061	1331919.0349725937	1176502.2235282287	1289172.1903070423	135535.7499999999	141118.84916104993	48546.97270018835	3	9.755705400632823e-05	3.545679330296284	False	0.00014742014742014745	True	True	Ecoli	False	True	False	True	diann231	directlfq	min	1.660964047443681
P68871ups|HBB_HUMAN_UPS	8338795.35984441	9707180.621839032	9215021.348870926	34020000.022551514	34372252.15558838	36569121.47724161	0	0.00010231000120160975	-1.944948257568367	False	0.000171990171990172	True	True	Human	True	False	False	True	diann231	directlfq	min	1.660964047443681
P30745	230038.27074944857	69675.80783092458	87489.212751241	1490036.7499999984	1665822.7029162997	1713174.1377100612	3	0.00010433155564577353	-3.6524723324753774	False	0.00019656019656019656	True	True	Ecoli	False	True	False	True	diann231	directlfq	min	1.660964047443681
P02787ups|TRFE_HUMAN_UPS	230038.27074944857	69675.80783092458	87489.212751241	66451620.0854238	66455367.86473581	64093537.59491423	3	0.0001358555185679108	-8.9908925471174	False	0.00022113022113022114	True	True	Human	True	False	False	True	diann231	directlfq	min	1.660964047443681
P55957ups|BID_HUMAN_UPS	230038.27074944857	69675.80783092458	87489.212751241	11662496.261416426	10990076.237533769	11422708.30692355	3	0.0001358604954494406	-6.459490519784876	False	0.0002457002457002457	True	True	Human	True	False	False	True	diann231	directlfq	min	1.660964047443681
P0AAU2	230038.27074944857	69675.80783092458	87489.212751241	1823922.374999998	1779371.9369234827	1749653.8841275484	3	0.00017311971165021338	-3.789170569754274	False	0.0002702702702702703	True	True	Ecoli	False	True	False	True	diann231	directlfq	min	1.660964047443681
P01008ups|ANT3_HUMAN_UPS	230038.27074944857	69675.80783092458	87489.212751241	43018092.76231127	43376875.093033776	44993629.21560193	3	0.00017621440484008602	-8.406533141448586	False	0.0002948402948402949	True	True	Human	True	False	False	True	diann231	directlfq	min	1.660964047443681
Q06830ups|PRDX1_HUMAN_UPS	230038.27074944857	69675.80783092458	87489.212751241	25794774.695385758	26785994.3219728	27118470.469823208	3	0.00018260921913362078	-7.685330931490992	False	0.00031941031941031943	True	True	Human	True	False	False	True	diann231	directlfq	min	1.660964047443681
P01112ups|RASH_HUMAN_UPS	230038.27074944857	69675.80783092458	87489.212751241	22153764.885178074	23098365.70591871	23294375.32981108	3	0.00018341176582550647	-7.4678481019788325	False	0.000343980343980344	True	True	Human	True	False	False	True	diann231	directlfq	min	1.660964047443681
P10145ups|IL8_HUMAN_UPS	230038.27074944857	69675.80783092458	87489.212751241	1272742.9999999998	1502032.595444189	1346067.2998729432	3	0.00019933417743816766	-3.4117763417057656	False	0.00036855036855036854	True	True	Human	True	False	False	True	diann231	directlfq	min	1.660964047443681
P02788ups|TRFL_HUMAN_UPS	230038.27074944857	69675.80783092458	87489.212751241	90261544.49385583	89382129.02106307	93749921.51992495	3	0.00021064794321053472	-9.463672513111563	False	0.0003931203931203931	True	True	Human	True	False	False	True	diann231	directlfq	min	1.660964047443681
P0A6M8	11331634600.694304	11267986330.530249	11232443878.709295	11836269948.91835	11922737890.14922	11958649090.30804	0	0.0002311794275721329	-0.07824621391723513	False	0.00041769041769041776	True	False	Ecoli	False	True	False	True	diann231	directlfq	min	1.660964047443681
P02144ups|MYG_HUMAN_UPS	230038.27074944857	69675.80783092458	87489.212751241	42863577.87468902	43589403.25268837	41258442.95367196	3	0.0002454484981930147	-8.365580651910914	False	0.0004422604422604423	True	True	Human	True	False	False	True	diann231	directlfq	min	1.660964047443681
P00918ups|CAH2_HUMAN_UPS	230038.27074944857	69675.80783092458	87489.212751241	74817733.55470707	70792045.96966192	72872490.34716651	3	0.00024931460446299115	-9.140209276547077	False	0.00046683046683046686	True	True	Human	True	False	False	True	diann231	directlfq	min	1.660964047443681
P63279ups|UBC9_HUMAN_UPS	230038.27074944857	69675.80783092458	87489.212751241	8673300.999999993	8173217.053903053	7982443.455395015	3	0.000331155730604566	-6.002788894746179	False	0.0004914004914004914	True	True	Human	True	False	False	True	diann231	directlfq	min	1.660964047443681
P24193	25346837.11210132	25271572.05874129	24351992.09864691	30220980.69022899	30189798.7189902	29384938.590020586	0	0.0003434889751843317	-0.2603255262091645	False	0.000515970515970516	True	False	Ecoli	False	True	False	True	diann231	directlfq	min	1.660964047443681
P15559ups|NQO1_HUMAN_UPS	230038.27074944857	69675.80783092458	87489.212751241	23225379.729499698	22351215.09727821	24166900.344216824	3	0.0004613735702267016	-7.492823639902446	False	0.0005405405405405405	True	True	Human	True	False	False	True	diann231	directlfq	min	1.660964047443681
P06732ups|KCRM_HUMAN_UPS	230038.27074944857	69675.80783092458	87489.212751241	45129682.66718911	48805575.40980422	47272517.60801902	3	0.0005020481188972562	-8.510512602307882	False	0.0005651105651105652	True	True	Human	True	False	False	True	diann231	directlfq	min	1.660964047443681
P0AAD6	6073262.424481119	5336603.3264564825	6185271.327364456	9628205.583003543	9497047.187031085	10409509.402121998	0	0.0005309199314231908	-0.7472372410213142	False	0.0005896805896805898	True	False	Ecoli	False	True	False	True	diann231	directlfq	min	1.660964047443681
P06396ups|GELS_HUMAN_UPS	230038.27074944857	69675.80783092458	87489.212751241	32660327.855062064	31075405.585806925	30109140.250909243	3	0.000540130298212214	-7.921042913316127	False	0.0006142506142506142	True	True	Human	True	False	False	True	diann231	directlfq	min	1.660964047443681
P08263ups|GSTA1_HUMAN_UPS	230038.27074944857	69675.80783092458	87489.212751241	55798804.02163921	57344095.09415317	60573811.30806403	3	0.0005836771104927302	-8.80942960735783	False	0.0006388206388206389	True	True	Human	True	False	False	True	diann231	directlfq	min	1.660964047443681
Q15843ups|NEDD8_HUMAN_UPS	230038.27074944857	69675.80783092458	87489.212751241	11302811.68623294	12353581.624212716	11405760.412747078	3	0.0006570471027786674	-6.500679591429167	False	0.0006633906633906634	True	True	Human	True	False	False	True	diann231	directlfq	min	1.660964047443681
P07021	12549522.82165501	12615241.562659226	13330184.51635134	17221731.99656712	16909596.97974288	16801923.495773006	0	0.0007264554257842376	-0.4039386915569274	False	0.000687960687960688	False	False	Ecoli	False	True	False	False	diann231	directlfq	min	1.660964047443681
P16083ups|NQO2_HUMAN_UPS	230038.27074944857	69675.80783092458	87489.212751241	12308233.883626012	11264769.318291731	11266337.884299524	3	0.0007344599703009916	-6.491482312430373	False	0.0007125307125307127	False	True	Human	True	False	False	False	diann231	directlfq	min	1.660964047443681
P45578	534632712.48634696	538286836.0403652	518510520.5463322	598762727.0021878	608214772.172357	618832366.6540941	0	0.0007504096863534458	-0.19821277217841518	False	0.0007371007371007371	False	False	Ecoli	False	True	False	False	diann231	directlfq	min	1.660964047443681
P0A6X1	230038.27074944857	69675.80783092458	87489.212751241	678866.9255784907	783278.834680343	840903.7297400909	3	0.0007940271808738707	-2.5723822923212745	False	0.0007616707616707617	False	True	Ecoli	False	True	False	False	diann231	directlfq	min	1.660964047443681
P0A9X9	1126630621.1033802	1089101367.189371	1100862390.6766455	979749059.0951306	966517946.8934538	942186364.0340284	0	0.000795539337430063	0.1994053760384411	False	0.0007862407862407862	False	False	Ecoli	False	True	False	False	diann231	directlfq	min	1.660964047443681
