protein	RD139_Wide_UPS1_1fmol_inj1	RD139_Wide_UPS1_1fmol_inj2	RD139_Wide_UPS1_1fmol_inj3	RD139_Wide_UPS1_50fmol_inj1	RD139_Wide_UPS1_50fmol_inj2	RD139_Wide_UPS1_50fmol_inj3	isna	pval	log2_FC	Bonf_pass	BH_thr	BH_pass	FC_pass	Organism	Human	Ecoli	Yeast	FDR_pass	Search Engine	Quantitation	Imputation	FC_thr
P75856	9917907.945738409	9915109.000000004	9904209.824768469	127957.23024210798	134954.10362563297	148701.47263152126	3	3.29134415902235e-11	6.174838431351064	True	2.4826216484607746e-05	True	True	Ecoli	False	True	False	True	diann231	directlfq	min	1.660964047443681
P05413ups|FABPH_HUMAN_UPS	16270347.25424771	15465592.76874698	22779452.641561665	460682671.2077557	452334663.80091774	459530720.1039393	0	2.956408639458673e-08	-4.654049212164486	True	4.965243296921549e-05	True	True	Human	True	False	False	True	diann231	directlfq	min	1.660964047443681
P69905ups|HBA_HUMAN_UPS	144568.49227550605	7603075.761670786	116821.21025967156	380797224.1325062	387931604.2693404	379991720.41600287	2	4.54133585313554e-08	-7.190463447298885	True	7.447864945382325e-05	True	True	Human	True	False	False	True	diann231	directlfq	min	1.660964047443681
P02788ups|TRFL_HUMAN_UPS	26071009.740520168	19664429.97585476	23180405.052368656	1303658080.6202102	1313879202.7000868	1301217867.2885852	0	1.5666423389707185e-07	-5.829415905968248	True	9.930486593843098e-05	True	True	Human	True	False	False	True	diann231	directlfq	min	1.660964047443681
P01112ups|RASH_HUMAN_UPS	144568.49227550605	105410.93749999993	116821.21025967156	339730410.0012317	340257064.5811113	339793719.4408869	3	2.0920725524562846e-07	-11.440975861550934	True	0.00012413108242303873	True	True	Human	True	False	False	True	diann231	directlfq	min	1.660964047443681
P01127ups|PDGFB_HUMAN_UPS	7710457.746978021	5847858.973710367	116821.21025967156	291429219.51596904	287227901.7827609	281425754.83122766	1	3.464608155262858e-07	-5.974848392568699	True	0.0001489572989076465	True	True	Human	True	False	False	True	diann231	directlfq	min	1.660964047443681
P08263ups|GSTA1_HUMAN_UPS	13226877.036450597	25288572.56927936	14320200.20674893	804554431.1798816	793172136.5335691	782179781.1878225	0	7.605159835740551e-07	-5.49324930514043	True	0.00017378351539225424	True	True	Human	True	False	False	True	diann231	directlfq	min	1.660964047443681
P19319	144568.49227550605	105410.93749999993	116821.21025967156	1168018.9841342696	1126413.8389845788	1124852.488776204	3	9.569361538005188e-07	-3.2206267476822035	True	0.00019860973187686197	True	True	Ecoli	False	True	False	True	diann231	directlfq	min	1.660964047443681
P15559ups|NQO1_HUMAN_UPS	9746412.355717191	7474614.858712001	9982169.93818188	349154182.8553254	355579562.824801	352164038.1349185	0	1.498417680194012e-06	-5.2799158259779055	True	0.00022343594836146972	True	True	Human	True	False	False	True	diann231	directlfq	min	1.660964047443681
O00762ups|UBE2C_HUMAN_UPS	3866182.73702234	6344716.968257406	6058122.37238163	352778785.4673628	354020193.659124	347946599.2324679	0	1.6115677947682627e-06	-6.018623695386711	True	0.00024826216484607745	True	True	Human	True	False	False	True	diann231	directlfq	min	1.660964047443681
P63165ups|SUMO1_HUMAN_UPS	144568.49227550605	105410.93749999993	116821.21025967156	375151015.1669204	378286757.07286304	376240653.0591689	3	5.942284182965715e-06	-11.588628376185437	True	0.00027308838133068523	True	True	Human	True	False	False	True	diann231	directlfq	min	1.660964047443681
P00167ups|CYB5_HUMAN_UPS	144568.49227550605	105410.93749999993	116821.21025967156	364010578.041529	360914908.8737326	363147902.40535295	3	6.450909269640129e-06	-11.534492091257425	True	0.000297914597815293	True	True	Human	True	False	False	True	diann231	directlfq	min	1.660964047443681
P02787ups|TRFE_HUMAN_UPS	38041530.30169927	24571662.496030997	15491942.494654266	988359101.6143296	965707851.4909486	1012092506.3559532	0	1.1151864064258893e-05	-5.247034941855905	True	0.0003227408142999007	True	True	Human	True	False	False	True	diann231	directlfq	min	1.660964047443681
P16083ups|NQO2_HUMAN_UPS	13351662.0227483	8364358.925337044	9382324.05984474	407168639.1076686	418013091.3338886	420232849.4599347	0	1.3614293794268977e-05	-5.323644458600735	True	0.0003475670307845085	True	True	Human	True	False	False	True	diann231	directlfq	min	1.660964047443681
P62988ups|UBIQ_HUMAN_UPS	2758080.9491672115	3065285.092349319	4159002.507409706	48526986.963057	47157012.622767895	49884800.87341977	0	1.3660986428943322e-05	-3.8661751986914545	True	0.0003723932472691162	True	True	Human	True	False	False	True	diann231	directlfq	min	1.660964047443681
P41159ups|LEP_HUMAN_UPS	4877576.682617658	2730316.1333676004	3285043.8803997	279679170.95940644	279473148.47098446	273007296.48226494	0	1.7170220084708928e-05	-6.255395420186332	True	0.00039721946375372393	True	True	Human	True	False	False	True	diann231	directlfq	min	1.660964047443681
