protein	RD139_Wide_UPS1_0_25fmol_inj1	RD139_Wide_UPS1_0_25fmol_inj2	RD139_Wide_UPS1_0_25fmol_inj3	RD139_Wide_UPS1_25fmol_inj1	RD139_Wide_UPS1_25fmol_inj2	RD139_Wide_UPS1_25fmol_inj3	isna	pval	log2_FC	Bonf_pass	BH_thr	BH_pass	FC_pass	Organism	Human	Ecoli	Yeast	FDR_pass	Search Engine	Quantitation	Imputation	FC_thr
O76070ups|SYUG_HUMAN_UPS	159877.5714303438	193965.62499999997	161005.84560953392	503728092.8494171	505724879.5172614	505554104.9239735	3	1.5910849269823728e-06	-11.522887428466692	True	2.430724355858046e-05	True	True	Human	True	False	False	True	diann231	directlfq	min	1.660964047443681
P62937ups|PPIA_HUMAN_UPS	159877.5714303438	193965.62499999997	161005.84560953392	216875619.5886759	215941984.00826252	216009798.22024804	3	1.8744064663634254e-06	-10.299469550313134	True	4.861448711716092e-05	True	True	Human	True	False	False	True	diann231	directlfq	min	1.660964047443681
P62988ups|UBIQ_HUMAN_UPS	1829191.18464148	2358591.774221438	1755458.862593262	21404248.198104262	21255517.271061342	21053410.0451741	0	2.499813883425844e-06	-3.4222697559627044	True	7.292173067574138e-05	True	True	Human	True	False	False	True	diann231	directlfq	min	1.660964047443681
P02788ups|TRFL_HUMAN_UPS	159877.5714303438	193965.62499999997	161005.84560953392	646100412.6302571	642135192.6374028	648151248.6303458	3	7.481619991316894e-06	-11.8769301001738	True	9.722897423432184e-05	True	True	Human	True	False	False	True	diann231	directlfq	min	1.660964047443681
P06396ups|GELS_HUMAN_UPS	159877.5714303438	193965.62499999997	161005.84560953392	269893357.0759639	274529328.9647026	273650170.05383533	3	2.718290860142444e-05	-10.633864133086714	False	0.00012153621779290228	True	True	Human	True	False	False	True	diann231	directlfq	min	1.660964047443681
P00918ups|CAH2_HUMAN_UPS	159877.5714303438	193965.62499999997	161005.84560953392	439052023.68141407	440974611.39463633	433235457.34494776	3	2.8253895388439742e-05	-11.316717764048532	False	0.00014584346135148275	True	True	Human	True	False	False	True	diann231	directlfq	min	1.660964047443681
P15559ups|NQO1_HUMAN_UPS	159877.5714303438	193965.62499999997	161005.84560953392	170871073.09234914	168990479.70734414	172796760.793551	3	4.1355013230604336e-05	-9.959632391271496	False	0.00017015070491006322	True	True	Human	True	False	False	True	diann231	directlfq	min	1.660964047443681
P51965ups|UB2E1_HUMAN_UPS	159877.5714303438	193965.62499999997	161005.84560953392	14345820.495073086	14536907.079720313	14698306.941118415	3	4.146852706740374e-05	-6.40340714869137	False	0.00019445794846864367	True	True	Human	True	False	False	True	diann231	directlfq	min	1.660964047443681
Q15843ups|NEDD8_HUMAN_UPS	159877.5714303438	193965.62499999997	161005.84560953392	156036351.35487452	152096805.68677723	153053471.2046837	3	5.9596436278999604e-05	-9.806985484133744	False	0.00021876519202722412	True	True	Human	True	False	False	True	diann231	directlfq	min	1.660964047443681
P02787ups|TRFE_HUMAN_UPS	159877.5714303438	193965.62499999997	161005.84560953392	508882185.5809579	516489986.57541305	501189953.8677262	3	7.537416828353777e-05	-11.533849198915503	False	0.00024307243558580456	True	True	Human	True	False	False	True	diann231	directlfq	min	1.660964047443681
O00762ups|UBE2C_HUMAN_UPS	159877.5714303438	193965.62499999997	161005.84560953392	172799507.18911362	173184131.01137346	178038712.68203166	3	9.327042481468233e-05	-9.991263148055442	False	0.00026737967914438503	True	True	Human	True	False	False	True	diann231	directlfq	min	1.660964047443681
P01344ups|IGF2_HUMAN_UPS	159877.5714303438	193965.62499999997	161005.84560953392	38840990.58077127	39593708.69241769	38101802.62696037	3	0.0001227978872484702	-7.822416711154997	False	0.0002916869227029655	True	True	Human	True	False	False	True	diann231	directlfq	min	1.660964047443681
P68871ups|HBB_HUMAN_UPS	13683079.929498391	14772011.539045002	13424272.324180933	199353790.3608186	206700179.75177303	207269546.79539225	0	0.000125527261512823	-3.8723368389177573	False	0.000315994166261546	True	True	Human	True	False	False	True	diann231	directlfq	min	1.660964047443681
Q06830ups|PRDX1_HUMAN_UPS	159877.5714303438	193965.62499999997	161005.84560953392	219218286.31558415	212139186.23747623	219682056.8932188	3	0.00012662511561612475	-10.304379943161067	False	0.00034030140982012645	True	True	Human	True	False	False	True	diann231	directlfq	min	1.660964047443681
P09211ups|GSTP1_HUMAN_UPS	159877.5714303438	193965.62499999997	161005.84560953392	116447014.12115677	115101274.99953444	111994758.32512228	3	0.00013277061282186147	-9.382125686743702	False	0.00036460865337870687	True	True	Human	True	False	False	True	diann231	directlfq	min	1.660964047443681
P00709ups|LALBA_HUMAN_UPS	159877.5714303438	193965.62499999997	161005.84560953392	39252401.03372977	37601565.26774662	38718448.599265136	3	0.00015960260443238674	-7.810431893415427	False	0.00038891589693728734	True	True	Human	True	False	False	True	diann231	directlfq	min	1.660964047443681
P06732ups|KCRM_HUMAN_UPS	159877.5714303438	193965.62499999997	161005.84560953392	373456401.85897785	392681252.8863135	385443153.631493	3	0.0002133873084410987	-11.127178546303341	False	0.0004132231404958678	True	True	Human	True	False	False	True	diann231	directlfq	min	1.660964047443681
P33018	159877.5714303438	193965.62499999997	161005.84560953392	3910338.555268968	3830703.057903599	3689946.018444371	3	0.000215823789982533	-4.472656762557716	False	0.00043753038405444823	True	True	Ecoli	False	True	False	True	diann231	directlfq	min	1.660964047443681
P61626ups|LYSC_HUMAN_UPS	159877.5714303438	193965.62499999997	161005.84560953392	88950736.11029866	87978138.02304368	92379380.51280324	3	0.00022167581360635252	-9.030893251362603	False	0.0004618376276130287	True	True	Human	True	False	False	True	diann231	directlfq	min	1.660964047443681
P0AG16	14766597.146378389	14532672.1072193	14695428.124036243	15800863.03245583	16021423.055336729	15841777.509232398	0	0.0002270393547453874	-0.11557230554140506	False	0.0004861448711716091	True	False	Ecoli	False	True	False	True	diann231	directlfq	min	1.660964047443681
P01127ups|PDGFB_HUMAN_UPS	159877.5714303438	193965.62499999997	161005.84560953392	144938163.22557178	151926310.20656475	151914869.11959732	3	0.00024246903921607807	-9.767641070165201	False	0.0005104521147301896	True	True	Human	True	False	False	True	diann231	directlfq	min	1.660964047443681
P02768ups|ALBU_HUMAN_UPS	159877.5714303438	6934077.091019625	6987401.121132808	936477985.1725245	911312092.9373676	968892621.4050752	1	0.00025281662322815485	-7.644066995959399	False	0.0005347593582887701	True	True	Human	True	False	False	True	diann231	directlfq	min	1.660964047443681
P01579ups|IFNG_HUMAN_UPS	159877.5714303438	193965.62499999997	161005.84560953392	173634839.74189934	166940772.86139268	164691661.78115422	3	0.0002546771733339311	-9.93868154155974	False	0.0005590666018473506	True	True	Human	True	False	False	True	diann231	directlfq	min	1.660964047443681
P02144ups|MYG_HUMAN_UPS	159877.5714303438	193965.62499999997	161005.84560953392	272363624.3787277	282892395.2014319	287630199.0667106	3	0.0002580359809155554	-10.676972695040678	False	0.000583373845405931	True	True	Human	True	False	False	True	diann231	directlfq	min	1.660964047443681
