Protein.Group	Protein.Names	Genes	First.Protein.Description	N.Sequences	N.Proteotypic.Sequences	/home/lerost/DIA_tools_manuscript/input_files/PXD026600/RD139_Wide_UPS1_50fmol_inj2.mzML	/home/lerost/DIA_tools_manuscript/input_files/PXD026600/RD139_Wide_UPS1_25fmol_inj2.mzML	/home/lerost/DIA_tools_manuscript/input_files/PXD026600/RD139_Wide_UPS1_50fmol_inj3.mzML	/home/lerost/DIA_tools_manuscript/input_files/PXD026600/RD139_Wide_UPS1_25fmol_inj3.mzML	/home/lerost/DIA_tools_manuscript/input_files/PXD026600/RD139_Wide_UPS1_25fmol_inj1.mzML	/home/lerost/DIA_tools_manuscript/input_files/PXD026600/RD139_Wide_UPS1_50fmol_inj1.mzML
O00762ups|UBE2C_HUMAN_UPS	Ubiquitin-conjugating	Ubiquitin-conjugating		7	7	1.0787e+08	5.62681e+07	1.06713e+08	5.50099e+07	5.43319e+07	1.03834e+08
O76070ups|SYUG_HUMAN_UPS	Gamma-synuclein	Gamma-synuclein		12	11	2.0722e+08	1.1758e+08	2.08137e+08	1.15471e+08	1.14426e+08	2.12415e+08
P00167ups|CYB5_HUMAN_UPS	Cytochrome	Cytochrome		5	5	1.25735e+08	6.67765e+07	1.19558e+08	6.08972e+07	6.53845e+07	1.26663e+08
P00350	6PGD_ECOLI	gnd	6-phosphogluconate dehydrogenase, decarboxylating	27	27	3.48927e+08	3.4072e+08	3.49505e+08	3.36813e+08	3.28969e+08	3.41432e+08
P00363	FRDA_ECOLI	frdA	Fumarate reductase flavoprotein subunit	28	28	2.36028e+08	2.09177e+08	2.09102e+08	2.07599e+08	2.06924e+08	2.05709e+08
P00370	DHE4_ECOLI	gdhA	NADP-specific glutamate dehydrogenase	10	10	1.48642e+07	1.47395e+07	1.49728e+07	1.51e+07	1.52565e+07	1.45636e+07
P00393	DHNA_ECOLI	ndh	NADH dehydrogenase	18	18	2.50884e+07	2.55287e+07	2.41815e+07	2.37989e+07	2.46748e+07	2.32853e+07
P00441ups|SODC_HUMAN_UPS	Superoxide	Superoxide		2	2	5.32444e+07	3.25291e+07	6.00072e+07	3.17929e+07	3.37826e+07	5.69632e+07
P00448	SODM_ECOLI	sodA	Superoxide dismutase [Mn]	9	9	4.29799e+07	4.31467e+07	4.13483e+07	4.3321e+07	4.31704e+07	4.16464e+07
P00452	RIR1_ECOLI	nrdA	Ribonucleoside-diphosphate reductase 1 subunit alpha	31	31	4.27407e+07	4.06914e+07	4.39418e+07	4.0293e+07	4.08013e+07	4.27237e+07
P00490	PHSM_ECOLI	malP	Maltodextrin phosphorylase	29	29	3.70633e+07	3.50414e+07	3.61822e+07	3.53614e+07	3.75397e+07	3.68832e+07
P00509	AAT_ECOLI	aspC	Aspartate aminotransferase	26	26	8.82349e+07	8.98943e+07	9.32559e+07	8.75379e+07	8.96794e+07	8.89773e+07
P00547	KHSE_ECOLI	thrB	Homoserine kinase	2	2	3.20772e+06	3.09635e+06	3.10736e+06	3.27991e+06	3.20078e+06	3.12186e+06
P00550	PTM3C_ECOLI	mtlA	PTS system mannitol-specific EIICBA component	4	4	2.69502e+06	2.76281e+06	2.44115e+06	3.36323e+06	3.34873e+06	2.92895e+06
P00561	AK1H_ECOLI	thrA	Bifunctional aspartokinase/homoserine dehydrogenase 1	12	12	1.1948e+07	1.21558e+07	1.16577e+07	1.1753e+07	1.32231e+07	1.18686e+07
P00562	AK2H_ECOLI	metL	Bifunctional aspartokinase/homoserine dehydrogenase 2	16	16	8.69546e+06	8.62594e+06	8.80308e+06	8.59825e+06	9.25903e+06	8.80748e+06
P00579	RPOD_ECOLI	rpoD	RNA polymerase sigma factor RpoD	20	19	7.59992e+07	7.8118e+07	8.30698e+07	7.44807e+07	7.86079e+07	8.01059e+07
P00582	DPO1_ECOLI	polA	DNA polymerase I	42	42	2.38192e+07	2.41282e+07	2.36318e+07	2.32998e+07	2.39859e+07	2.29194e+07
P00709ups|LALBA_HUMAN_UPS	Alpha-lactalbumin	Alpha-lactalbumin		2	2	7.15113e+07	3.13421e+07	7.23182e+07	3.9227e+07	3.55382e+07	7.61049e+07
P00803	LEP_ECOLI	lepB	Signal peptidase I	6	6	1.56435e+07	1.52259e+07	1.50241e+07	1.46378e+07	1.48513e+07	1.52529e+07
P00805	ASPG2_ECOLI	ansB	L-asparaginase 2	18	18	1.41096e+08	1.38562e+08	1.45839e+08	1.40073e+08	1.42616e+08	1.42176e+08
P00811	AMPC_ECOLI	ampC	Beta-lactamase	6	6	3.73945e+06	3.75282e+06	3.58926e+06	3.15286e+06	3.5458e+06	3.59763e+06
P00861	DCDA_ECOLI	lysA	Diaminopimelate decarboxylase	2	2	1.30108e+06	1.01624e+06	982095	1.16332e+06	1.24647e+06	1.137e+06
P00864	CAPP_ECOLI	ppc	Phosphoenolpyruvate carboxylase	41	41	6.02993e+07	5.9724e+07	6.16231e+07	6.02049e+07	6.21049e+07	6.09498e+07
P00887	AROH_ECOLI	aroH	Phospho-2-dehydro-3-deoxyheptonate aldolase, Trp-sensitive	3	3	8.06168e+06	6.49835e+06	8.15242e+06	5.29269e+06	7.25382e+06	8.78034e+06
P00888	AROF_ECOLI	aroF	Phospho-2-dehydro-3-deoxyheptonate aldolase, Tyr-sensitive	8	7	1.03308e+07	1.11055e+07	1.06797e+07	1.08278e+07	1.09073e+07	1.06499e+07
P00892	ILVG_ECOLI	ilvG	Acetolactate synthase isozyme 2 large subunit	1	1	825885	689778		1.00657e+06	868120	771106
P00894	ILVH_ECOLI	ilvH	Acetolactate synthase isozyme 3 small subunit	3	3	939279	853330	1.20454e+06	1.18053e+06	973829	1.01539e+06
P00914	PHR_ECOLI	phrB	Deoxyribodipyrimidine photo-lyase	5	5	1.91468e+06	1.35069e+06	1.49164e+06	1.37958e+06	1.81115e+06	1.80107e+06
P00915ups|CAH1_HUMAN_UPS	Carbonic	Carbonic		10	10	1.28858e+08	6.55801e+07	1.21977e+08	6.58163e+07	6.49588e+07	1.27303e+08
