Protein.Group	Protein.Names	Genes	First.Protein.Description	N.Sequences	N.Proteotypic.Sequences	/home/lerost/DIA_tools_manuscript/input_files/PXD026600/RD139_Wide_UPS1_25fmol_inj2.mzML	/home/lerost/DIA_tools_manuscript/input_files/PXD026600/RD139_Wide_UPS1_1fmol_inj1.mzML	/home/lerost/DIA_tools_manuscript/input_files/PXD026600/RD139_Wide_UPS1_25fmol_inj3.mzML	/home/lerost/DIA_tools_manuscript/input_files/PXD026600/RD139_Wide_UPS1_1fmol_inj2.mzML	/home/lerost/DIA_tools_manuscript/input_files/PXD026600/RD139_Wide_UPS1_25fmol_inj1.mzML	/home/lerost/DIA_tools_manuscript/input_files/PXD026600/RD139_Wide_UPS1_1fmol_inj3.mzML
O00762ups|UBE2C_HUMAN_UPS	Ubiquitin-conjugating	Ubiquitin-conjugating		7	7	5.991e+07	1.15798e+06	5.97204e+07	2.24122e+06	5.83721e+07	1.98615e+06
O76070ups|SYUG_HUMAN_UPS	Gamma-synuclein	Gamma-synuclein		8	8	2.02081e+08	1.31375e+07	2.00036e+08		1.99643e+08	
P00167ups|CYB5_HUMAN_UPS	Cytochrome	Cytochrome		5	5	5.78979e+07		5.59226e+07		5.95835e+07	
P00350	6PGD_ECOLI	gnd	6-phosphogluconate dehydrogenase, decarboxylating	28	28	3.56648e+08	3.43699e+08	3.49192e+08	3.47461e+08	3.4222e+08	3.44976e+08
P00363	FRDA_ECOLI	frdA	Fumarate reductase flavoprotein subunit	28	28	2.21351e+08	2.4352e+08	2.22634e+08	2.38335e+08	2.28926e+08	2.43485e+08
P00370	DHE4_ECOLI	gdhA	NADP-specific glutamate dehydrogenase	10	10	1.52618e+07	1.49423e+07	1.5686e+07	1.55425e+07	1.60869e+07	1.45837e+07
P00393	DHNA_ECOLI	ndh	NADH dehydrogenase	18	18	2.50401e+07	2.36122e+07	2.36609e+07	2.54093e+07	2.4098e+07	2.43483e+07
P00441ups|SODC_HUMAN_UPS	Superoxide	Superoxide		2	2	3.50816e+07		3.43493e+07		3.4872e+07	
P00448	SODM_ECOLI	sodA	Superoxide dismutase [Mn]	9	9	4.73631e+07	4.6743e+07	4.82794e+07	4.52397e+07	4.90279e+07	4.81209e+07
P00452	RIR1_ECOLI	nrdA	Ribonucleoside-diphosphate reductase 1 subunit alpha	32	32	4.39248e+07	4.39964e+07	4.36272e+07	4.39384e+07	4.45978e+07	4.39831e+07
