Protein.Group	Protein.Names	Genes	First.Protein.Description	N.Sequences	N.Proteotypic.Sequences	/home/lerost/DIA_tools_manuscript/input_files/PXD026600/RD139_Wide_UPS1_25fmol_inj2.mzML	/home/lerost/DIA_tools_manuscript/input_files/PXD026600/RD139_Wide_UPS1_25fmol_inj3.mzML	/home/lerost/DIA_tools_manuscript/input_files/PXD026600/RD139_Wide_UPS1_2_5fmol_inj1.mzML	/home/lerost/DIA_tools_manuscript/input_files/PXD026600/RD139_Wide_UPS1_25fmol_inj1.mzML	/home/lerost/DIA_tools_manuscript/input_files/PXD026600/RD139_Wide_UPS1_2_5fmol_inj3.mzML	/home/lerost/DIA_tools_manuscript/input_files/PXD026600/RD139_Wide_UPS1_2_5fmol_inj2.mzML
O00762ups|UBE2C_HUMAN_UPS	Ubiquitin-conjugating	Ubiquitin-conjugating		7	7	5.6514e+07	5.47138e+07	4.61063e+06	5.48309e+07	3.88493e+06	4.05905e+06
O76070ups|SYUG_HUMAN_UPS	Gamma-synuclein	Gamma-synuclein		8	8	1.89167e+08	1.84641e+08	2.15436e+07	1.838e+08	1.70855e+07	2.05976e+07
P00167ups|CYB5_HUMAN_UPS	Cytochrome	Cytochrome		5	5	5.71279e+07	5.58021e+07	6.23737e+06	5.92624e+07		5.37112e+06
P00350	6PGD_ECOLI	gnd	6-phosphogluconate dehydrogenase, decarboxylating	27	27	3.42924e+08	3.35586e+08	3.36682e+08	3.25444e+08	3.35153e+08	3.3745e+08
P00363	FRDA_ECOLI	frdA	Fumarate reductase flavoprotein subunit	28	28	2.24949e+08	2.24947e+08	2.3669e+08	2.28061e+08	2.43188e+08	2.42179e+08
P00370	DHE4_ECOLI	gdhA	NADP-specific glutamate dehydrogenase	10	10	1.59466e+07	1.58379e+07	1.49049e+07	1.64578e+07	1.55365e+07	1.48367e+07
P00393	DHNA_ECOLI	ndh	NADH dehydrogenase	17	17	3.02319e+07	2.83718e+07	2.80998e+07	2.96949e+07	2.91726e+07	2.89038e+07
P00441ups|SODC_HUMAN_UPS	Superoxide	Superoxide		2	2	3.27806e+07	3.23275e+07		3.33526e+07		
P00448	SODM_ECOLI	sodA	Superoxide dismutase [Mn]	9	9	4.68498e+07	4.62667e+07	4.43455e+07	4.73293e+07	4.70628e+07	4.33969e+07
P00452	RIR1_ECOLI	nrdA	Ribonucleoside-diphosphate reductase 1 subunit alpha	32	32	4.23422e+07	4.19513e+07	4.34194e+07	4.28279e+07	4.30375e+07	4.23859e+07
