protein	RD139_Wide_UPS1_25fmol_inj1	RD139_Wide_UPS1_25fmol_inj2	RD139_Wide_UPS1_25fmol_inj3	RD139_Wide_UPS1_50fmol_inj1	RD139_Wide_UPS1_50fmol_inj2	RD139_Wide_UPS1_50fmol_inj3	Protein.Group	Protein.Ids	Protein.Names	Genes	isna	pval	log2_FC	Bonf_pass	BH_thr	BH_pass	FC_pass	Organism	Human	Ecoli	Yeast	FDR_pass	Search Engine	Quantitation	Imputation	FC_thr
P05413ups|FABPH_HUMAN_UPS Fatty acid-binding protein, heart (Chain 2-133) - Homo sapiens (Human)	53129083.42439524	52566054.988542266	53628032.55017575	98519235.39822504	97069031.9353511	97857069.19118552	P05413ups|FABPH_HUMAN_UPS Fatty acid-binding protein, heart (Chain 2-133) - Homo sapiens (Human)	P05413ups|FABPH_HUMAN_UPS Fatty acid-binding protein, heart (Chain 2-133) - Homo sapiens (Human)			0	3.412360593818611e-07	-0.8811356821378574	True	2.5960539979231568e-05	True	True	Human	True	False	False	True	msfragger	directlfq	min	0.5
P02787ups|TRFE_HUMAN_UPS Serotransferrin (Chain 20-698) - Homo sapiens (Human)	191995012.82589844	192307337.26065832	189390447.1090976	346595464.486555	350043274.6801264	345578593.13454014	P02787ups|TRFE_HUMAN_UPS Serotransferrin (Chain 20-698) - Homo sapiens (Human)	P02787ups|TRFE_HUMAN_UPS Serotransferrin (Chain 20-698) - Homo sapiens (Human)			0	3.6853982251128347e-07	-0.8613058424638875	True	5.1921079958463136e-05	True	True	Human	True	False	False	True	msfragger	directlfq	min	0.5
P12081ups|SYHC_HUMAN_UPS Histidyl-tRNA synthetase, cytoplasmic (Chain 1-509, C terminal His tag) - Homo sapiens (Human)	105519802.40034182	104825464.03142457	109219741.8977584	206476864.9895684	210222727.13005567	210547085.5856281	P12081ups|SYHC_HUMAN_UPS Histidyl-tRNA synthetase, cytoplasmic (Chain 1-509, C terminal His tag) - Homo sapiens (Human)	P12081ups|SYHC_HUMAN_UPS Histidyl-tRNA synthetase, cytoplasmic (Chain 1-509, C terminal His tag) - Homo sapiens (Human)			0	7.031197229260771e-07	-0.9729234792721921	True	7.788161993769472e-05	True	True	Human	True	False	False	True	msfragger	directlfq	min	0.5
P06732ups|KCRM_HUMAN_UPS Creatine kinase M-type (Chain 1-381) - Homo sapiens (Human)	69419750.4453986	71589140.75295681	68964312.76496644	130579802.4931253	129812785.59103422	132251490.36665928	P06732ups|KCRM_HUMAN_UPS Creatine kinase M-type (Chain 1-381) - Homo sapiens (Human)	P06732ups|KCRM_HUMAN_UPS Creatine kinase M-type (Chain 1-381) - Homo sapiens (Human)			0	7.042017771832885e-07	-0.9030169116669222	True	0.00010384215991692627	True	True	Human	True	False	False	True	msfragger	directlfq	min	0.5
P04040ups|CATA_HUMAN_UPS Catalase (Chain 2-527) - Homo sapiens (Human)	39532223.97819039	40414146.29125478	38640113.99595439	73675289.0781458	71907189.83036795	72710833.71593109	P04040ups|CATA_HUMAN_UPS Catalase (Chain 2-527) - Homo sapiens (Human)	P04040ups|CATA_HUMAN_UPS Catalase (Chain 2-527) - Homo sapiens (Human)			0	1.3434471752132309e-06	-0.8803283442759037	True	0.00012980269989615784	True	True	Human	True	False	False	True	msfragger	directlfq	min	0.5
P62937ups|PPIA_HUMAN_UPS Peptidyl-prolyl cis-trans isomerase A (Chain 1-165, N terminal His tag)- Homo sapiens (Human)	26697296.40270952	25743572.89773933	25713015.358721368	46238570.57640792	46314010.83354869	47216610.90746448	P62937ups|PPIA_HUMAN_UPS Peptidyl-prolyl cis-trans isomerase A (Chain 1-165, N terminal His tag)- Homo sapiens (Human)	P62937ups|PPIA_HUMAN_UPS Peptidyl-prolyl cis-trans isomerase A (Chain 1-165, N terminal His tag)- Homo sapiens (Human)			0	1.3987753178548934e-06	-0.8386569097673197	True	0.00015576323987538944	True	True	Human	True	False	False	True	msfragger	directlfq	min	0.5
P01579ups|IFNG_HUMAN_UPS Interferon Gamma (Chain 23-166) - Homo sapiens (Human)	31491884.95576317	31675374.835267223	32696395.47549621	57563507.42450408	56681952.19044209	56759353.99009892	P01579ups|IFNG_HUMAN_UPS Interferon Gamma (Chain 23-166) - Homo sapiens (Human)	P01579ups|IFNG_HUMAN_UPS Interferon Gamma (Chain 23-166) - Homo sapiens (Human)			0	1.691184525048692e-06	-0.8349810801659566	True	0.000181723779854621	True	True	Human	True	False	False	True	msfragger	directlfq	min	0.5
P01127ups|PDGFB_HUMAN_UPS Platelet-derived growth factor B chain (Chain 82-190) - Homo sapiens (Human)	47960692.98420373	50001771.34399531	49677251.72006475	90413985.57689103	90251164.664053	92538848.62294288	P01127ups|PDGFB_HUMAN_UPS Platelet-derived growth factor B chain (Chain 82-190) - Homo sapiens (Human)	P01127ups|PDGFB_HUMAN_UPS Platelet-derived growth factor B chain (Chain 82-190) - Homo sapiens (Human)			0	2.2030004905683847e-06	-0.8878977323882689	True	0.00020768431983385254	True	True	Human	True	False	False	True	msfragger	directlfq	min	0.5
P08758ups|ANXA5_HUMAN_UPS Annexin A5 (Chain 2-320) - Homo sapiens (Human)	58116542.0336758	61098256.033298254	59628621.36318474	111458065.46072675	109099636.27133492	109921839.94049592	P08758ups|ANXA5_HUMAN_UPS Annexin A5 (Chain 2-320) - Homo sapiens (Human)	P08758ups|ANXA5_HUMAN_UPS Annexin A5 (Chain 2-320) - Homo sapiens (Human)			0	2.22452681297778e-06	-0.885863929364023	True	0.00023364485981308412	True	True	Human	True	False	False	True	msfragger	directlfq	min	0.5
P16083ups|NQO2_HUMAN_UPS Ribosyldihydronicotinamide dehydrogenase [quinone] (Chain 2-231) - Homo sapiens (Human)	35272731.94757337	37161294.41848864	35078346.407066904	67513778.53743166	66401350.17816725	65356411.29062032	P16083ups|NQO2_HUMAN_UPS Ribosyldihydronicotinamide dehydrogenase [quinone] (Chain 2-231) - Homo sapiens (Human)	P16083ups|NQO2_HUMAN_UPS Ribosyldihydronicotinamide dehydrogenase [quinone] (Chain 2-231) - Homo sapiens (Human)			0	4.878315916756404e-06	-0.8902329808895655	True	0.00025960539979231567	True	True	Human	True	False	False	True	msfragger	directlfq	min	0.5
