protein	RD139_Wide_UPS1_1fmol_inj1	RD139_Wide_UPS1_1fmol_inj2	RD139_Wide_UPS1_1fmol_inj3	RD139_Wide_UPS1_50fmol_inj1	RD139_Wide_UPS1_50fmol_inj2	RD139_Wide_UPS1_50fmol_inj3	Protein.Group	Protein.Ids	Protein.Names	Genes	isna	pval	log2_FC	Bonf_pass	BH_thr	BH_pass	FC_pass	Organism	Human	Ecoli	Yeast	FDR_pass	Search Engine	Quantitation	Imputation	FC_thr
P02787ups|TRFE_HUMAN_UPS Serotransferrin (Chain 20-698) - Homo sapiens (Human)	18713640.67805997	16293304.78459128	14576372.2731628	349002382.25933343	352349937.71237546	348726661.8906169	P02787ups|TRFE_HUMAN_UPS Serotransferrin (Chain 20-698) - Homo sapiens (Human)	P02787ups|TRFE_HUMAN_UPS Serotransferrin (Chain 20-698) - Homo sapiens (Human)			0	3.850070647111137e-09	-4.404499225535111	True	2.6001040041601664e-05	True	True	Human	True	False	False	True	msfragger	directlfq	min	1.660964047443681
P63165ups|SUMO1_HUMAN_UPS Small ubiquitin-related modifier 1 (Chain 1-97, N-terminal GST tag) - Homo sapiens (Human)	8279579.807719241	8654340.532438798	9345913.850866072	55747100.64228056	55707929.11849458	55062275.56498852	P63165ups|SUMO1_HUMAN_UPS Small ubiquitin-related modifier 1 (Chain 1-97, N-terminal GST tag) - Homo sapiens (Human)	P63165ups|SUMO1_HUMAN_UPS Small ubiquitin-related modifier 1 (Chain 1-97, N-terminal GST tag) - Homo sapiens (Human)			0	1.1681966851676618e-07	-2.6636440389814053	True	5.200208008320333e-05	True	True	Human	True	False	False	True	msfragger	directlfq	min	1.660964047443681
P15559ups|NQO1_HUMAN_UPS NAD(P)H dehydrogenase [quinone] 1 (Chain 2-274) - Homo sapiens (Human)	1198553.329881888	3064040.4206653405	2079043.9793958217	52742520.63134848	54230598.557841085	52489925.278716445	P15559ups|NQO1_HUMAN_UPS NAD(P)H dehydrogenase [quinone] 1 (Chain 2-274) - Homo sapiens (Human)	P15559ups|NQO1_HUMAN_UPS NAD(P)H dehydrogenase [quinone] 1 (Chain 2-274) - Homo sapiens (Human)			0	3.025437091685082e-07	-4.652222843251674	True	7.8003120124805e-05	True	True	Human	True	False	False	True	msfragger	directlfq	min	1.660964047443681
P01579ups|IFNG_HUMAN_UPS Interferon Gamma (Chain 23-166) - Homo sapiens (Human)	8161904.693763714	9096153.414121198	9208718.77923067	51733265.97741437	51712525.38141547	53007332.35347406	P01579ups|IFNG_HUMAN_UPS Interferon Gamma (Chain 23-166) - Homo sapiens (Human)	P01579ups|IFNG_HUMAN_UPS Interferon Gamma (Chain 23-166) - Homo sapiens (Human)			0	3.1900412605269235e-07	-2.5634760435803425	True	0.00010400416016640666	True	True	Human	True	False	False	True	msfragger	directlfq	min	1.660964047443681
P01112ups|RASH_HUMAN_UPS GTPase HRas (Chain 1-189) - Homo sapiens (Human)	3933003.852375256	4626530.253338689	6236359.817018557	52716476.12233919	52800976.93712906	54823811.10917005	P01112ups|RASH_HUMAN_UPS GTPase HRas (Chain 1-189) - Homo sapiens (Human)	P01112ups|RASH_HUMAN_UPS GTPase HRas (Chain 1-189) - Homo sapiens (Human)			0	9.551737583839368e-07	-3.4378769864354624	True	0.00013000520020800833	True	True	Human	True	False	False	True	msfragger	directlfq	min	1.660964047443681
P01133ups|EGF_HUMAN_UPS Pro-Epidermal growth factor (EGF) (Chain 971-1023) - Homo sapiens (Human)	68226.96806139502	83804.17969000003	981760.355268814	24906067.10766911	25646485.480443325	24281924.290239245	P01133ups|EGF_HUMAN_UPS Pro-Epidermal growth factor (EGF) (Chain 971-1023) - Homo sapiens (Human)	P01133ups|EGF_HUMAN_UPS Pro-Epidermal growth factor (EGF) (Chain 971-1023) - Homo sapiens (Human)			2	2.0619031688823925e-06	-6.0444758176860995	True	0.00015600624024961	True	True	Human	True	False	False	True	msfragger	directlfq	min	1.660964047443681
P01127ups|PDGFB_HUMAN_UPS Platelet-derived growth factor B chain (Chain 82-190) - Homo sapiens (Human)	3623823.8750799303	2764967.7465203763	3504435.742291224	89210986.16911113	87626480.96055205	87271324.113899	P01127ups|PDGFB_HUMAN_UPS Platelet-derived growth factor B chain (Chain 82-190) - Homo sapiens (Human)	P01127ups|PDGFB_HUMAN_UPS Platelet-derived growth factor B chain (Chain 82-190) - Homo sapiens (Human)			0	2.4346902340298017e-06	-4.738547281221096	True	0.00018200728029121166	True	True	Human	True	False	False	True	msfragger	directlfq	min	1.660964047443681
P61626ups|LYSC_HUMAN_UPS Lysozyme C (Chain 19-148) - Homo sapiens (Human)	2332356.5905660805	2417129.7573967758	3022567.268035917	37115095.828618765	36375852.06269399	35778915.43613197	P61626ups|LYSC_HUMAN_UPS Lysozyme C (Chain 19-148) - Homo sapiens (Human)	P61626ups|LYSC_HUMAN_UPS Lysozyme C (Chain 19-148) - Homo sapiens (Human)			0	2.9738120596876514e-06	-3.813455896288163	True	0.0002080083203328133	True	True	Human	True	False	False	True	msfragger	directlfq	min	1.660964047443681
P05413ups|FABPH_HUMAN_UPS Fatty acid-binding protein, heart (Chain 2-133) - Homo sapiens (Human)	4396439.134912116	8876547.642582627	11199702.498875905	97044650.55810603	94097401.66267514	101387020.08852352	P05413ups|FABPH_HUMAN_UPS Fatty acid-binding protein, heart (Chain 2-133) - Homo sapiens (Human)	P05413ups|FABPH_HUMAN_UPS Fatty acid-binding protein, heart (Chain 2-133) - Homo sapiens (Human)			0	6.921759506456603e-06	-3.5793354592714755	True	0.000234009360374415	True	True	Human	True	False	False	True	msfragger	directlfq	min	1.660964047443681
P06732ups|KCRM_HUMAN_UPS Creatine kinase M-type (Chain 1-381) - Homo sapiens (Human)	4605120.571473105	5736143.608354773	5362400.79895084	126081917.86026151	123535373.22423628	123221258.39878333	P06732ups|KCRM_HUMAN_UPS Creatine kinase M-type (Chain 1-381) - Homo sapiens (Human)	P06732ups|KCRM_HUMAN_UPS Creatine kinase M-type (Chain 1-381) - Homo sapiens (Human)			0	7.541549645821941e-06	-4.569377829572356	True	0.00026001040041601667	True	True	Human	True	False	False	True	msfragger	directlfq	min	1.660964047443681
P02788ups|TRFL_HUMAN_UPS Lactotransferrin (Chain 20-710) - Homo sapiens (Human)	13676743.79932458	13470651.818461504	12713638.854454191	357910522.7378633	356527953.2453142	352495353.4585661	P02788ups|TRFL_HUMAN_UPS Lactotransferrin (Chain 20-710) - Homo sapiens (Human)	P02788ups|TRFL_HUMAN_UPS Lactotransferrin (Chain 20-710) - Homo sapiens (Human)			0	1.2692102725479491e-05	-4.742347742245172	True	0.0002860114404576183	True	True	Human	True	False	False	True	msfragger	directlfq	min	1.660964047443681
P99999ups|CYC_HUMAN_UPS Cytochrome c (Chain 2-105) - Homo sapiens (Human)	68226.96806139502	1837942.0679788769	1346571.2368736467	22275012.15787529	23484576.329222944	22699585.21268468	P99999ups|CYC_HUMAN_UPS Cytochrome c (Chain 2-105) - Homo sapiens (Human)	P99999ups|CYC_HUMAN_UPS Cytochrome c (Chain 2-105) - Homo sapiens (Human)			1	1.5154696595819572e-05	-4.3955163444006455	True	0.00031201248049922	True	True	Human	True	False	False	True	msfragger	directlfq	min	1.660964047443681
P00441ups|SODC_HUMAN_UPS Superoxide dismutase [Cu-Zn] (Chain 2-154) - Homo sapiens (Human)	68226.96806139502	1566423.0638863333	11508.755275912104	28932643.29644636	28402920.34048549	28053344.973318413	P00441ups|SODC_HUMAN_UPS Superoxide dismutase [Cu-Zn] (Chain 2-154) - Homo sapiens (Human)	P00441ups|SODC_HUMAN_UPS Superoxide dismutase [Cu-Zn] (Chain 2-154) - Homo sapiens (Human)			2	2.1864694343147478e-05	-5.696873277715113	True	0.0003380135205408216	True	True	Human	True	False	False	True	msfragger	directlfq	min	1.660964047443681
