protein	RD139_Wide_UPS1_25fmol_inj1	RD139_Wide_UPS1_25fmol_inj2	RD139_Wide_UPS1_25fmol_inj3	RD139_Wide_UPS1_5fmol_inj1	RD139_Wide_UPS1_5fmol_inj2	RD139_Wide_UPS1_5fmol_inj3	Protein.Group	Protein.Ids	Protein.Names	Genes	isna	pval	log2_FC	Bonf_pass	BH_thr	BH_pass	FC_pass	Organism	Human	Ecoli	Yeast	FDR_pass	Search Engine	Quantitation	Imputation	FC_thr
P69905ups|HBA_HUMAN_UPS Hemoglobin subunit alpha (Chain 2-142) - Homo sapiens (Human)	23275863.784102783	22644876.94655362	23162295.534704108	5465286.466869184	5553100.548805703	5013656.631214542	P69905ups|HBA_HUMAN_UPS Hemoglobin subunit alpha (Chain 2-142) - Homo sapiens (Human)	P69905ups|HBA_HUMAN_UPS Hemoglobin subunit alpha (Chain 2-142) - Homo sapiens (Human)			0	3.4734787153045635e-07	2.1073731507269993	True	2.6288117770767615e-05	True	True	Human	True	False	False	True	msfragger	directlfq	min	1.160964047443681
P06396ups|GELS_HUMAN_UPS Gelsolin (Chain 28-782) - Homo sapiens (Human)	52488651.05025118	52743446.68638803	53190078.8033396	14173022.825568471	14227693.205756843	13178324.078898529	P06396ups|GELS_HUMAN_UPS Gelsolin (Chain 28-782) - Homo sapiens (Human)	P06396ups|GELS_HUMAN_UPS Gelsolin (Chain 28-782) - Homo sapiens (Human)			0	8.518642748603796e-07	1.9298459457310613	True	5.257623554153523e-05	True	True	Human	True	False	False	True	msfragger	directlfq	min	1.160964047443681
P00441ups|SODC_HUMAN_UPS Superoxide dismutase [Cu-Zn] (Chain 2-154) - Homo sapiens (Human)	17583393.482451882	18087433.303731296	17963853.329139482	5421843.3789613545	5061726.630360802	5273876.125999195	P00441ups|SODC_HUMAN_UPS Superoxide dismutase [Cu-Zn] (Chain 2-154) - Homo sapiens (Human)	P00441ups|SODC_HUMAN_UPS Superoxide dismutase [Cu-Zn] (Chain 2-154) - Homo sapiens (Human)			0	1.1360661591424785e-06	1.767132416078492	True	7.886435331230284e-05	True	True	Human	True	False	False	True	msfragger	directlfq	min	1.160964047443681
P01579ups|IFNG_HUMAN_UPS Interferon Gamma (Chain 23-166) - Homo sapiens (Human)	29747127.111463044	30757304.766775083	30073673.864766315	6510995.026915145	6273929.694225167	5934084.450068781	P01579ups|IFNG_HUMAN_UPS Interferon Gamma (Chain 23-166) - Homo sapiens (Human)	P01579ups|IFNG_HUMAN_UPS Interferon Gamma (Chain 23-166) - Homo sapiens (Human)			0	3.870078441539432e-06	2.274658296013183	True	0.00010515247108307046	True	True	Human	True	False	False	True	msfragger	directlfq	min	1.160964047443681
P00167ups|CYB5_HUMAN_UPS Cytochrome b5 (Chain 1-134, N-terminal His tag) - Homo sapiens (Human)	24642562.006217662	24927900.51122987	23913968.02552613	7931436.669631528	7417002.848733954	6672040.460192192	P00167ups|CYB5_HUMAN_UPS Cytochrome b5 (Chain 1-134, N-terminal His tag) - Homo sapiens (Human)	P00167ups|CYB5_HUMAN_UPS Cytochrome b5 (Chain 1-134, N-terminal His tag) - Homo sapiens (Human)			0	4.9324436967952205e-06	1.7385926968795302	True	0.00013144058885383806	True	True	Human	True	False	False	True	msfragger	directlfq	min	1.160964047443681
Q15843ups|NEDD8_HUMAN_UPS NEDD8 (Chain 1-81) - Homo sapiens (Human)	29514840.922408126	28320720.11084322	29486775.11516588	6481994.364937718	7359678.9584911	6721044.757746418	Q15843ups|NEDD8_HUMAN_UPS NEDD8 (Chain 1-81) - Homo sapiens (Human)	Q15843ups|NEDD8_HUMAN_UPS NEDD8 (Chain 1-81) - Homo sapiens (Human)			0	5.220837898799019e-06	2.0863197478354425	True	0.0001577287066246057	True	True	Human	True	False	False	True	msfragger	directlfq	min	1.160964047443681
P15559ups|NQO1_HUMAN_UPS NAD(P)H dehydrogenase [quinone] 1 (Chain 2-274) - Homo sapiens (Human)	25777593.84734308	25725643.55174807	25053150.05910803	6558607.843805099	7022310.328252071	5833452.220529189	P15559ups|NQO1_HUMAN_UPS NAD(P)H dehydrogenase [quinone] 1 (Chain 2-274) - Homo sapiens (Human)	P15559ups|NQO1_HUMAN_UPS NAD(P)H dehydrogenase [quinone] 1 (Chain 2-274) - Homo sapiens (Human)			0	5.411324048805537e-06	1.979397832104792	True	0.00018401682439537332	True	True	Human	True	False	False	True	msfragger	directlfq	min	1.160964047443681
P41159ups|LEP_HUMAN_UPS Leptin (Chain 22-167) - Homo sapiens (Human)	17316023.39045505	17296161.929313403	17330353.420419995	5879166.525419003	6078920.279784873	5883729.599927471	P41159ups|LEP_HUMAN_UPS Leptin (Chain 22-167) - Homo sapiens (Human)	P41159ups|LEP_HUMAN_UPS Leptin (Chain 22-167) - Homo sapiens (Human)			0	2.2872931593811476e-05	1.5416540309686761	True	0.00021030494216614092	True	True	Human	True	False	False	True	msfragger	directlfq	min	1.160964047443681
P02753ups|RETBP_HUMAN_UPS Retinol-binding protein 4 (Chain 19-201) - Homo sapiens (Human)	9891061.550814712	10496594.833055178	10497335.20561736	3733988.988782765	2973988.335475579	3666341.305805466	P02753ups|RETBP_HUMAN_UPS Retinol-binding protein 4 (Chain 19-201) - Homo sapiens (Human)	P02753ups|RETBP_HUMAN_UPS Retinol-binding protein 4 (Chain 19-201) - Homo sapiens (Human)			0	3.488957005692184e-05	1.5738893523307165	False	0.00023659305993690852	True	True	Human	True	False	False	True	msfragger	directlfq	min	1.160964047443681
P12081ups|SYHC_HUMAN_UPS Histidyl-tRNA synthetase, cytoplasmic (Chain 1-509, C terminal His tag) - Homo sapiens (Human)	97991468.64846969	95041235.4926198	96535908.67612094	20220029.4530696	20695678.964588378	21115459.64155152	P12081ups|SYHC_HUMAN_UPS Histidyl-tRNA synthetase, cytoplasmic (Chain 1-509, C terminal His tag) - Homo sapiens (Human)	P12081ups|SYHC_HUMAN_UPS Histidyl-tRNA synthetase, cytoplasmic (Chain 1-509, C terminal His tag) - Homo sapiens (Human)			0	3.5096886632603454e-05	2.2228400364787526	False	0.0002628811777076761	True	True	Human	True	False	False	True	msfragger	directlfq	min	1.160964047443681
