protein	RD139_Wide_UPS1_50fmol_inj1	RD139_Wide_UPS1_50fmol_inj2	RD139_Wide_UPS1_50fmol_inj3	RD139_Wide_UPS1_5fmol_inj1	RD139_Wide_UPS1_5fmol_inj2	RD139_Wide_UPS1_5fmol_inj3	Protein.Group	Protein.Ids	Protein.Names	Genes	isna	pval	log2_FC	Bonf_pass	BH_thr	BH_pass	FC_pass	Organism	Human	Ecoli	Yeast	FDR_pass	Search Engine	Quantitation	Imputation	FC_thr
P00441ups|SODC_HUMAN_UPS Superoxide dismutase [Cu-Zn] (Chain 2-154) - Homo sapiens (Human)	26777265.51625973	26607498.514083225	26360704.86786665	4010714.9754363936	4390891.392036941	4058562.875193511	P00441ups|SODC_HUMAN_UPS Superoxide dismutase [Cu-Zn] (Chain 2-154) - Homo sapiens (Human)	P00441ups|SODC_HUMAN_UPS Superoxide dismutase [Cu-Zn] (Chain 2-154) - Homo sapiens (Human)			0	1.986028189040706e-08	2.6780788837404743	True	2.6680896478121665e-05	True	True	Human	True	False	False	True	msfragger	directlfq	min	1.660964047443681
P04040ups|CATA_HUMAN_UPS Catalase (Chain 2-527) - Homo sapiens (Human)	68310998.75365116	68921235.0596587	68643245.40801673	10319363.545579623	11225762.63045928	10719187.73884419	P04040ups|CATA_HUMAN_UPS Catalase (Chain 2-527) - Homo sapiens (Human)	P04040ups|CATA_HUMAN_UPS Catalase (Chain 2-527) - Homo sapiens (Human)			0	4.247040660913162e-08	2.6737607554468332	True	5.336179295624333e-05	True	True	Human	True	False	False	True	msfragger	directlfq	min	1.660964047443681
P02787ups|TRFE_HUMAN_UPS Serotransferrin (Chain 20-698) - Homo sapiens (Human)	322281384.38269734	323649460.5824491	320813740.22707003	50264533.22524852	47443019.20164155	46098595.81554287	P02787ups|TRFE_HUMAN_UPS Serotransferrin (Chain 20-698) - Homo sapiens (Human)	P02787ups|TRFE_HUMAN_UPS Serotransferrin (Chain 20-698) - Homo sapiens (Human)			0	4.318620127623628e-08	2.7490094210674925	True	8.0042689434365e-05	True	True	Human	True	False	False	True	msfragger	directlfq	min	1.660964047443681
P63165ups|SUMO1_HUMAN_UPS Small ubiquitin-related modifier 1 (Chain 1-97, N-terminal GST tag) - Homo sapiens (Human)	55640302.87260077	53645807.88537893	54801968.59063656	11629722.665028043	10257506.98033814	9532545.533440666	P63165ups|SUMO1_HUMAN_UPS Small ubiquitin-related modifier 1 (Chain 1-97, N-terminal GST tag) - Homo sapiens (Human)	P63165ups|SUMO1_HUMAN_UPS Small ubiquitin-related modifier 1 (Chain 1-97, N-terminal GST tag) - Homo sapiens (Human)			0	8.296423271994892e-07	2.384725671204349	True	0.00010672358591248666	True	True	Human	True	False	False	True	msfragger	directlfq	min	1.660964047443681
P16083ups|NQO2_HUMAN_UPS Ribosyldihydronicotinamide dehydrogenase [quinone] (Chain 2-231) - Homo sapiens (Human)	66546208.60237224	64878844.95303871	64742665.16099198	8089416.076313398	8389315.062213905	9297292.433953904	P16083ups|NQO2_HUMAN_UPS Ribosyldihydronicotinamide dehydrogenase [quinone] (Chain 2-231) - Homo sapiens (Human)	P16083ups|NQO2_HUMAN_UPS Ribosyldihydronicotinamide dehydrogenase [quinone] (Chain 2-231) - Homo sapiens (Human)			0	1.1038967918150683e-06	2.9279860281212473	True	0.00013340448239060833	True	True	Human	True	False	False	True	msfragger	directlfq	min	1.660964047443681
P09211ups|GSTP1_HUMAN_UPS Glutathione S-transferase P (Chain 2-210) - Homo sapiens (Human)	28056172.41597494	29487962.67060485	28608348.0933249	3255175.091190729	4427787.05140775	4215694.457428745	P09211ups|GSTP1_HUMAN_UPS Glutathione S-transferase P (Chain 2-210) - Homo sapiens (Human)	P09211ups|GSTP1_HUMAN_UPS Glutathione S-transferase P (Chain 2-210) - Homo sapiens (Human)			0	1.8357695005231692e-06	2.8560936825554553	True	0.00016008537886873	True	True	Human	True	False	False	True	msfragger	directlfq	min	1.660964047443681
P21866	2136602.2499999977	2172869.4418016667	2150389.4796135454	1300298.6902205015	1259667.5053180377	1255634.201217196	P21866	P21866		kdpE	0	2.396883894956514e-06	0.7595930728215837	True	0.00018676627534685168	True	False	Ecoli	False	True	False	True	msfragger	directlfq	min	1.660964047443681
P62937ups|PPIA_HUMAN_UPS Peptidyl-prolyl cis-trans isomerase A (Chain 1-165, N terminal His tag)- Homo sapiens (Human)	42321332.48307128	43987362.85335676	43384828.19091737	6312348.346199321	7112070.341531306	7030668.368740742	P62937ups|PPIA_HUMAN_UPS Peptidyl-prolyl cis-trans isomerase A (Chain 1-165, N terminal His tag)- Homo sapiens (Human)	P62937ups|PPIA_HUMAN_UPS Peptidyl-prolyl cis-trans isomerase A (Chain 1-165, N terminal His tag)- Homo sapiens (Human)			0	7.234363845520356e-06	2.664574855456283	True	0.00021344717182497332	True	True	Human	True	False	False	True	msfragger	directlfq	min	1.660964047443681
P00167ups|CYB5_HUMAN_UPS Cytochrome b5 (Chain 1-134, N-terminal His tag) - Homo sapiens (Human)	44330369.73320095	43485762.56353353	42673937.09793754	6662188.547040324	6400988.3306529885	5849847.159248063	P00167ups|CYB5_HUMAN_UPS Cytochrome b5 (Chain 1-134, N-terminal His tag) - Homo sapiens (Human)	P00167ups|CYB5_HUMAN_UPS Cytochrome b5 (Chain 1-134, N-terminal His tag) - Homo sapiens (Human)			0	7.912933696062513e-06	2.7864880565297145	True	0.000240128068303095	True	True	Human	True	False	False	True	msfragger	directlfq	min	1.660964047443681
P08758ups|ANXA5_HUMAN_UPS Annexin A5 (Chain 2-320) - Homo sapiens (Human)	99681367.80279982	98095181.29911844	96728900.3537639	10486628.370036216	11606941.161318906	10946727.71849061	P08758ups|ANXA5_HUMAN_UPS Annexin A5 (Chain 2-320) - Homo sapiens (Human)	P08758ups|ANXA5_HUMAN_UPS Annexin A5 (Chain 2-320) - Homo sapiens (Human)			0	1.2466672038030535e-05	3.1559957583163136	True	0.00026680896478121667	True	True	Human	True	False	False	True	msfragger	directlfq	min	1.660964047443681
P05413ups|FABPH_HUMAN_UPS Fatty acid-binding protein, heart (Chain 2-133) - Homo sapiens (Human)	103535236.5972309	107419351.76677307	105530011.13313957	15053655.947511036	14154715.715982702	13340020.600382546	P05413ups|FABPH_HUMAN_UPS Fatty acid-binding protein, heart (Chain 2-133) - Homo sapiens (Human)	P05413ups|FABPH_HUMAN_UPS Fatty acid-binding protein, heart (Chain 2-133) - Homo sapiens (Human)			0	1.2537055500117894e-05	2.8949587738779616	True	0.00029348986125933834	True	True	Human	True	False	False	True	msfragger	directlfq	min	1.660964047443681
P15559ups|NQO1_HUMAN_UPS NAD(P)H dehydrogenase [quinone] 1 (Chain 2-274) - Homo sapiens (Human)	54521563.89091469	55591405.76707935	54902983.68095738	6788046.208307643	6908521.688119597	6626708.38759137	P15559ups|NQO1_HUMAN_UPS NAD(P)H dehydrogenase [quinone] 1 (Chain 2-274) - Homo sapiens (Human)	P15559ups|NQO1_HUMAN_UPS NAD(P)H dehydrogenase [quinone] 1 (Chain 2-274) - Homo sapiens (Human)			0	1.4006293425488181e-05	3.0214006068299684	True	0.00032017075773746	True	True	Human	True	False	False	True	msfragger	directlfq	min	1.660964047443681
P06732ups|KCRM_HUMAN_UPS Creatine kinase M-type (Chain 1-381) - Homo sapiens (Human)	121106830.52126674	120762495.0001176	117355607.06455144	13889285.109325567	15272672.467647996	13789722.16933501	P06732ups|KCRM_HUMAN_UPS Creatine kinase M-type (Chain 1-381) - Homo sapiens (Human)	P06732ups|KCRM_HUMAN_UPS Creatine kinase M-type (Chain 1-381) - Homo sapiens (Human)			0	1.5269368902379685e-05	3.064101027901602	True	0.0003468516542155817	True	True	Human	True	False	False	True	msfragger	directlfq	min	1.660964047443681
P00918ups|CAH2_HUMAN_UPS Carbonic anhydrase 2 (Chain 2-260) - Homo sapiens (Human)	109509412.91632774	109089684.1366372	113045596.3301797	14058078.847685603	13223188.297993025	12250572.621939937	P00918ups|CAH2_HUMAN_UPS Carbonic anhydrase 2 (Chain 2-260) - Homo sapiens (Human)	P00918ups|CAH2_HUMAN_UPS Carbonic anhydrase 2 (Chain 2-260) - Homo sapiens (Human)			0	1.819597806620693e-05	3.0685514383800787	True	0.00037353255069370335	True	True	Human	True	False	False	True	msfragger	directlfq	min	1.660964047443681
P61626ups|LYSC_HUMAN_UPS Lysozyme C (Chain 19-148) - Homo sapiens (Human)	36297118.83964387	35817906.898820415	35342753.22223406	5589202.047232386	5558637.131113608	5782703.847474078	P61626ups|LYSC_HUMAN_UPS Lysozyme C (Chain 19-148) - Homo sapiens (Human)	P61626ups|LYSC_HUMAN_UPS Lysozyme C (Chain 19-148) - Homo sapiens (Human)			0	3.1818461140770676e-05	2.6660697727636555	False	0.00040021344717182497	True	True	Human	True	False	False	True	msfragger	directlfq	min	1.660964047443681
P02788ups|TRFL_HUMAN_UPS Lactotransferrin (Chain 20-710) - Homo sapiens (Human)	338547529.05914474	337018870.350444	337437261.3216108	49295861.9962626	41345585.51475216	43152279.78409394	P02788ups|TRFL_HUMAN_UPS Lactotransferrin (Chain 20-710) - Homo sapiens (Human)	P02788ups|TRFL_HUMAN_UPS Lactotransferrin (Chain 20-710) - Homo sapiens (Human)			0	3.871329985476966e-05	2.920557003444096	False	0.00042689434364994664	True	True	Human	True	False	False	True	msfragger	directlfq	min	1.660964047443681
P68871ups|HBB_HUMAN_UPS Hemoglobin subunit beta (Chain 2-147) - Homo sapiens (Human)	71795952.86316097	70020302.86164229	69966372.86129862	15009581.22031068	17859457.935685273	19148637.68826283	P68871ups|HBB_HUMAN_UPS Hemoglobin subunit beta (Chain 2-147) - Homo sapiens (Human)	P68871ups|HBB_HUMAN_UPS Hemoglobin subunit beta (Chain 2-147) - Homo sapiens (Human)			0	4.686182899653775e-05	2.025510383717608	False	0.00045357524012806837	True	True	Human	True	False	False	True	msfragger	directlfq	min	1.660964047443681
P10636-8ups|TAU_HUMAN_UPS Microtubule-associated protein tau {Isoform Tau-F (Tau-4)} (Chain 2-441) - Homo sapiens (Human)	94728345.30858605	97841039.80972064	91340542.66126336	13594142.55609896	12250894.922236478	15400579.344341325	P10636-8ups|TAU_HUMAN_UPS Microtubule-associated protein tau {Isoform Tau-F (Tau-4)} (Chain 2-441) - Homo sapiens (Human)	P10636-8ups|TAU_HUMAN_UPS Microtubule-associated protein tau {Isoform Tau-F (Tau-4)} (Chain 2-441) - Homo sapiens (Human)			0	5.04641599924046e-05	2.7831205809737907	False	0.00048025613660619	True	True	Human	True	False	False	True	msfragger	directlfq	min	1.660964047443681
P01112ups|RASH_HUMAN_UPS GTPase HRas (Chain 1-189) - Homo sapiens (Human)	58420212.4427831	55419772.52208451	57124259.62643772	10257264.282269027	9594617.190858426	10710437.148697589	P01112ups|RASH_HUMAN_UPS GTPase HRas (Chain 1-189) - Homo sapiens (Human)	P01112ups|RASH_HUMAN_UPS GTPase HRas (Chain 1-189) - Homo sapiens (Human)			0	6.88636081316244e-05	2.4838687286265433	False	0.0005069370330843117	True	True	Human	True	False	False	True	msfragger	directlfq	min	1.660964047443681
P06396ups|GELS_HUMAN_UPS Gelsolin (Chain 28-782) - Homo sapiens (Human)	86263445.13485791	84999849.79755919	83153973.18363953	12610187.003664616	12325101.541343952	11925578.548100036	P06396ups|GELS_HUMAN_UPS Gelsolin (Chain 28-782) - Homo sapiens (Human)	P06396ups|GELS_HUMAN_UPS Gelsolin (Chain 28-782) - Homo sapiens (Human)			0	7.986756964800693e-05	2.787034680705224	False	0.0005336179295624333	True	True	Human	True	False	False	True	msfragger	directlfq	min	1.660964047443681
P02753ups|RETBP_HUMAN_UPS Retinol-binding protein 4 (Chain 19-201) - Homo sapiens (Human)	25028081.541285302	24778948.820694968	24966675.62363068	5320190.457304788	4549154.893555668	5480534.27302145	P02753ups|RETBP_HUMAN_UPS Retinol-binding protein 4 (Chain 19-201) - Homo sapiens (Human)	P02753ups|RETBP_HUMAN_UPS Retinol-binding protein 4 (Chain 19-201) - Homo sapiens (Human)			0	8.712406825745487e-05	2.2843036968506474	False	0.000560298826040555	True	True	Human	True	False	False	True	msfragger	directlfq	min	1.660964047443681
P0AB38	5574255.886862641	5767569.2972379085	5874118.26751316	7767501.5382568	7748784.510286057	7515128.208880384	P0AB38	P0AB38		lpoB	0	8.821691810979873e-05	-0.41985775911757134	False	0.0005869797225186767	True	False	Ecoli	False	True	False	True	msfragger	directlfq	min	1.660964047443681
P01344ups|IGF2_HUMAN_UPS Insulin-like growth factor II (Chain 25-91) - Homo sapiens (Human)	78026609.88081269	80805040.56906933	79035595.20396802	8810619.125556909	8383402.520606565	8508056.903243903	P01344ups|IGF2_HUMAN_UPS Insulin-like growth factor II (Chain 25-91) - Homo sapiens (Human)	P01344ups|IGF2_HUMAN_UPS Insulin-like growth factor II (Chain 25-91) - Homo sapiens (Human)			0	9.332769310400549e-05	3.2101996849218386	False	0.0006136606189967984	True	True	Human	True	False	False	True	msfragger	directlfq	min	1.660964047443681
P01127ups|PDGFB_HUMAN_UPS Platelet-derived growth factor B chain (Chain 82-190) - Homo sapiens (Human)	98667993.2684402	95963383.8918876	99179173.71761955	12235322.010264914	12454861.67463021	12771739.180115031	P01127ups|PDGFB_HUMAN_UPS Platelet-derived growth factor B chain (Chain 82-190) - Homo sapiens (Human)	P01127ups|PDGFB_HUMAN_UPS Platelet-derived growth factor B chain (Chain 82-190) - Homo sapiens (Human)			0	9.673040148521376e-05	2.971389346702437	False	0.00064034151547492	True	True	Human	True	False	False	True	msfragger	directlfq	min	1.660964047443681
P02144ups|MYG_HUMAN_UPS Myoglobin (Chain 2-154) - Homo sapiens (Human)	66850126.83041839	70040148.37402779	68126422.32391468	8449076.046908064	8128322.461894277	7607437.006234843	P02144ups|MYG_HUMAN_UPS Myoglobin (Chain 2-154) - Homo sapiens (Human)	P02144ups|MYG_HUMAN_UPS Myoglobin (Chain 2-154) - Homo sapiens (Human)			0	9.687610456464526e-05	3.0835667834870133	False	0.0006670224119530416	True	True	Human	True	False	False	True	msfragger	directlfq	min	1.660964047443681
P34209	1165385.499999999	1188709.6520806544	1174905.0750135847	1030492.4293697276	1014711.284150334	1038061.4622618852	P34209	P34209		ydcF	0	0.00010407021085672622	0.19480054939389294	False	0.0006937033084311634	True	False	Ecoli	False	True	False	True	msfragger	directlfq	min	1.660964047443681
P01133ups|EGF_HUMAN_UPS Pro-Epidermal growth factor (EGF) (Chain 971-1023) - Homo sapiens (Human)	23539932.451973174	23839048.49469628	22935117.374162644	2683997.4544673	2663226.3584717577	2531345.6268782946	P01133ups|EGF_HUMAN_UPS Pro-Epidermal growth factor (EGF) (Chain 971-1023) - Homo sapiens (Human)	P01133ups|EGF_HUMAN_UPS Pro-Epidermal growth factor (EGF) (Chain 971-1023) - Homo sapiens (Human)			0	0.00010483735222628648	3.157808386132063	False	0.000720384204909285	True	True	Human	True	False	False	True	msfragger	directlfq	min	1.660964047443681
P0A7D1	23582737.44418368	23720248.119015604	23823364.161252797	25732542.287113518	25920402.82198755	25594300.180304658	P0A7D1	P0A7D1		pth	0	0.00011502498127254109	-0.11909936116473208	False	0.0007470651013874067	True	False	Ecoli	False	True	False	True	msfragger	directlfq	min	1.660964047443681
P10145ups|IL8_HUMAN_UPS Interleukin-8, IL-8 (Chain 28-99) - Homo sapiens (Human)	19768095.795028523	19076518.45606432	18554290.445871294	2260941.6027418934	2665715.7375151487	2395640.8433542084	P10145ups|IL8_HUMAN_UPS Interleukin-8, IL-8 (Chain 28-99) - Homo sapiens (Human)	P10145ups|IL8_HUMAN_UPS Interleukin-8, IL-8 (Chain 28-99) - Homo sapiens (Human)			0	0.0001222449460583345	2.970654776865212	False	0.0007737459978655283	True	True	Human	True	False	False	True	msfragger	directlfq	min	1.660964047443681
P0AGL5	3897342.9646815225	3869327.772655984	3804610.5234979154	3285570.6275801538	3230216.401476312	3293330.61670168	P0AGL5	P0AGL5		ratA	0	0.00012387623065988383	0.23835334609983766	False	0.0008004268943436499	True	False	Ecoli	False	True	False	True	msfragger	directlfq	min	1.660964047443681
P01579ups|IFNG_HUMAN_UPS Interferon Gamma (Chain 23-166) - Homo sapiens (Human)	52562925.2415675	53352235.40574558	54868855.54649368	6118476.3617734425	5774046.01699138	5965230.309037858	P01579ups|IFNG_HUMAN_UPS Interferon Gamma (Chain 23-166) - Homo sapiens (Human)	P01579ups|IFNG_HUMAN_UPS Interferon Gamma (Chain 23-166) - Homo sapiens (Human)			0	0.0001510849636429605	3.1705015521642075	False	0.0008271077908217717	True	True	Human	True	False	False	True	msfragger	directlfq	min	1.660964047443681
