protein	RD139_Wide_UPS1_0_1fmol_inj1	RD139_Wide_UPS1_0_1fmol_inj2	RD139_Wide_UPS1_0_1fmol_inj3	RD139_Wide_UPS1_1fmol_inj1	RD139_Wide_UPS1_1fmol_inj2	RD139_Wide_UPS1_1fmol_inj3	Protein.Group	Protein.Ids	Protein.Names	Genes	isna	pval	log2_FC	Bonf_pass	BH_thr	BH_pass	FC_pass	Organism	Human	Ecoli	Yeast	FDR_pass	Search Engine	Quantitation	Imputation	FC_thr
P28635	63936639.27206538	64276534.65388143	63615743.59073016	55516367.076459885	55024772.299238816	55606120.66750944	P28635	P28635		metQ	0	5.444695994264916e-06	0.2073577162698615	True	2.648305084745763e-05	True	False	Ecoli	False	True	False	True	msfragger	directlfq	min	1.660964047443681
P01031ups|CO5_HUMAN_UPS Complement C5 (C5a anaphylatoxin) (Chain 678-751) - Homo sapiens (Human)	41136.9173744359	72036.43250040582	55795.88442480419	569457.1885167944	609760.6249999993	586860.3132621412	P01031ups|CO5_HUMAN_UPS Complement C5 (C5a anaphylatoxin) (Chain 678-751) - Homo sapiens (Human)	P01031ups|CO5_HUMAN_UPS Complement C5 (C5a anaphylatoxin) (Chain 678-751) - Homo sapiens (Human)			3	6.633321093558689e-06	-3.3857166740578575	True	5.296610169491526e-05	True	True	Human	True	False	False	True	msfragger	directlfq	min	1.660964047443681
P0ADC1	2352476.766026801	2329605.2025850387	2394052.162382253	2861521.8081362504	2811018.785695071	2856770.9095342844	P0ADC1	P0ADC1		lptE	0	4.867673540083782e-05	-0.2694678949477111	False	7.944915254237289e-05	True	False	Ecoli	False	True	False	True	msfragger	directlfq	min	1.660964047443681
P0A6R3	5166056.331787903	5186518.81987461	5368811.546537704	7835889.200380361	7568443.073607099	7540612.907035084	P0A6R3	P0A6R3		fis	0	7.549271412363847e-05	-0.545447884426593	False	0.00010593220338983052	True	False	Ecoli	False	True	False	True	msfragger	directlfq	min	1.660964047443681
P76594	2441030.827990319	2434010.787596674	2361420.182922198	1946959.5552663032	1925561.7500000016	1850063.020614377	P76594	P76594		yfiQ	0	0.00022931875858710283	0.33861766026173185	False	0.00013241525423728814	False	False	Ecoli	False	True	False	False	msfragger	directlfq	min	1.660964047443681
P0A7W1	345041855.07161057	321574434.26607174	333698906.18611723	445813815.4429119	450013069.1572473	429351098.22011554	P0A7W1	P0A7W1		rpsE	0	0.00031412282419217584	-0.40573147969334	False	0.00015889830508474578	False	False	Ecoli	False	True	False	False	msfragger	directlfq	min	1.660964047443681
P18355	2709767.631789723	2732416.391593961	2804047.2512624026	2199188.523056285	2301284.4999999986	2204352.262054724	P18355	P18355			0	0.00034167151299867846	0.29853518501265863	False	0.0001853813559322034	False	False	Ecoli	False	True	False	False	msfragger	directlfq	min	1.660964047443681
P62399	831437256.6110485	820723910.7385379	818859624.8266803	889945294.904589	889140397.661992	881671934.5343913	P62399	P62399		rplE	0	0.0003932803412539017	-0.10672994867926805	False	0.00021186440677966104	False	False	Ecoli	False	True	False	False	msfragger	directlfq	min	1.660964047443681
P0A9E5	23304563.395757176	23089629.419727948	23210249.00369883	24261280.185860746	24167105.33353186	24286857.66002114	P0A9E5	P0A9E5		fnr	0	0.0004898464142852396	-0.06307845084919188	False	0.00023834745762711865	False	False	Ecoli	False	True	False	False	msfragger	directlfq	min	1.660964047443681
P05413ups|FABPH_HUMAN_UPS Fatty acid-binding protein, heart (Chain 2-133) - Homo sapiens (Human)	41136.9173744359	72036.43250040582	55795.88442480419	332172.1074832682	289973.6875	341845.5389814316	P05413ups|FABPH_HUMAN_UPS Fatty acid-binding protein, heart (Chain 2-133) - Homo sapiens (Human)	P05413ups|FABPH_HUMAN_UPS Fatty acid-binding protein, heart (Chain 2-133) - Homo sapiens (Human)			3	0.0005504082365863259	-2.512259590688507	False	0.00026483050847457627	False	True	Human	True	False	False	False	msfragger	directlfq	min	1.660964047443681
