protein	RD139_Wide_UPS1_0_1fmol_inj1	RD139_Wide_UPS1_0_1fmol_inj2	RD139_Wide_UPS1_0_1fmol_inj3	RD139_Wide_UPS1_2_5fmol_inj1	RD139_Wide_UPS1_2_5fmol_inj2	RD139_Wide_UPS1_2_5fmol_inj3	Protein.Group	Protein.Ids	Protein.Names	Genes	isna	pval	log2_FC	Bonf_pass	BH_thr	BH_pass	FC_pass	Organism	Human	Ecoli	Yeast	FDR_pass	Search Engine	Quantitation	Imputation	FC_thr
P01008ups|ANT3_HUMAN_UPS Antithrombin-III (Chain 33-464) - Homo sapiens (Human)	18711.32851529622	11832.611330000003	66081.32928569058	2593559.989844369	2567215.767167048	2592580.620371945	P01008ups|ANT3_HUMAN_UPS Antithrombin-III (Chain 33-464) - Homo sapiens (Human)	P01008ups|ANT3_HUMAN_UPS Antithrombin-III (Chain 33-464) - Homo sapiens (Human)			3	1.0853833551735203e-06	-6.326276641257196	True	2.635740643120717e-05	True	True	Human	True	False	False	True	msfragger	directlfq	min	1.660964047443681
P02144ups|MYG_HUMAN_UPS Myoglobin (Chain 2-154) - Homo sapiens (Human)	18711.32851529622	11832.611330000003	66081.32928569058	2315597.122793742	2347282.1004718603	2245419.800479945	P02144ups|MYG_HUMAN_UPS Myoglobin (Chain 2-154) - Homo sapiens (Human)	P02144ups|MYG_HUMAN_UPS Myoglobin (Chain 2-154) - Homo sapiens (Human)			3	4.563954380497033e-06	-6.15978619324402	True	5.271481286241434e-05	True	True	Human	True	False	False	True	msfragger	directlfq	min	1.660964047443681
Q06830ups|PRDX1_HUMAN_UPS Peroxiredoxin 1 (Chain 2-199) - Homo sapiens (Human)	18711.32851529622	11832.611330000003	66081.32928569058	726757.582778491	719297.2404867253	776914.6709609136	Q06830ups|PRDX1_HUMAN_UPS Peroxiredoxin 1 (Chain 2-199) - Homo sapiens (Human)	Q06830ups|PRDX1_HUMAN_UPS Peroxiredoxin 1 (Chain 2-199) - Homo sapiens (Human)			3	9.297075711216492e-06	-4.523943812804207	True	7.907221929362152e-05	True	True	Human	True	False	False	True	msfragger	directlfq	min	1.660964047443681
P55957ups|BID_HUMAN_UPS BH3-interacting domain death agonist (Chain 1-195) - Homo sapiens (Human)	18711.32851529622	11832.611330000003	66081.32928569058	600433.118325371	632731.9640964144	642483.6982197921	P55957ups|BID_HUMAN_UPS BH3-interacting domain death agonist (Chain 1-195) - Homo sapiens (Human)	P55957ups|BID_HUMAN_UPS BH3-interacting domain death agonist (Chain 1-195) - Homo sapiens (Human)			3	1.955618891844851e-05	-4.278845367708179	True	0.00010542962572482868	True	True	Human	True	False	False	True	msfragger	directlfq	min	1.660964047443681
P01579ups|IFNG_HUMAN_UPS Interferon Gamma (Chain 23-166) - Homo sapiens (Human)	18711.32851529622	11832.611330000003	66081.32928569058	1584942.0044340526	1680326.992169705	1681346.1746595614	P01579ups|IFNG_HUMAN_UPS Interferon Gamma (Chain 23-166) - Homo sapiens (Human)	P01579ups|IFNG_HUMAN_UPS Interferon Gamma (Chain 23-166) - Homo sapiens (Human)			3	2.1262592381870544e-05	-5.677897329799226	True	0.00013178703215603585	True	True	Human	True	False	False	True	msfragger	directlfq	min	1.660964047443681
P68871ups|HBB_HUMAN_UPS Hemoglobin subunit beta (Chain 2-147) - Homo sapiens (Human)	1699396.8347151058	1890481.09816393	1620151.2518218718	4185957.577391504	3946590.778349117	4012926.374876206	P68871ups|HBB_HUMAN_UPS Hemoglobin subunit beta (Chain 2-147) - Homo sapiens (Human)	P68871ups|HBB_HUMAN_UPS Hemoglobin subunit beta (Chain 2-147) - Homo sapiens (Human)			0	3.064381897888314e-05	-1.2210555226545503	False	0.00015814443858724303	True	False	Human	True	False	False	True	msfragger	directlfq	min	1.660964047443681
P01344ups|IGF2_HUMAN_UPS Insulin-like growth factor II (Chain 25-91) - Homo sapiens (Human)	18711.32851529622	11832.611330000003	66081.32928569058	3906843.0781338	4090589.296248736	4041505.715179631	P01344ups|IGF2_HUMAN_UPS Insulin-like growth factor II (Chain 25-91) - Homo sapiens (Human)	P01344ups|IGF2_HUMAN_UPS Insulin-like growth factor II (Chain 25-91) - Homo sapiens (Human)			3	5.425504157310943e-05	-6.9610919001589	False	0.0001845018450184502	True	True	Human	True	False	False	True	msfragger	directlfq	min	1.660964047443681
P01031ups|CO5_HUMAN_UPS Complement C5 (C5a anaphylatoxin) (Chain 678-751) - Homo sapiens (Human)	18711.32851529622	11832.611330000003	66081.32928569058	1473263.2370551026	1404612.0782853533	1541271.4185164997	P01031ups|CO5_HUMAN_UPS Complement C5 (C5a anaphylatoxin) (Chain 678-751) - Homo sapiens (Human)	P01031ups|CO5_HUMAN_UPS Complement C5 (C5a anaphylatoxin) (Chain 678-751) - Homo sapiens (Human)			3	0.0001213157019167558	-5.515223497686295	False	0.00021085925144965736	True	True	Human	True	False	False	True	msfragger	directlfq	min	1.660964047443681
P28635	59569443.53556102	60608578.25831733	60361455.35045222	53617462.43451284	54682051.34364287	53453672.55541607	P28635	P28635		metQ	0	0.00028780168988604143	0.15852020259089597	False	0.00023721665788086453	False	False	Ecoli	False	True	False	False	msfragger	directlfq	min	1.660964047443681
P10636-8ups|TAU_HUMAN_UPS Microtubule-associated protein tau {Isoform Tau-F (Tau-4)} (Chain 2-441) - Homo sapiens (Human)	18711.32851529622	11832.611330000003	66081.32928569058	1497223.2236506394	1328782.663524961	1390338.1733710915	P10636-8ups|TAU_HUMAN_UPS Microtubule-associated protein tau {Isoform Tau-F (Tau-4)} (Chain 2-441) - Homo sapiens (Human)	P10636-8ups|TAU_HUMAN_UPS Microtubule-associated protein tau {Isoform Tau-F (Tau-4)} (Chain 2-441) - Homo sapiens (Human)			3	0.00042882936356603376	-5.447448260429024	False	0.0002635740643120717	False	True	Human	True	False	False	False	msfragger	directlfq	min	1.660964047443681
