Protein.Group	Protein.Names	Genes	First.Protein.Description	N.Sequences	N.Proteotypic.Sequences	/home/lerost/DIA_tools_manuscript/input_files/PXD026600/RD139_Wide_UPS1_0_1fmol_inj3.mzML	/home/lerost/DIA_tools_manuscript/input_files/PXD026600/RD139_Wide_UPS1_5fmol_inj3.mzML	/home/lerost/DIA_tools_manuscript/input_files/PXD026600/RD139_Wide_UPS1_0_1fmol_inj2.mzML	/home/lerost/DIA_tools_manuscript/input_files/PXD026600/RD139_Wide_UPS1_5fmol_inj2.mzML	/home/lerost/DIA_tools_manuscript/input_files/PXD026600/RD139_Wide_UPS1_0_1fmol_inj1.mzML	/home/lerost/DIA_tools_manuscript/input_files/PXD026600/RD139_Wide_UPS1_5fmol_inj1.mzML
DECOY_sp|P0ACM5|YEGW_ECOLI	Uncharacterized	Uncharacterized		1	1			1.43723e+06	1.21318e+06		
DECOY_sp|P63389|YHES_ECOLI	Uncharacterized	Uncharacterized		1	1	9.9038e+06	8.82043e+06	1.01756e+07	1.08274e+07	1.01803e+07	
DECOY_sp|P77585|YPDE_ECOLI	Aminopeptidase	Aminopeptidase		1	1	7.52988e+08		5.54594e+08			
O00762ups|UBE2C_HUMAN_UPS	Ubiquitin-conjugating	Ubiquitin-conjugating		3	3		6.65643e+06		6.99584e+06		6.82409e+06
O76070ups|SYUG_HUMAN_UPS	Gamma-synuclein	Gamma-synuclein		4	4		1.99709e+07		2.22044e+07		2.28325e+07
P00167ups|CYB5_HUMAN_UPS	Cytochrome	Cytochrome		3	3		1.04157e+07		1.23016e+07		1.1999e+07
P00350	6PGD_ECOLI	gnd	6-phosphogluconate dehydrogenase, decarboxylating	27	27	3.59309e+08	3.42254e+08	3.54748e+08	3.46095e+08	3.4198e+08	3.48189e+08
P00363	FRDA_ECOLI	frdA	Fumarate reductase flavoprotein subunit	28	28	2.28382e+08	2.2254e+08	2.14737e+08	2.24288e+08	2.21054e+08	2.27179e+08
P00370	DHE4_ECOLI	gdhA	NADP-specific glutamate dehydrogenase	11	11	1.72121e+07	1.50908e+07	1.59739e+07	1.58369e+07	1.72096e+07	1.56024e+07
P00393	DHNA_ECOLI	ndh	NADH dehydrogenase	15	15	3.5833e+07	3.36228e+07	3.48869e+07	3.39299e+07	3.58284e+07	3.52827e+07
P00448	SODM_ECOLI	sodA	Superoxide dismutase [Mn]	7	7	4.65469e+07	4.36131e+07	4.22555e+07	4.30717e+07	4.40885e+07	4.35275e+07
P00452	RIR1_ECOLI	nrdA	Ribonucleoside-diphosphate reductase 1 subunit alpha	31	31	4.15334e+07	4.11973e+07	4.21809e+07	4.08308e+07	4.24508e+07	4.1519e+07
