Protein.Group	Protein.Names	Genes	First.Protein.Description	N.Sequences	N.Proteotypic.Sequences	/home/lerost/DIA_tools_manuscript/input_files/PXD026600/RD139_Wide_UPS1_0_1fmol_inj3.mzML	/home/lerost/DIA_tools_manuscript/input_files/PXD026600/RD139_Wide_UPS1_0_25fmol_inj2.mzML	/home/lerost/DIA_tools_manuscript/input_files/PXD026600/RD139_Wide_UPS1_0_1fmol_inj2.mzML	/home/lerost/DIA_tools_manuscript/input_files/PXD026600/RD139_Wide_UPS1_0_25fmol_inj3.mzML	/home/lerost/DIA_tools_manuscript/input_files/PXD026600/RD139_Wide_UPS1_0_25fmol_inj1.mzML	/home/lerost/DIA_tools_manuscript/input_files/PXD026600/RD139_Wide_UPS1_0_1fmol_inj1.mzML
DECOY_sp|P29745|PEPT_ECOLI	Peptidase	Peptidase		1	1	6.67189e+07	1.07902e+08	9.13441e+07	9.99054e+07	9.3087e+07	
DECOY_sp|P37005|LAST_ECOLI	Uncharacterized	Uncharacterized		1	1						4.50939e+06
DECOY_sp|P65292|YGDI_ECOLI	Uncharacterized	Uncharacterized		1	1		896609				
P00350	6PGD_ECOLI	gnd	6-phosphogluconate dehydrogenase, decarboxylating	27	27	2.79329e+08	2.71263e+08	2.76392e+08	2.66674e+08	2.54167e+08	2.7262e+08
P00363	FRDA_ECOLI	frdA	Fumarate reductase flavoprotein subunit	28	28	2.38912e+08	2.39267e+08	2.25154e+08	2.36636e+08	2.31125e+08	2.30891e+08
P00370	DHE4_ECOLI	gdhA	NADP-specific glutamate dehydrogenase	10	10	1.5822e+07	1.47413e+07	1.43974e+07	1.46652e+07	1.46225e+07	1.6166e+07
P00393	DHNA_ECOLI	ndh	NADH dehydrogenase	17	17	2.53079e+07	2.361e+07	2.42591e+07	2.38699e+07	2.38343e+07	2.59127e+07
P00448	SODM_ECOLI	sodA	Superoxide dismutase [Mn]	7	7	4.78517e+07	4.32736e+07	4.38969e+07	4.41359e+07	4.23636e+07	4.64753e+07
P00452	RIR1_ECOLI	nrdA	Ribonucleoside-diphosphate reductase 1 subunit alpha	32	32	4.07947e+07	4.05452e+07	4.1002e+07	4.055e+07	4.11775e+07	4.20173e+07
P00490	PHSM_ECOLI	malP	Maltodextrin phosphorylase	29	29	3.52937e+07	3.6894e+07	3.66104e+07	3.57909e+07	3.60064e+07	3.69241e+07
P00509	AAT_ECOLI	aspC	Aspartate aminotransferase	28	28	9.99318e+07	9.22484e+07	9.81434e+07	9.18004e+07	9.35724e+07	9.73086e+07
P00547	KHSE_ECOLI	thrB	Homoserine kinase	3	3		2.94951e+06	2.92307e+06	3.18068e+06	3.18139e+06	2.98035e+06
P00550	PTM3C_ECOLI	mtlA	PTS system mannitol-specific EIICBA component	4	4	3.49988e+06	3.33171e+06	3.66247e+06	3.86668e+06	3.70318e+06	3.62282e+06
