Protein.Group	Protein.Ids	Protein.Names	Genes	First.Protein.Description	/home/lerost/DIA_tools_manuscript/input_files/PXD026600/RD139_Wide_UPS1_0_25fmol_inj2.mzML	/home/lerost/DIA_tools_manuscript/input_files/PXD026600/RD139_Wide_UPS1_0_1fmol_inj2.mzML	/home/lerost/DIA_tools_manuscript/input_files/PXD026600/RD139_Wide_UPS1_0_25fmol_inj3.mzML	/home/lerost/DIA_tools_manuscript/input_files/PXD026600/RD139_Wide_UPS1_0_1fmol_inj3.mzML	/home/lerost/DIA_tools_manuscript/input_files/PXD026600/RD139_Wide_UPS1_0_25fmol_inj1.mzML	/home/lerost/DIA_tools_manuscript/input_files/PXD026600/RD139_Wide_UPS1_0_1fmol_inj1.mzML
P00350	P00350		gnd		3.56325e+07	3.55513e+07	3.58023e+07	3.59388e+07	3.55629e+07	3.56061e+07
P00363	P00363		frdA		4.59187e+07	4.47187e+07	4.6368e+07	4.57661e+07	4.65189e+07	4.53022e+07
P00370	P00370		gdhA		1.69007e+06	1.69004e+06	1.70847e+06	1.70572e+06	1.74974e+06	1.73927e+06
P00393	P00393		ndh		5.38357e+06	5.66824e+06	5.41666e+06	5.57575e+06	5.33291e+06	5.68978e+06
P00448	P00448		sodA		2.38729e+06	2.46998e+06	2.45385e+06	2.56731e+06	2.35796e+06	2.52201e+06
P00452	P00452		nrdA		3.6223e+07	3.67455e+07	3.64563e+07	3.659e+07	3.69448e+07	3.67843e+07
P00490	P00490		malP		5.76165e+06	5.79807e+06	5.8544e+06	5.63156e+06	5.80467e+06	5.70156e+06
P00509	P00509		aspC		1.79344e+07	1.81444e+07	1.80516e+07	1.84062e+07	1.80937e+07	1.81303e+07
P00550	P00550		mtlA		1.93818e+06	1.9834e+06	2.00645e+06	2.11364e+06	2.07167e+06	1.92986e+06
P00561	P00561		thrA		2.27843e+06	2.30362e+06	2.32943e+06	2.31006e+06	2.33022e+06	2.19379e+06
P00562	P00562		metL		2.89591e+06	2.85333e+06	2.83768e+06	2.8865e+06	2.96283e+06	3.00002e+06
P00579	P00579		rpoD		8.46946e+06	7.85113e+06	8.4842e+06	7.64431e+06	8.42993e+06	7.83156e+06
P00582	P00582		polA		3.47499e+06	3.56421e+06	3.47944e+06	3.5097e+06	3.40963e+06	3.37175e+06
P00803	P00803		lepB		3.71787e+06	3.85827e+06	3.84489e+06	3.9193e+06	3.69652e+06	3.71372e+06
P00805	P00805		ansB		2.04622e+07	2.03893e+07	2.00713e+07	2.02352e+07	2.0251e+07	1.97375e+07
P00811	P00811		ampC		1.76507e+06	1.65764e+06	1.71465e+06	1.8838e+06	1.73191e+06	1.65654e+06
P00864	P00864		ppc		1.12157e+07	1.11582e+07	1.10484e+07	1.10543e+07	1.11508e+07	1.10929e+07
P00887	P00887		aroH		1.54944e+06	1.49408e+06	1.46519e+06	1.59481e+06	1.47493e+06	1.59799e+06
P00888	P00888		aroF		1.87136e+06	1.89633e+06	1.76834e+06	1.82312e+06	1.83218e+06	1.8153e+06
P00934	P00934		thrC		4.36013e+06	4.51297e+06	4.35655e+06	4.43926e+06	4.2619e+06	4.63015e+06
P00935	P00935		metB		734828	760112	820546	890884	775218	665805
P00946	P00946		manA		1.09884e+07	1.11594e+07	1.09991e+07	1.12629e+07	1.10174e+07	1.12196e+07
P00954	P00954		trpS		1.17523e+07	1.13553e+07	1.13863e+07	1.14001e+07	1.13144e+07	1.10006e+07
P00956	P00956		ileS		1.95215e+07	1.90494e+07	1.95335e+07	1.92896e+07	2.00444e+07	1.92209e+07
P00957	P00957		alaS		1.6609e+07	1.60346e+07	1.6573e+07	1.65118e+07	1.64447e+07	1.58095e+07
P00959	P00959		metG		1.82622e+07	1.83711e+07	1.80732e+07	1.82468e+07	1.84434e+07	1.83525e+07
P00960	P00960		glyQ		4.74473e+06	4.9704e+06	4.85953e+06	4.78952e+06	4.6553e+06	4.72496e+06
P00961	P00961		glyS		1.07558e+07	1.07997e+07	1.10262e+07	1.10476e+07	1.08338e+07	1.09653e+07
P00962	P00962		glnS		8.79482e+06	8.7926e+06	8.9754e+06	8.93934e+06	8.90529e+06	8.77125e+06
P00963	P00963		asnA		1.3794e+07	1.43936e+07	1.42589e+07	1.4611e+07	1.3702e+07	1.47535e+07
P00968	P00968		carB		3.40874e+06	3.31743e+06	3.37474e+06	3.42239e+06	3.38565e+06	3.28487e+06
P02358	P02358		rpsF		9.74116e+07	8.79135e+07	9.7509e+07	8.81553e+07	9.38595e+07	8.67269e+07
P02359	P02359		rpsG		1.3303e+08	1.34014e+08	1.33151e+08	1.33493e+08	1.33821e+08	1.31277e+08
P02413	P02413		rplO		1.24362e+08	1.25362e+08	1.2769e+08	1.22188e+08	1.25225e+08	1.22597e+08
P02918	P02918		mrcA		1.22961e+06	1.33638e+06	1.18357e+06	1.27785e+06	1.23125e+06	1.30767e+06
P02919	P02919		mrcB		1.71729e+06	1.62844e+06	1.63928e+06	1.74289e+06	1.67404e+06	1.74969e+06
P02925	P02925		rbsB		1.30663e+07	1.33092e+07	1.29478e+07	1.37465e+07	1.28372e+07	1.32581e+07
P02930	P02930		tolC		2.14987e+07	2.05083e+07	2.15077e+07	2.11702e+07	2.12814e+07	2.04211e+07
P02931	P02931		ompF		3.70036e+07	3.63932e+07	3.71457e+07	3.69318e+07	3.65006e+07	3.60995e+07
P02942	P02942		tsr		1.05747e+07	1.02156e+07	1.02878e+07	1.01552e+07	1.05261e+07	1.02585e+07
P02943	P02943		lamB		1.44256e+06	1.44511e+06	1.53799e+06	1.43679e+06	1.42625e+06	1.51517e+06
P03004	P03004		dnaA		2.2276e+06	2.19962e+06	2.27779e+06	2.20055e+06	2.27134e+06	2.28197e+06
P03018	P03018		uvrD		3.93723e+06	3.92302e+06	3.82466e+06	3.97136e+06	3.82831e+06	3.86292e+06
P03024	P03024		galR		1.37954e+06	1.40606e+06	1.30517e+06	1.36824e+06	1.23148e+06	1.1585e+06
P03817	P03817		mioC		7.25261e+06	7.08251e+06	7.11527e+06	6.90724e+06	7.41337e+06	7.18214e+06
P03841	P03841		malM		1.00369e+07	9.44882e+06	9.77941e+06	9.48648e+06	1.0205e+07	9.64158e+06
P04036	P04036		dapB		5.30096e+06	4.62628e+06	5.24182e+06	4.42825e+06	5.32084e+06	4.87254e+06
P04079	P04079		guaA		1.95012e+07	1.95769e+07	1.93906e+07	1.94948e+07	1.94627e+07	1.9736e+07
P04335	P04335		frsA		4.46245e+06	4.39665e+06	4.44786e+06	4.07318e+06	4.3396e+06	4.32135e+06
P04425	P04425		gshB		8.68781e+06	8.51741e+06	8.83458e+06	8.53129e+06	8.68276e+06	8.39244e+06
P04693	P04693		tyrB		3.47541e+06	3.39322e+06	3.59286e+06	3.48681e+06	3.38073e+06	3.23775e+06
P04805	P04805		gltX		2.16186e+07	2.22453e+07	2.18389e+07	2.17289e+07	2.20737e+07	2.30006e+07
P04825	P04825		pepN		1.50039e+07	1.50488e+07	1.52505e+07	1.53827e+07	1.51761e+07	1.55543e+07
P04846	P04846		nlpA		3.17964e+06	3.11631e+06	3.2274e+06	3.3086e+06	3.26216e+06	3.32817e+06
P04949	P04949		fliC		3.93439e+07	3.53968e+07	3.88145e+07	3.6336e+07	3.81949e+07	3.46075e+07
P04951	P04951		kdsB		4.08741e+06	4.07186e+06	4.02875e+06	3.90166e+06	4.04523e+06	4.183e+06
P04982	P04982		rbsD		1.17784e+06	1.14951e+06	1.16504e+06	1.27256e+06	1.22657e+06	1.2091e+06
P04995	P04995		sbcB		1.30827e+07	1.24083e+07	1.27438e+07	1.28544e+07	1.26603e+07	1.32902e+07
P05020	P05020		pyrC		6.41215e+06	6.11653e+06	6.35286e+06	5.96674e+06	6.57928e+06	6.32652e+06
P05041	P05041		pabB		1.62928e+06	1.60016e+06	1.68502e+06	1.55046e+06	1.79905e+06	1.4485e+06
P05055	P05055		pnp		3.81726e+07	3.57775e+07	3.80457e+07	3.60636e+07	3.84067e+07	3.60478e+07
P05100	P05100		tag		1.8884e+06	2.07119e+06	1.77353e+06	1.68716e+06	1.86164e+06	2.06563e+06
P05194	P05194		aroD		1.19647e+06	1.05515e+06	1.1319e+06	1.1191e+06	1.10966e+06	1.14349e+06
P05458	P05458		ptrA		880511	844412	862791	803374	917262	785688
P05459	P05459		pdxB		5.75486e+06	5.63996e+06	5.87669e+06	5.64862e+06	5.43283e+06	5.67746e+06
P05637	P05637		apaH		3.39332e+06	3.40957e+06	3.58097e+06	3.41816e+06	3.20671e+06	3.42131e+06
P05719	P05719		hsdS		1.30953e+06	1.29099e+06	1.22319e+06	1.25094e+06	1.3795e+06	1.24964e+06
P05791	P05791		ilvD		2.81902e+06	2.93304e+06	2.87595e+06	2.80987e+06	2.87028e+06	2.75992e+06
P05793	P05793		ilvC		7.74381e+06	6.83157e+06	7.53115e+06	6.84765e+06	7.8933e+06	7.05562e+06
P05825	P05825		fepA		1.79345e+06	1.71611e+06	1.74284e+06	1.75801e+06	1.73954e+06	1.67929e+06
P05852	P05852		gcp		2.59908e+06	2.61961e+06	2.6637e+06	2.5832e+06	2.68152e+06	2.42971e+06
P06129	P06129		btuB		1.96177e+07	1.96308e+07	2.00973e+07	1.97982e+07	2.00051e+07	2.02569e+07
P06149	P06149		dld		5.92916e+06	6.14901e+06	6.12535e+06	6.12381e+06	6.03069e+06	5.92836e+06
P06282	P06282		cdh		2.29766e+06	2.34857e+06	2.40262e+06	2.30668e+06	2.29605e+06	2.39309e+06
P06610	P06610		btuE		6.75832e+06	6.33387e+06	6.75583e+06	6.38414e+06	6.30151e+06	6.61432e+06
P06612	P06612		topA		5.65529e+06	5.7186e+06	5.48977e+06	5.70923e+06	5.5638e+06	5.71414e+06
P06616	P06616		era		4.07926e+06	3.93126e+06	4.14323e+06	4.02792e+06	4.01636e+06	3.9511e+06
P06709	P06709		birA		1.54929e+06	1.58403e+06	1.48618e+06	1.58817e+06	1.52777e+06	1.64017e+06
P06710	P06710		dnaX		1.28244e+06	1.26607e+06	1.24504e+06	1.20958e+06	1.30245e+06	1.31651e+06
P06715	P06715		gor		3.34354e+06	3.40111e+06	3.47225e+06	3.47901e+06	3.48274e+06	3.41462e+06
P06722	P06722		mutH		512713	545612	549653	570604	583480	572278
P06846	P06846		ebgR		1.37019e+06	1.36629e+06	1.39377e+06	1.23877e+06	1.26901e+06	1.2688e+06
P06959	P06959		aceF		6.18654e+07	5.85601e+07	6.07166e+07	5.82868e+07	6.10599e+07	5.82906e+07
P06961	P06961		cca		897686	1.05647e+06	1.00493e+06	1.07972e+06	1.05405e+06	1.07542e+06
P06968	P06968		dut		8.1798e+06	7.98381e+06	7.9485e+06	8.18469e+06	7.68073e+06	7.66252e+06
P06971	P06971		fhuA		1.39525e+07	1.34965e+07	1.34869e+07	1.33519e+07	1.36586e+07	1.34778e+07
P06974	P06974		fliM		1.70441e+06	1.81732e+06	1.68422e+06	1.80794e+06	1.77422e+06	1.89366e+06
P06983	P06983		hemC		1.08177e+07	1.03026e+07	1.09243e+07	1.03523e+07	1.06625e+07	1.04176e+07
P06986	P06986		hisC		4.39632e+06	4.49487e+06	4.25911e+06	4.40393e+06	4.2157e+06	4.20883e+06
P06987	P06987		hisB		1.21463e+06	1.19042e+06	1.18201e+06	1.22515e+06	1.14232e+06	1.12628e+06
P06988	P06988		hisD		1.68614e+06	1.62292e+06	1.71164e+06	1.60799e+06	1.72758e+06	1.65709e+06
P06992	P06992		rsmA		2.08568e+06	2.20934e+06	1.95454e+06	2.20553e+06	2.0102e+06	2.21866e+06
P06996	P06996		ompC		2.18895e+08	2.1534e+08	2.1513e+08	2.12839e+08	2.18356e+08	2.05003e+08
P06999	P06999		pfkB		1.06801e+06	1.2515e+06	1.12803e+06	1.23032e+06	1.1395e+06	1.2247e+06
