protein	RD139_Wide_UPS1_0_1fmol_inj1	RD139_Wide_UPS1_0_1fmol_inj2	RD139_Wide_UPS1_0_1fmol_inj3	RD139_Wide_UPS1_2_5fmol_inj1	RD139_Wide_UPS1_2_5fmol_inj2	RD139_Wide_UPS1_2_5fmol_inj3	Protein.Group	Protein.Ids	Protein.Names	Genes	isna	pval	log2_FC	Bonf_pass	BH_thr	BH_pass	FC_pass	Organism	Human	Ecoli	Yeast	FDR_pass	Search Engine	Quantitation	Imputation	FC_thr
P10636-8ups|TAU_HUMAN_UPS Microtubule-associated protein tau {Isoform Tau-F (Tau-4)} (Chain 2-441) - Homo sapiens (Human)	66085.91999098108	144467.62499999997	71098.60861113587	1050130.655556367	1148742.890862604	1130010.3357412813	P10636-8ups|TAU_HUMAN_UPS Microtubule-associated protein tau {Isoform Tau-F (Tau-4)} (Chain 2-441) - Homo sapiens (Human)	P10636-8ups|TAU_HUMAN_UPS Microtubule-associated protein tau {Isoform Tau-F (Tau-4)} (Chain 2-441) - Homo sapiens (Human)			3	1.7510512217353104e-05	-3.5630521393538976	True	3.0959752321981425e-05	True	True	Human	True	False	False	True	umpire	directlfq	min	1.660964047443681
P63279ups|UBC9_HUMAN_UPS SUMO-conjugating enzyme UBC9 (Chain 1-158) - Homo sapiens (Human)	66085.91999098108	144467.62499999997	71098.60861113587	870842.2469044591	807652.5220230717	811122.792917888	P63279ups|UBC9_HUMAN_UPS SUMO-conjugating enzyme UBC9 (Chain 1-158) - Homo sapiens (Human)	P63279ups|UBC9_HUMAN_UPS SUMO-conjugating enzyme UBC9 (Chain 1-158) - Homo sapiens (Human)			3	3.203992329116599e-05	-3.1439377342533508	False	6.191950464396285e-05	True	True	Human	True	False	False	True	umpire	directlfq	min	1.660964047443681
O76070ups|SYUG_HUMAN_UPS Gamma-synuclein (Chain 1-127) - Homo sapiens (Human)	66085.91999098108	144467.62499999997	71098.60861113587	3235345.115775152	3026463.130455689	3113764.486796385	O76070ups|SYUG_HUMAN_UPS Gamma-synuclein (Chain 1-127) - Homo sapiens (Human)	O76070ups|SYUG_HUMAN_UPS Gamma-synuclein (Chain 1-127) - Homo sapiens (Human)			3	5.78286187410075e-05	-5.056920416202649	False	9.287925696594428e-05	True	True	Human	True	False	False	True	umpire	directlfq	min	1.660964047443681
P01344ups|IGF2_HUMAN_UPS Insulin-like growth factor II (Chain 25-91) - Homo sapiens (Human)	66085.91999098108	144467.62499999997	71098.60861113587	3904419.255514242	4137870.02693648	3966281.686890877	P01344ups|IGF2_HUMAN_UPS Insulin-like growth factor II (Chain 25-91) - Homo sapiens (Human)	P01344ups|IGF2_HUMAN_UPS Insulin-like growth factor II (Chain 25-91) - Homo sapiens (Human)			3	6.769699919330702e-05	-5.414006166110055	False	0.0001238390092879257	True	True	Human	True	False	False	True	umpire	directlfq	min	1.660964047443681
P00918ups|CAH2_HUMAN_UPS Carbonic anhydrase 2 (Chain 2-260) - Homo sapiens (Human)	66085.91999098108	144467.62499999997	71098.60861113587	2355953.6302231867	2199382.882922846	2187485.9718333227	P00918ups|CAH2_HUMAN_UPS Carbonic anhydrase 2 (Chain 2-260) - Homo sapiens (Human)	P00918ups|CAH2_HUMAN_UPS Carbonic anhydrase 2 (Chain 2-260) - Homo sapiens (Human)			3	7.443216047438605e-05	-4.5813662089943055	False	0.00015479876160990713	True	True	Human	True	False	False	True	umpire	directlfq	min	1.660964047443681
P15559ups|NQO1_HUMAN_UPS NAD(P)H dehydrogenase [quinone] 1 (Chain 2-274) - Homo sapiens (Human)	66085.91999098108	144467.62499999997	71098.60861113587	812807.2768344257	918466.2240145212	915694.9834875572	P15559ups|NQO1_HUMAN_UPS NAD(P)H dehydrogenase [quinone] 1 (Chain 2-274) - Homo sapiens (Human)	P15559ups|NQO1_HUMAN_UPS NAD(P)H dehydrogenase [quinone] 1 (Chain 2-274) - Homo sapiens (Human)			3	9.876632342395034e-05	-3.2323546097031866	False	0.00018575851393188856	True	True	Human	True	False	False	True	umpire	directlfq	min	1.660964047443681
P06732ups|KCRM_HUMAN_UPS Creatine kinase M-type (Chain 1-381) - Homo sapiens (Human)	66085.91999098108	144467.62499999997	71098.60861113587	1342389.6696173344	1228407.614303903	1385627.9404762732	P06732ups|KCRM_HUMAN_UPS Creatine kinase M-type (Chain 1-381) - Homo sapiens (Human)	P06732ups|KCRM_HUMAN_UPS Creatine kinase M-type (Chain 1-381) - Homo sapiens (Human)			3	0.000152451416014052	-3.8122110828113933	False	0.00021671826625387	True	True	Human	True	False	False	True	umpire	directlfq	min	1.660964047443681
P02768ups|ALBU_HUMAN_UPS Serum albumin (Chain 26-609) - Homo sapiens (Human)	66085.91999098108	144467.62499999997	71098.60861113587	17948647.74435544	17656119.16975805	17054058.969058756	P02768ups|ALBU_HUMAN_UPS Serum albumin (Chain 26-609) - Homo sapiens (Human)	P02768ups|ALBU_HUMAN_UPS Serum albumin (Chain 26-609) - Homo sapiens (Human)			3	0.0002014274813905774	-7.546617041286441	False	0.0002476780185758514	True	True	Human	True	False	False	True	umpire	directlfq	min	1.660964047443681
P02788ups|TRFL_HUMAN_UPS Lactotransferrin (Chain 20-710) - Homo sapiens (Human)	66085.91999098108	144467.62499999997	71098.60861113587	4295465.11122669	4598431.487737722	4330463.886046837	P02788ups|TRFL_HUMAN_UPS Lactotransferrin (Chain 20-710) - Homo sapiens (Human)	P02788ups|TRFL_HUMAN_UPS Lactotransferrin (Chain 20-710) - Homo sapiens (Human)			3	0.0002227991427413563	-5.553139643788683	False	0.0002786377708978328	True	True	Human	True	False	False	True	umpire	directlfq	min	1.660964047443681
P01031ups|CO5_HUMAN_UPS Complement C5 (C5a anaphylatoxin) (Chain 678-751) - Homo sapiens (Human)	66085.91999098108	144467.62499999997	71098.60861113587	1467915.8415240778	1403161.2510506934	1588640.3902457198	P01031ups|CO5_HUMAN_UPS Complement C5 (C5a anaphylatoxin) (Chain 678-751) - Homo sapiens (Human)	P01031ups|CO5_HUMAN_UPS Complement C5 (C5a anaphylatoxin) (Chain 678-751) - Homo sapiens (Human)			3	0.0002567795844678984	-3.984965912187211	False	0.00030959752321981426	True	True	Human	True	False	False	True	umpire	directlfq	min	1.660964047443681
P0AFC3	2627392.604091024	2582331.249999999	2613068.827642505	2430847.172791921	2395771.952384528	2426114.380559267	P0AFC3	P0AFC3		nuoA	0	0.00046418300513107147	0.10915889189583125	False	0.0003405572755417957	False	False	Ecoli	False	True	False	False	umpire	directlfq	min	1.660964047443681
P37651	3254525.7980432776	3206345.9204760687	3265124.417703385	3486999.1205760334	3466216.220139188	3519481.0294358297	P37651	P37651		bcsZ	0	0.0005340206949172549	-0.10671501240717148	False	0.0003715170278637771	False	False	Ecoli	False	True	False	False	umpire	directlfq	min	1.660964047443681
P68871ups|HBB_HUMAN_UPS Hemoglobin subunit beta (Chain 2-147) - Homo sapiens (Human)	925645.6739995696	929726.4999999997	852658.3210764928	2127861.622561341	2004772.273291904	1935370.914696949	P68871ups|HBB_HUMAN_UPS Hemoglobin subunit beta (Chain 2-147) - Homo sapiens (Human)	P68871ups|HBB_HUMAN_UPS Hemoglobin subunit beta (Chain 2-147) - Homo sapiens (Human)			0	0.0005879344915000348	-1.1639782441512758	False	0.00040247678018575853	False	False	Human	True	False	False	False	umpire	directlfq	min	1.660964047443681
P0AEK4	165177342.52380577	164056366.34835055	163473776.49539864	176065782.03229332	176661697.2778154	176361218.19047445	P0AEK4	P0AEK4		fabI	0	0.0006137585758600911	-0.10277820923734193	False	0.00043343653250774	False	False	Ecoli	False	True	False	False	umpire	directlfq	min	1.660964047443681
P02787ups|TRFE_HUMAN_UPS Serotransferrin (Chain 20-698) - Homo sapiens (Human)	66085.91999098108	144467.62499999997	71098.60861113587	2265064.108464941	2385257.452234079	2561534.7547899475	P02787ups|TRFE_HUMAN_UPS Serotransferrin (Chain 20-698) - Homo sapiens (Human)	P02787ups|TRFE_HUMAN_UPS Serotransferrin (Chain 20-698) - Homo sapiens (Human)			3	0.0006277471206496232	-4.678384245665349	False	0.00046439628482972134	False	True	Human	True	False	False	False	umpire	directlfq	min	1.660964047443681
P0AED0	40886245.803953454	41230227.16700897	42232279.774812646	47092669.6053197	46078536.90870501	47140090.66155886	P0AED0	P0AED0		uspA	0	0.0006292625206461427	-0.1742391353679669	False	0.0004953560371517028	False	False	Ecoli	False	True	False	False	umpire	directlfq	min	1.660964047443681
P0A9L3	62604987.3730023	63887085.895446375	63719486.15340422	58373119.25946832	58577663.23863505	57592494.67698064	P0A9L3	P0A9L3		fklB	0	0.0007148198182043891	0.1240201332937969	False	0.0005263157894736843	False	False	Ecoli	False	True	False	False	umpire	directlfq	min	1.660964047443681
P08758ups|ANXA5_HUMAN_UPS Annexin A5 (Chain 2-320) - Homo sapiens (Human)	66085.91999098108	144467.62499999997	71098.60861113587	635174.8558576431	524042.0586351639	531916.2876885051	P08758ups|ANXA5_HUMAN_UPS Annexin A5 (Chain 2-320) - Homo sapiens (Human)	P08758ups|ANXA5_HUMAN_UPS Annexin A5 (Chain 2-320) - Homo sapiens (Human)			3	0.0007366070598221013	-2.5860038901236138	False	0.0005572755417956656	False	True	Human	True	False	False	False	umpire	directlfq	min	1.660964047443681
P0A9Y6	234616056.08824828	229602621.2486025	234750259.0623676	213559823.6176037	209180517.59138703	213811181.3316877	P0A9Y6	P0A9Y6		cspC	0	0.0008327917695200027	0.13495104999802598	False	0.0005882352941176471	False	False	Ecoli	False	True	False	False	umpire	directlfq	min	1.660964047443681
P0A7J3	1194278224.2546368	1188261551.7670815	1194332310.052831	1265786980.2628813	1274104714.3736303	1282061844.6525474	P0A7J3	P0A7J3		rplJ	0	0.000922843654648948	-0.09561171415459419	False	0.0006191950464396285	False	False	Ecoli	False	True	False	False	umpire	directlfq	min	1.660964047443681
P26616	43954842.62858136	44223445.8960022	44908286.749154046	47865704.264935896	47162652.37569063	48140530.7578096	P26616	P26616		maeA	0	0.0011726583569306485	-0.10535295798540895	False	0.0006501547987616099	False	False	Ecoli	False	True	False	False	umpire	directlfq	min	1.660964047443681
P0A7J7	261270978.39794543	263477618.4343608	263479858.0959511	281120492.29550946	276816812.84344643	277585834.6714059	P0A7J7	P0A7J7		rplK	0	0.001580027412349749	-0.0840659527846795	False	0.0006811145510835914	False	False	Ecoli	False	True	False	False	umpire	directlfq	min	1.660964047443681
P01375ups|TNFA_HUMAN_UPS Tumor necrosis factor, soluble form (Chain 77-233) - Homo sapiens (Human)	66085.91999098108	144467.62499999997	71098.60861113587	522671.69621922326	497816.76638082194	499266.0870314562	P01375ups|TNFA_HUMAN_UPS Tumor necrosis factor, soluble form (Chain 77-233) - Homo sapiens (Human)	P01375ups|TNFA_HUMAN_UPS Tumor necrosis factor, soluble form (Chain 77-233) - Homo sapiens (Human)			3	0.0018250727139398147	-2.431851929694113	False	0.0007120743034055728	False	True	Human	True	False	False	False	umpire	directlfq	min	1.660964047443681
P02144ups|MYG_HUMAN_UPS Myoglobin (Chain 2-154) - Homo sapiens (Human)	66085.91999098108	144467.62499999997	71098.60861113587	1526196.580761904	1581346.744262113	1818961.60924603	P02144ups|MYG_HUMAN_UPS Myoglobin (Chain 2-154) - Homo sapiens (Human)	P02144ups|MYG_HUMAN_UPS Myoglobin (Chain 2-154) - Homo sapiens (Human)			3	0.0018521282150665574	-4.128578094105253	False	0.0007430340557275542	False	True	Human	True	False	False	False	umpire	directlfq	min	1.660964047443681
P0CE47	5760168943.847217	5848595770.971483	5934622506.009625	6293363307.840885	6309991647.150363	6424051628.02463	P0CE47	P0CE47		tufA	0	0.0018722636875146727	-0.11715161148333075	False	0.0007739938080495357	False	False	Ecoli	False	True	False	False	umpire	directlfq	min	1.660964047443681
P0A903	78447105.05955327	78188133.16775417	79657298.96226844	82916337.85475087	82818405.21404815	83863746.35856417	P0A903	P0A903		bamC	0	0.001968722695483947	-0.07903513752505116	False	0.0008049535603715171	False	False	Ecoli	False	True	False	False	umpire	directlfq	min	1.660964047443681
P69783	444166147.8319418	451275596.1451938	452501628.3162696	470378343.909754	476476818.297532	476102545.8711513	P69783	P69783		crr	0	0.0020550185299510393	-0.07813289443796975	False	0.0008359133126934985	False	False	Ecoli	False	True	False	False	umpire	directlfq	min	1.660964047443681
P41159ups|LEP_HUMAN_UPS Leptin (Chain 22-167) - Homo sapiens (Human)	66085.91999098108	144467.62499999997	71098.60861113587	1002934.0919149872	804778.2239341667	845207.5719199544	P41159ups|LEP_HUMAN_UPS Leptin (Chain 22-167) - Homo sapiens (Human)	P41159ups|LEP_HUMAN_UPS Leptin (Chain 22-167) - Homo sapiens (Human)			3	0.0020631240013846428	-3.23559470203142	False	0.00086687306501548	False	True	Human	True	False	False	False	umpire	directlfq	min	1.660964047443681
P0A805	53264628.92362863	53325793.77568972	54842119.8950447	61185063.60716461	59372967.38016501	59094649.03283848	P0A805	P0A805		frr	0	0.0023196785028719654	-0.1542790217792897	False	0.0008978328173374614	False	False	Ecoli	False	True	False	False	umpire	directlfq	min	1.660964047443681
Q15843ups|NEDD8_HUMAN_UPS NEDD8 (Chain 1-81) - Homo sapiens (Human)	66085.91999098108	144467.62499999997	71098.60861113587	798732.9966661301	693847.8957655033	615556.2605263793	Q15843ups|NEDD8_HUMAN_UPS NEDD8 (Chain 1-81) - Homo sapiens (Human)	Q15843ups|NEDD8_HUMAN_UPS NEDD8 (Chain 1-81) - Homo sapiens (Human)			3	0.00233667667199409	-2.903982322056218	False	0.0009287925696594427	False	True	Human	True	False	False	False	umpire	directlfq	min	1.660964047443681
P0ABP8	252479015.3640479	254027991.5286301	242984782.6944376	275128981.94241834	282142364.94837123	285671476.0750134	P0ABP8	P0ABP8		deoD	0	0.002667309838634897	-0.1695221020460152	False	0.0009597523219814242	False	False	Ecoli	False	True	False	False	umpire	directlfq	min	1.660964047443681
P00370	9530257.027632363	9422535.277647683	9445909.591727337	9029101.938272843	9167928.261648348	9048848.13057393	P00370	P00370		gdhA	0	0.0027566824202165147	0.05978698563666491	False	0.0009907120743034056	False	False	Ecoli	False	True	False	False	umpire	directlfq	min	1.660964047443681
P02358	383890968.598526	373793081.0327966	384875031.4366037	419071507.7972796	437201356.82193696	429576870.3066113	P02358	P02358		rpsF	0	0.0027627534779646554	-0.17045329028056658	False	0.001021671826625387	False	False	Ecoli	False	True	False	False	umpire	directlfq	min	1.660964047443681
P23721	74040786.01567128	73596824.49760598	73542387.36712906	76816779.0497713	77806782.2093052	77876508.11705889	P23721	P23721		serC	0	0.002770649808722097	-0.07201022344911945	False	0.0010526315789473686	False	False	Ecoli	False	True	False	False	umpire	directlfq	min	1.660964047443681
