protein	RD139_Wide_UPS1_0_25fmol_inj1	RD139_Wide_UPS1_0_25fmol_inj2	RD139_Wide_UPS1_0_25fmol_inj3	RD139_Wide_UPS1_1fmol_inj1	RD139_Wide_UPS1_1fmol_inj2	RD139_Wide_UPS1_1fmol_inj3	Protein.Group	Protein.Ids	Protein.Names	Genes	isna	pval	log2_FC	Bonf_pass	BH_thr	BH_pass	FC_pass	Organism	Human	Ecoli	Yeast	FDR_pass	Search Engine	Quantitation	Imputation	FC_thr
P18355	3350740.267216491	3262498.5000000023	3298136.6339244074	2263435.529579872	2379609.168471436	2265056.038306062	P18355	P18355			0	7.698893502225837e-05	0.5207961531259805	False	3.0413625304136255e-05	False	False	Ecoli	False	True	False	False	umpire	directlfq	min	1.0
P24178	6170370.834133962	6155612.251411054	6256433.70346022	6848855.519741187	6825530.167112815	6758750.140553575	P24178	P24178		yffB	0	0.00013724799349075902	-0.1369724805007937	False	6.082725060827251e-05	False	False	Ecoli	False	True	False	False	umpire	directlfq	min	1.0
P0A8C4	10717376.148058802	10624359.47824228	10703051.565821543	11641013.184587032	11562689.860610966	11494115.076053783	P0A8C4	P0A8C4		ygfB	0	0.00015687023322724647	-0.11475525664663354	False	9.124087591240877e-05	False	False	Ecoli	False	True	False	False	umpire	directlfq	min	1.0
P05413ups|FABPH_HUMAN_UPS Fatty acid-binding protein, heart (Chain 2-133) - Homo sapiens (Human)	79108.8797823388	108574.98440000007	57566.8923452997	373511.3650044253	339997.3019711052	338689.3707384851	P05413ups|FABPH_HUMAN_UPS Fatty acid-binding protein, heart (Chain 2-133) - Homo sapiens (Human)	P05413ups|FABPH_HUMAN_UPS Fatty acid-binding protein, heart (Chain 2-133) - Homo sapiens (Human)			2	0.00019993821974008635	-2.1010767727875876	False	0.00012165450121654502	False	True	Human	True	False	False	False	umpire	directlfq	min	1.0
P11557	31780575.89468206	32055296.958271347	32243810.584644616	29837861.85934671	29494724.87355012	29403664.68151778	P11557	P11557		damX	0	0.0002036340663922408	0.11470778862280016	False	0.00015206812652068127	False	False	Ecoli	False	True	False	False	umpire	directlfq	min	1.0
P01344ups|IGF2_HUMAN_UPS Insulin-like growth factor II (Chain 25-91) - Homo sapiens (Human)	222668.70818999613	108574.98440000007	57566.8923452997	1334801.0196013355	1594185.369188205	1482696.6234350365	P01344ups|IGF2_HUMAN_UPS Insulin-like growth factor II (Chain 25-91) - Homo sapiens (Human)	P01344ups|IGF2_HUMAN_UPS Insulin-like growth factor II (Chain 25-91) - Homo sapiens (Human)			2	0.00030108692785916607	-3.5041897339263732	False	0.00018248175182481753	False	True	Human	True	False	False	False	umpire	directlfq	min	1.0
P00918ups|CAH2_HUMAN_UPS Carbonic anhydrase 2 (Chain 2-260) - Homo sapiens (Human)	79108.8797823388	108574.98440000007	57566.8923452997	300075.65401502186	328115.7151586463	335677.3514434471	P00918ups|CAH2_HUMAN_UPS Carbonic anhydrase 2 (Chain 2-260) - Homo sapiens (Human)	P00918ups|CAH2_HUMAN_UPS Carbonic anhydrase 2 (Chain 2-260) - Homo sapiens (Human)			3	0.00032967302051650874	-1.9745790773294083	False	0.0002128953771289538	False	True	Human	True	False	False	False	umpire	directlfq	min	1.0
P0A9J8	3065260.3067518184	3080304.364348161	3139623.3781422023	3437555.5805416047	3354877.564840973	3366142.687076515	P0A9J8	P0A9J8		pheA	0	0.0011541808071659713	-0.12969512574156122	False	0.00024330900243309004	False	False	Ecoli	False	True	False	False	umpire	directlfq	min	1.0
P69908	8289816.892489758	8083386.897796663	8600165.019866027	6788154.15399115	6198350.634347776	6479381.616239883	P69908	P69908		gadA	0	0.0013582621083398172	0.3594424071484486	False	0.0002737226277372263	False	False	Ecoli	False	True	False	False	umpire	directlfq	min	1.0
P0AAZ7	17165429.536591817	17020176.137748193	17011743.341699935	17742015.225668024	17562887.047502674	17601485.485953964	P0AAZ7	P0AAZ7		ycaR	0	0.0015657402766004792	-0.04737280971637758	False	0.00030413625304136254	False	False	Ecoli	False	True	False	False	umpire	directlfq	min	1.0
P0ABQ2	3079764.93182535	3066591.2539032944	3081535.7200777787	2908907.877186504	2936777.6797499605	2898251.526159225	P0ABQ2	P0ABQ2		garR	0	0.0017726260150990976	0.0777180844477755	False	0.00033454987834549883	False	False	Ecoli	False	True	False	False	umpire	directlfq	min	1.0
P0AE08	282076136.95994014	282521032.2922534	284362766.4863981	291139506.07845545	292310950.96080625	291802062.69423544	P0AE08	P0AE08		ahpC	0	0.001776179847186589	-0.04400283850795061	False	0.00036496350364963507	False	False	Ecoli	False	True	False	False	umpire	directlfq	min	1.0
P45578	69330417.35679395	71192384.04826327	70448303.23280479	75759441.92970559	76766978.50312597	75743416.06386153	P45578	P45578		luxS	0	0.0018056842942159204	-0.11369481913936572	False	0.0003953771289537713	False	False	Ecoli	False	True	False	False	umpire	directlfq	min	1.0
P0ADZ0	17966349.848889016	18215871.433524366	18031915.360772517	16270924.227548731	16742490.949632144	16449679.245017042	P0ADZ0	P0ADZ0		rplW	0	0.0018159710031929307	0.13231659366355003	False	0.0004257907542579076	False	False	Ecoli	False	True	False	False	umpire	directlfq	min	1.0
P0A796	150231278.95682675	151944721.7122919	152100464.56943205	156707721.9848104	158111097.145789	157661577.42202306	P0A796	P0A796		pfkA	0	0.0018601240600072254	-0.05668390700224193	False	0.0004562043795620438	False	False	Ecoli	False	True	False	False	umpire	directlfq	min	1.0
P0AF93	279618521.43184704	271297025.21029454	270099669.63415635	242288277.8564537	249519605.0256327	242283490.09831	P0AF93	P0AF93		ridA	0	0.001975941213385533	0.1614493126935963	False	0.00048661800486618007	False	False	Ecoli	False	True	False	False	umpire	directlfq	min	1.0
P76372	14795060.55343619	15145148.140034877	15147729.044229146	13665609.42135527	13812494.870871443	13885319.835696455	P76372	P76372		wzzB	0	0.0022727887628432894	0.12438590541955805	False	0.0005170316301703164	False	False	Ecoli	False	True	False	False	umpire	directlfq	min	1.0
P0A9L3	78360374.57883082	77818327.65836135	76133586.69145028	71979963.5187745	71028461.35596257	70372340.1966885	P0A9L3	P0A9L3		fklB	0	0.0023735396535370535	0.12263534012647767	False	0.0005474452554744526	False	False	Ecoli	False	True	False	False	umpire	directlfq	min	1.0
P02768ups|ALBU_HUMAN_UPS Serum albumin (Chain 26-609) - Homo sapiens (Human)	79108.8797823388	108574.98440000007	91962.48136088016	694730.8401827813	832970.5956642843	777834.7949481779	P02768ups|ALBU_HUMAN_UPS Serum albumin (Chain 26-609) - Homo sapiens (Human)	P02768ups|ALBU_HUMAN_UPS Serum albumin (Chain 26-609) - Homo sapiens (Human)			0	0.0025103462193495135	-3.0434269552156343	False	0.0005778588807785888	False	True	Human	True	False	False	False	umpire	directlfq	min	1.0
P0A7L3	89238677.07115392	91874721.05021852	92577145.214803	101964904.21763168	100887759.32909404	99770381.58138686	P0A7L3	P0A7L3		rplT	0	0.002640383872437339	-0.14497626779749398	False	0.0006082725060827251	False	False	Ecoli	False	True	False	False	umpire	directlfq	min	1.0
