protein	RD139_Wide_UPS1_0_25fmol_inj1	RD139_Wide_UPS1_0_25fmol_inj2	RD139_Wide_UPS1_0_25fmol_inj3	RD139_Wide_UPS1_5fmol_inj1	RD139_Wide_UPS1_5fmol_inj2	RD139_Wide_UPS1_5fmol_inj3	Protein.Group	Protein.Ids	Protein.Names	Genes	isna	pval	log2_FC	Bonf_pass	BH_thr	BH_pass	FC_pass	Organism	Human	Ecoli	Yeast	FDR_pass	Search Engine	Quantitation	Imputation	FC_thr
P41159ups|LEP_HUMAN_UPS Leptin (Chain 22-167) - Homo sapiens (Human)	64604.23726440764	42511.71094000002	144585.6094511883	9084128.113341363	8932948.28006866	9046827.548176637	P41159ups|LEP_HUMAN_UPS Leptin (Chain 22-167) - Homo sapiens (Human)	P41159ups|LEP_HUMAN_UPS Leptin (Chain 22-167) - Homo sapiens (Human)			3	5.786044194633329e-08	-6.748512006796556	True	3.0156815440289508e-05	True	True	Human	True	False	False	True	umpire	directlfq	min	1.660964047443681
P00167ups|CYB5_HUMAN_UPS Cytochrome b5 (Chain 1-134, N-terminal His tag) - Homo sapiens (Human)	64604.23726440764	42511.71094000002	144585.6094511883	3575009.9816778805	3601975.892253544	3688813.748575122	P00167ups|CYB5_HUMAN_UPS Cytochrome b5 (Chain 1-134, N-terminal His tag) - Homo sapiens (Human)	P00167ups|CYB5_HUMAN_UPS Cytochrome b5 (Chain 1-134, N-terminal His tag) - Homo sapiens (Human)			3	2.0015239638515468e-07	-5.431936392584681	True	6.0313630880579016e-05	True	True	Human	True	False	False	True	umpire	directlfq	min	1.660964047443681
P15559ups|NQO1_HUMAN_UPS NAD(P)H dehydrogenase [quinone] 1 (Chain 2-274) - Homo sapiens (Human)	64604.23726440764	42511.71094000002	144585.6094511883	2682599.4931417857	2747008.6791169853	2799586.840553899	P15559ups|NQO1_HUMAN_UPS NAD(P)H dehydrogenase [quinone] 1 (Chain 2-274) - Homo sapiens (Human)	P15559ups|NQO1_HUMAN_UPS NAD(P)H dehydrogenase [quinone] 1 (Chain 2-274) - Homo sapiens (Human)			3	5.806775316976855e-07	-5.030965262074494	True	9.047044632086853e-05	True	True	Human	True	False	False	True	umpire	directlfq	min	1.660964047443681
P01031ups|CO5_HUMAN_UPS Complement C5 (C5a anaphylatoxin) (Chain 678-751) - Homo sapiens (Human)	182183.5098638717	75434.79688000007	144585.6094511883	2526062.242605902	2574293.225863513	2437408.9893866885	P01031ups|CO5_HUMAN_UPS Complement C5 (C5a anaphylatoxin) (Chain 678-751) - Homo sapiens (Human)	P01031ups|CO5_HUMAN_UPS Complement C5 (C5a anaphylatoxin) (Chain 678-751) - Homo sapiens (Human)			1	2.327566951341301e-06	-4.22813767985921	True	0.00012062726176115803	True	True	Human	True	False	False	True	umpire	directlfq	min	1.660964047443681
P08758ups|ANXA5_HUMAN_UPS Annexin A5 (Chain 2-320) - Homo sapiens (Human)	64604.23726440764	42511.71094000002	144585.6094511883	8334632.94075076	8559562.060440145	8423843.186219223	P08758ups|ANXA5_HUMAN_UPS Annexin A5 (Chain 2-320) - Homo sapiens (Human)	P08758ups|ANXA5_HUMAN_UPS Annexin A5 (Chain 2-320) - Homo sapiens (Human)			3	2.495924673524271e-06	-6.65230766446885	True	0.00015078407720144752	True	True	Human	True	False	False	True	umpire	directlfq	min	1.660964047443681
P01375ups|TNFA_HUMAN_UPS Tumor necrosis factor, soluble form (Chain 77-233) - Homo sapiens (Human)	64604.23726440764	42511.71094000002	144585.6094511883	1907907.118361499	1818549.6991523309	1946816.6113414117	P01375ups|TNFA_HUMAN_UPS Tumor necrosis factor, soluble form (Chain 77-233) - Homo sapiens (Human)	P01375ups|TNFA_HUMAN_UPS Tumor necrosis factor, soluble form (Chain 77-233) - Homo sapiens (Human)			3	4.774937267731088e-06	-4.494395347995613	True	0.00018094089264173707	True	True	Human	True	False	False	True	umpire	directlfq	min	1.660964047443681
P63279ups|UBC9_HUMAN_UPS SUMO-conjugating enzyme UBC9 (Chain 1-158) - Homo sapiens (Human)	64604.23726440764	42511.71094000002	144585.6094511883	1391394.308571103	1321287.0006931257	1401391.574179335	P63279ups|UBC9_HUMAN_UPS SUMO-conjugating enzyme UBC9 (Chain 1-158) - Homo sapiens (Human)	P63279ups|UBC9_HUMAN_UPS SUMO-conjugating enzyme UBC9 (Chain 1-158) - Homo sapiens (Human)			3	8.132293887499588e-06	-4.030781302598201	True	0.00021109770808202657	True	True	Human	True	False	False	True	umpire	directlfq	min	1.660964047443681
P0A972	305408728.9864212	301725595.4329017	304096252.0067405	256254209.53438663	256511273.5970616	252617528.1150798	P0A972	P0A972		cspE	0	9.894763407381058e-06	0.2516342789091624	True	0.00024125452352231607	True	False	Ecoli	False	True	False	True	umpire	directlfq	min	1.660964047443681
O00762ups|UBE2C_HUMAN_UPS Ubiquitin-conjugating enzyme E2 C (Chain 1-179, N-terminal His tag)- Homo sapiens (Human)	64604.23726440764	42511.71094000002	144585.6094511883	2708092.155377304	2839142.2484508576	2898621.615130784	O00762ups|UBE2C_HUMAN_UPS Ubiquitin-conjugating enzyme E2 C (Chain 1-179, N-terminal His tag)- Homo sapiens (Human)	O00762ups|UBE2C_HUMAN_UPS Ubiquitin-conjugating enzyme E2 C (Chain 1-179, N-terminal His tag)- Homo sapiens (Human)			3	2.0890024626586355e-05	-5.06845760319177	True	0.00027141133896260554	True	True	Human	True	False	False	True	umpire	directlfq	min	1.660964047443681
P05413ups|FABPH_HUMAN_UPS Fatty acid-binding protein, heart (Chain 2-133) - Homo sapiens (Human)	881920.4510259095	997044.8215480818	227077.6587990868	8471214.880874803	8463553.394281426	8050142.505377641	P05413ups|FABPH_HUMAN_UPS Fatty acid-binding protein, heart (Chain 2-133) - Homo sapiens (Human)	P05413ups|FABPH_HUMAN_UPS Fatty acid-binding protein, heart (Chain 2-133) - Homo sapiens (Human)			0	6.397019532908666e-05	-3.56845031541365	False	0.00030156815440289503	True	True	Human	True	False	False	True	umpire	directlfq	min	1.660964047443681
P61769ups|B2MG_HUMAN_UPS Beta-2-microglobulin (Chain 21-119) - Homo sapiens (Human)	64604.23726440764	42511.71094000002	144585.6094511883	910069.6444232411	837447.4989895611	846052.3221707861	P61769ups|B2MG_HUMAN_UPS Beta-2-microglobulin (Chain 21-119) - Homo sapiens (Human)	P61769ups|B2MG_HUMAN_UPS Beta-2-microglobulin (Chain 21-119) - Homo sapiens (Human)			3	6.540064019428398e-05	-3.365152961279316	False	0.0003317249698431846	True	True	Human	True	False	False	True	umpire	directlfq	min	1.660964047443681
P01344ups|IGF2_HUMAN_UPS Insulin-like growth factor II (Chain 25-91) - Homo sapiens (Human)	226583.58983678327	42511.71094000002	144585.6094511883	8869839.540821657	8717501.71239349	9238782.296233157	P01344ups|IGF2_HUMAN_UPS Insulin-like growth factor II (Chain 25-91) - Homo sapiens (Human)	P01344ups|IGF2_HUMAN_UPS Insulin-like growth factor II (Chain 25-91) - Homo sapiens (Human)			2	7.525832493423157e-05	-6.0189764016099785	False	0.00036188178528347414	True	True	Human	True	False	False	True	umpire	directlfq	min	1.660964047443681
P02787ups|TRFE_HUMAN_UPS Serotransferrin (Chain 20-698) - Homo sapiens (Human)	9898499.695935508	10434481.699118808	9848883.328682866	17318468.356181376	17389328.79184647	18213392.296291526	P02787ups|TRFE_HUMAN_UPS Serotransferrin (Chain 20-698) - Homo sapiens (Human)	P02787ups|TRFE_HUMAN_UPS Serotransferrin (Chain 20-698) - Homo sapiens (Human)			0	7.840326678520181e-05	-0.810163545127825	False	0.0003920386007237636	True	False	Human	True	False	False	True	umpire	directlfq	min	1.660964047443681
P01127ups|PDGFB_HUMAN_UPS Platelet-derived growth factor B chain (Chain 82-190) - Homo sapiens (Human)	64604.23726440764	42511.71094000002	144585.6094511883	8005138.243450862	7964053.504142786	8331958.911580692	P01127ups|PDGFB_HUMAN_UPS Platelet-derived growth factor B chain (Chain 82-190) - Homo sapiens (Human)	P01127ups|PDGFB_HUMAN_UPS Platelet-derived growth factor B chain (Chain 82-190) - Homo sapiens (Human)			3	8.395058329017347e-05	-6.593166672167246	False	0.00042219541616405313	True	True	Human	True	False	False	True	umpire	directlfq	min	1.660964047443681
P10636-8ups|TAU_HUMAN_UPS Microtubule-associated protein tau {Isoform Tau-F (Tau-4)} (Chain 2-441) - Homo sapiens (Human)	459162.2225655751	42511.71094000002	144585.6094511883	4393008.49313903	3812352.6403740617	4183133.6607063366	P10636-8ups|TAU_HUMAN_UPS Microtubule-associated protein tau {Isoform Tau-F (Tau-4)} (Chain 2-441) - Homo sapiens (Human)	P10636-8ups|TAU_HUMAN_UPS Microtubule-associated protein tau {Isoform Tau-F (Tau-4)} (Chain 2-441) - Homo sapiens (Human)			2	9.023245085372996e-05	-4.2607434209635455	False	0.0004523522316043426	True	True	Human	True	False	False	True	umpire	directlfq	min	1.660964047443681
P0AAS7	4870163.879437838	4940974.465194734	4979342.193822832	5630112.743735875	5724899.261834666	5756407.845148722	P0AAS7	P0AAS7		ybcJ	0	0.00011940581671790312	-0.21029054905491237	False	0.00048250904704463213	True	False	Ecoli	False	True	False	True	umpire	directlfq	min	1.660964047443681
P04805	126340568.10654037	125195434.22845624	124599627.6409996	137462634.16032818	136810616.3324237	137869956.19095907	P04805	P04805		gltX	0	0.00014810941041550394	-0.1318927410924121	False	0.0005126658624849216	True	False	Ecoli	False	True	False	True	umpire	directlfq	min	1.660964047443681
P55957ups|BID_HUMAN_UPS BH3-interacting domain death agonist (Chain 1-195) - Homo sapiens (Human)	64604.23726440764	42511.71094000002	144585.6094511883	1150306.4035787696	1104700.9983653568	1124896.7046901707	P55957ups|BID_HUMAN_UPS BH3-interacting domain death agonist (Chain 1-195) - Homo sapiens (Human)	P55957ups|BID_HUMAN_UPS BH3-interacting domain death agonist (Chain 1-195) - Homo sapiens (Human)			3	0.00015915239300264488	-3.747196265727712	False	0.0005428226779252111	True	True	Human	True	False	False	True	umpire	directlfq	min	1.660964047443681
P0A8A2	34273852.4446588	35055817.47291764	35261214.86722232	40322241.33138824	39701299.26347881	40667450.5677757	P0A8A2	P0A8A2		yeeN	0	0.00020664072000813624	-0.2065608672931372	False	0.0005729794933655006	True	False	Ecoli	False	True	False	True	umpire	directlfq	min	1.660964047443681
P16083ups|NQO2_HUMAN_UPS Ribosyldihydronicotinamide dehydrogenase [quinone] (Chain 2-231) - Homo sapiens (Human)	64604.23726440764	42511.71094000002	144585.6094511883	4752628.349626214	4661478.321242888	4381196.148836523	P16083ups|NQO2_HUMAN_UPS Ribosyldihydronicotinamide dehydrogenase [quinone] (Chain 2-231) - Homo sapiens (Human)	P16083ups|NQO2_HUMAN_UPS Ribosyldihydronicotinamide dehydrogenase [quinone] (Chain 2-231) - Homo sapiens (Human)			3	0.00026628493520478307	-5.77631917066148	False	0.0006031363088057901	True	True	Human	True	False	False	True	umpire	directlfq	min	1.660964047443681
P18355	3422353.7338898224	3262498.5000000023	3298663.681634248	2285624.355630962	2130617.3973069037	2349324.237118788	P18355	P18355			0	0.0002993894471510469	0.561337350505001	False	0.0006332931242460796	True	False	Ecoli	False	True	False	True	umpire	directlfq	min	1.660964047443681
P63224	59360141.446836464	59678863.17393351	60617589.23165117	66496248.70453838	65358295.809205525	65552329.93932819	P63224	P63224		gmhA	0	0.0003387728350251005	-0.13593034388318226	False	0.0006634499396863692	True	False	Ecoli	False	True	False	True	umpire	directlfq	min	1.660964047443681
P0AEX9	38054485.68890334	36888908.19517981	37387287.65045871	44579193.37379356	43148341.50007751	43820239.66193415	P0AEX9	P0AEX9		malE	0	0.00034414942694614475	-0.22783480858678617	False	0.0006936067551266587	True	False	Ecoli	False	True	False	True	umpire	directlfq	min	1.660964047443681
P33018	196723.0433425606	226643.53120000023	181835.4140870289	416587.1031995072	380992.87181259313	405898.8483047191	P33018	P33018		yeiG	0	0.0003810308749440112	-0.9917221228323113	False	0.0007237635705669483	True	False	Ecoli	False	True	False	True	umpire	directlfq	min	1.660964047443681
P06732ups|KCRM_HUMAN_UPS Creatine kinase M-type (Chain 1-381) - Homo sapiens (Human)	64604.23726440764	42511.71094000002	144585.6094511883	5895641.10296077	6196506.884969957	5690113.003124568	P06732ups|KCRM_HUMAN_UPS Creatine kinase M-type (Chain 1-381) - Homo sapiens (Human)	P06732ups|KCRM_HUMAN_UPS Creatine kinase M-type (Chain 1-381) - Homo sapiens (Human)			3	0.00038927094844185044	-6.142580817731156	False	0.0007539203860072376	True	True	Human	True	False	False	True	umpire	directlfq	min	1.660964047443681
P01579ups|IFNG_HUMAN_UPS Interferon Gamma (Chain 23-166) - Homo sapiens (Human)	64604.23726440764	42511.71094000002	144585.6094511883	3783831.234519608	3829562.989505706	3484589.587258599	P01579ups|IFNG_HUMAN_UPS Interferon Gamma (Chain 23-166) - Homo sapiens (Human)	P01579ups|IFNG_HUMAN_UPS Interferon Gamma (Chain 23-166) - Homo sapiens (Human)			3	0.00039192506344555333	-5.462439648759681	False	0.0007840772014475272	True	True	Human	True	False	False	True	umpire	directlfq	min	1.660964047443681
P22106	9915031.422340903	9735004.089847883	9836605.349989315	8908988.510074012	9094948.281769551	9023484.898302326	P22106	P22106		asnB	0	0.00040444336249407267	0.12563758798049382	False	0.0008142340168878167	True	False	Ecoli	False	True	False	True	umpire	directlfq	min	1.660964047443681
P02144ups|MYG_HUMAN_UPS Myoglobin (Chain 2-154) - Homo sapiens (Human)	64604.23726440764	42511.71094000002	144585.6094511883	7820228.548451338	8426040.698795527	7910383.720806162	P02144ups|MYG_HUMAN_UPS Myoglobin (Chain 2-154) - Homo sapiens (Human)	P02144ups|MYG_HUMAN_UPS Myoglobin (Chain 2-154) - Homo sapiens (Human)			3	0.00041368989104213094	-6.584562620613697	False	0.0008443908323281063	True	True	Human	True	False	False	True	umpire	directlfq	min	1.660964047443681
P0A7T7	210962803.8485216	221217400.59790903	220068134.0850922	175992826.49745628	165773879.91398734	169145824.95670348	P0A7T7	P0A7T7		rpsR	0	0.00045320685411270493	0.35234504231438685	False	0.0008745476477683957	True	False	Ecoli	False	True	False	True	umpire	directlfq	min	1.660964047443681
P01112ups|RASH_HUMAN_UPS GTPase HRas (Chain 1-189) - Homo sapiens (Human)	64604.23726440764	42511.71094000002	144585.6094511883	4552455.151932431	4596585.925454813	4188613.2286969647	P01112ups|RASH_HUMAN_UPS GTPase HRas (Chain 1-189) - Homo sapiens (Human)	P01112ups|RASH_HUMAN_UPS GTPase HRas (Chain 1-189) - Homo sapiens (Human)			3	0.0004875399755069085	-5.727647007110931	False	0.0009047044632086852	True	True	Human	True	False	False	True	umpire	directlfq	min	1.660964047443681
P69908	8537684.773961363	8569281.394212136	9017701.640211765	6391145.630870446	6419081.320534263	6765347.296485004	P69908	P69908		gadA	0	0.0005102799021725236	0.41635806305394024	False	0.0009348612786489747	True	False	Ecoli	False	True	False	True	umpire	directlfq	min	1.660964047443681
P00918ups|CAH2_HUMAN_UPS Carbonic anhydrase 2 (Chain 2-260) - Homo sapiens (Human)	64604.23726440764	42511.71094000002	144585.6094511883	13403622.001069074	12846725.107701393	12304646.44082353	P00918ups|CAH2_HUMAN_UPS Carbonic anhydrase 2 (Chain 2-260) - Homo sapiens (Human)	P00918ups|CAH2_HUMAN_UPS Carbonic anhydrase 2 (Chain 2-260) - Homo sapiens (Human)			3	0.0005546465468627237	-7.2590597717441945	False	0.0009650180940892643	True	True	Human	True	False	False	True	umpire	directlfq	min	1.660964047443681
Q15843ups|NEDD8_HUMAN_UPS NEDD8 (Chain 1-81) - Homo sapiens (Human)	64604.23726440764	42511.71094000002	144585.6094511883	1864344.962452081	2137556.63399898	2094645.369846596	Q15843ups|NEDD8_HUMAN_UPS NEDD8 (Chain 1-81) - Homo sapiens (Human)	Q15843ups|NEDD8_HUMAN_UPS NEDD8 (Chain 1-81) - Homo sapiens (Human)			3	0.00062553158434924	-4.598206293714921	False	0.0009951749095295538	True	True	Human	True	False	False	True	umpire	directlfq	min	1.660964047443681
