protein	RD139_Wide_UPS1_0_1fmol_inj1	RD139_Wide_UPS1_0_1fmol_inj2	RD139_Wide_UPS1_0_1fmol_inj3	RD139_Wide_UPS1_50fmol_inj1	RD139_Wide_UPS1_50fmol_inj2	RD139_Wide_UPS1_50fmol_inj3	Protein.Group	Protein.Ids	Protein.Names	Genes	isna	pval	log2_FC	Bonf_pass	BH_thr	BH_pass	FC_pass	Organism	Human	Ecoli	Yeast	FDR_pass	Search Engine	Quantitation	Imputation	FC_thr
P41159ups|LEP_HUMAN_UPS Leptin (Chain 22-167) - Homo sapiens (Human)	77483.8984109747	119216.40620000006	117593.98793936551	30251343.279122043	30281027.165925182	30368719.60616087	P41159ups|LEP_HUMAN_UPS Leptin (Chain 22-167) - Homo sapiens (Human)	P41159ups|LEP_HUMAN_UPS Leptin (Chain 22-167) - Homo sapiens (Human)			3	4.781594192496106e-08	-8.176037710895743	True	3.121098626716604e-05	True	True	Human	True	False	False	True	umpire	directlfq	min	1.660964047443681
P16083ups|NQO2_HUMAN_UPS Ribosyldihydronicotinamide dehydrogenase [quinone] (Chain 2-231) - Homo sapiens (Human)	1893331.2287703769	119216.40620000006	117593.98793936551	58486856.508413576	59340464.28897424	57208897.98204668	P16083ups|NQO2_HUMAN_UPS Ribosyldihydronicotinamide dehydrogenase [quinone] (Chain 2-231) - Homo sapiens (Human)	P16083ups|NQO2_HUMAN_UPS Ribosyldihydronicotinamide dehydrogenase [quinone] (Chain 2-231) - Homo sapiens (Human)			2	3.0000376189990143e-07	-6.360560316009203	True	6.242197253433208e-05	True	True	Human	True	False	False	True	umpire	directlfq	min	1.660964047443681
P62988ups|UBIQ_HUMAN_UPS Ubiquitin (Chain 1-76, N-terminal His tag) - Homo sapiens (Human)	846330.6197649193	560227.2181774694	572808.6184263838	6954481.565306265	6875449.616804729	7145550.718679828	P62988ups|UBIQ_HUMAN_UPS Ubiquitin (Chain 1-76, N-terminal His tag) - Homo sapiens (Human)	P62988ups|UBIQ_HUMAN_UPS Ubiquitin (Chain 1-76, N-terminal His tag) - Homo sapiens (Human)			0	1.1014907885963809e-06	-3.405593316006277	True	9.363295880149814e-05	True	True	Human	True	False	False	True	umpire	directlfq	min	1.660964047443681
P01133ups|EGF_HUMAN_UPS Pro-Epidermal growth factor (EGF) (Chain 971-1023) - Homo sapiens (Human)	77483.8984109747	1244018.5007129984	1002645.8859259778	15769091.720564114	16459755.13971882	15500504.701119144	P01133ups|EGF_HUMAN_UPS Pro-Epidermal growth factor (EGF) (Chain 971-1023) - Homo sapiens (Human)	P01133ups|EGF_HUMAN_UPS Pro-Epidermal growth factor (EGF) (Chain 971-1023) - Homo sapiens (Human)			1	7.568145732033895e-06	-4.360102712982557	True	0.00012484394506866417	True	True	Human	True	False	False	True	umpire	directlfq	min	1.660964047443681
P10145ups|IL8_HUMAN_UPS Interleukin-8, IL-8 (Chain 28-99) - Homo sapiens (Human)	2127232.155494981	119216.40620000006	117593.98793936551	31008997.38689309	29286809.7344789	30086411.22953645	P10145ups|IL8_HUMAN_UPS Interleukin-8, IL-8 (Chain 28-99) - Homo sapiens (Human)	P10145ups|IL8_HUMAN_UPS Interleukin-8, IL-8 (Chain 28-99) - Homo sapiens (Human)			2	8.420312784093362e-06	-5.25671105964462	True	0.00015605493133583021	True	True	Human	True	False	False	True	umpire	directlfq	min	1.660964047443681
P05413ups|FABPH_HUMAN_UPS Fatty acid-binding protein, heart (Chain 2-133) - Homo sapiens (Human)	77483.8984109747	119216.40620000006	117593.98793936551	94429208.38990152	94287230.69069366	95270466.94144396	P05413ups|FABPH_HUMAN_UPS Fatty acid-binding protein, heart (Chain 2-133) - Homo sapiens (Human)	P05413ups|FABPH_HUMAN_UPS Fatty acid-binding protein, heart (Chain 2-133) - Homo sapiens (Human)			3	1.0134842667238618e-05	-9.81949262295045	True	0.0001872659176029963	True	True	Human	True	False	False	True	umpire	directlfq	min	1.660964047443681
P45795	1434751.1075400398	1449175.375000001	1269439.4055921426	3136868.2550618607	3257574.6168235065	3303182.5308142635	P45795	P45795		yrdB	0	2.0475939721894287e-05	-1.2233505561041518	True	0.0002184769038701623	True	False	Ecoli	False	True	False	True	umpire	directlfq	min	1.660964047443681
P55957ups|BID_HUMAN_UPS BH3-interacting domain death agonist (Chain 1-195) - Homo sapiens (Human)	77483.8984109747	119216.40620000006	117593.98793936551	29343997.03222988	28847374.904639315	29061689.0641322	P55957ups|BID_HUMAN_UPS BH3-interacting domain death agonist (Chain 1-195) - Homo sapiens (Human)	P55957ups|BID_HUMAN_UPS BH3-interacting domain death agonist (Chain 1-195) - Homo sapiens (Human)			3	2.1020255253075965e-05	-8.116945860781401	True	0.00024968789013732833	True	True	Human	True	False	False	True	umpire	directlfq	min	1.660964047443681
P62937ups|PPIA_HUMAN_UPS Peptidyl-prolyl cis-trans isomerase A (Chain 1-165, N terminal His tag)- Homo sapiens (Human)	22493284.19299157	22744218.89023484	22957216.473559696	18528343.10657827	18199658.104429714	18526501.243457194	P62937ups|PPIA_HUMAN_UPS Peptidyl-prolyl cis-trans isomerase A (Chain 1-165, N terminal His tag)- Homo sapiens (Human)	P62937ups|PPIA_HUMAN_UPS Peptidyl-prolyl cis-trans isomerase A (Chain 1-165, N terminal His tag)- Homo sapiens (Human)			0	2.149114887813882e-05	0.3035680046512988	True	0.0002808988764044944	True	False	Human	True	False	False	True	umpire	directlfq	min	1.660964047443681
O76070ups|SYUG_HUMAN_UPS Gamma-synuclein (Chain 1-127) - Homo sapiens (Human)	77483.8984109747	119216.40620000006	117593.98793936551	79136033.73130657	78072881.00030082	79249004.48227039	O76070ups|SYUG_HUMAN_UPS Gamma-synuclein (Chain 1-127) - Homo sapiens (Human)	O76070ups|SYUG_HUMAN_UPS Gamma-synuclein (Chain 1-127) - Homo sapiens (Human)			3	2.2123191961552e-05	-9.555251670926065	True	0.00031210986267166043	True	True	Human	True	False	False	True	umpire	directlfq	min	1.660964047443681
