Protein.Group	Protein.Names	Genes	First.Protein.Description	N.Sequences	N.Proteotypic.Sequences	/home/lerost/DIA_tools_manuscript/input_files/PXD026600/RD139_Wide_UPS1_5fmol_inj3.mzML	/home/lerost/DIA_tools_manuscript/input_files/PXD026600/RD139_Wide_UPS1_25fmol_inj2.mzML	/home/lerost/DIA_tools_manuscript/input_files/PXD026600/RD139_Wide_UPS1_5fmol_inj2.mzML	/home/lerost/DIA_tools_manuscript/input_files/PXD026600/RD139_Wide_UPS1_25fmol_inj3.mzML	/home/lerost/DIA_tools_manuscript/input_files/PXD026600/RD139_Wide_UPS1_25fmol_inj1.mzML	/home/lerost/DIA_tools_manuscript/input_files/PXD026600/RD139_Wide_UPS1_5fmol_inj1.mzML
O00762ups|UBE2C_HUMAN_UPS	Ubiquitin-conjugating	Ubiquitin-conjugating		7	7	1.11524e+07	5.73537e+07	1.08659e+07	5.47591e+07	5.4727e+07	1.14542e+07
O76070ups|SYUG_HUMAN_UPS	Gamma-synuclein	Gamma-synuclein		8	8	3.26298e+07	1.7904e+08	3.63998e+07	1.72628e+08	1.79798e+08	3.54984e+07
P00167ups|CYB5_HUMAN_UPS	Cytochrome	Cytochrome		5	5	1.40843e+07	6.03758e+07	1.10836e+07	5.89286e+07	6.25714e+07	1.13653e+07
P00350	6PGD_ECOLI	gnd	6-phosphogluconate dehydrogenase, decarboxylating	27	27	3.71305e+08	3.66029e+08	3.5711e+08	3.64261e+08	3.49676e+08	3.57356e+08
P00363	FRDA_ECOLI	frdA	Fumarate reductase flavoprotein subunit	28	28	2.57767e+08	2.22973e+08	2.3479e+08	2.26566e+08	2.24463e+08	2.42227e+08
P00370	DHE4_ECOLI	gdhA	NADP-specific glutamate dehydrogenase	11	11	1.62366e+07	1.72477e+07	1.61657e+07	1.75597e+07	1.78414e+07	1.65832e+07
P00393	DHNA_ECOLI	ndh	NADH dehydrogenase	18	18	3.69561e+07	3.79097e+07	3.57536e+07	3.65287e+07	3.62185e+07	3.63057e+07
P00441ups|SODC_HUMAN_UPS	Superoxide	Superoxide		2	2		3.1399e+07	7.75739e+06	3.41561e+07	3.48701e+07	
P00448	SODM_ECOLI	sodA	Superoxide dismutase [Mn]	9	9	4.72176e+07	4.69968e+07	4.60542e+07	4.83764e+07	4.86561e+07	4.63853e+07
P00452	RIR1_ECOLI	nrdA	Ribonucleoside-diphosphate reductase 1 subunit alpha	32	32	4.55728e+07	4.54345e+07	4.38918e+07	4.44419e+07	4.4879e+07	4.53799e+07
P00490	PHSM_ECOLI	malP	Maltodextrin phosphorylase	30	30	4.24474e+07	3.98499e+07	4.18393e+07	4.01022e+07	4.10871e+07	4.25582e+07
P00509	AAT_ECOLI	aspC	Aspartate aminotransferase	26	26	1.03218e+08	1.02903e+08	1.01496e+08	9.85091e+07	1.01802e+08	1.01369e+08
P00547	KHSE_ECOLI	thrB	Homoserine kinase	2	2	3.81479e+06	3.32322e+06	3.53284e+06	3.65971e+06	3.71723e+06	3.4336e+06
P00550	PTM3C_ECOLI	mtlA	PTS system mannitol-specific EIICBA component	5	5	3.354e+06	3.62558e+06	3.53926e+06	3.70544e+06	3.10498e+06	3.55165e+06
P00561	AK1H_ECOLI	thrA	Bifunctional aspartokinase/homoserine dehydrogenase 1	12	12	1.5194e+07	1.48951e+07	1.5831e+07	1.60312e+07	1.62408e+07	1.58818e+07
P00562	AK2H_ECOLI	metL	Bifunctional aspartokinase/homoserine dehydrogenase 2	18	18	8.22874e+06	8.13325e+06	8.40796e+06	8.42525e+06	8.55415e+06	8.26714e+06
