Protein.Group	Protein.Names	Genes	First.Protein.Description	N.Sequences	N.Proteotypic.Sequences	/home/lerost/DIA_tools_manuscript/input_files/PXD026600/RD139_Wide_UPS1_5fmol_inj3.mzML	/home/lerost/DIA_tools_manuscript/input_files/PXD026600/RD139_Wide_UPS1_50fmol_inj2.mzML	/home/lerost/DIA_tools_manuscript/input_files/PXD026600/RD139_Wide_UPS1_5fmol_inj2.mzML	/home/lerost/DIA_tools_manuscript/input_files/PXD026600/RD139_Wide_UPS1_50fmol_inj3.mzML	/home/lerost/DIA_tools_manuscript/input_files/PXD026600/RD139_Wide_UPS1_50fmol_inj1.mzML	/home/lerost/DIA_tools_manuscript/input_files/PXD026600/RD139_Wide_UPS1_5fmol_inj1.mzML
O00762ups|UBE2C_HUMAN_UPS	Ubiquitin-conjugating	Ubiquitin-conjugating		7	7	1.09039e+07	1.01973e+08	1.09021e+07	1.03493e+08	9.89397e+07	1.10817e+07
O76070ups|SYUG_HUMAN_UPS	Gamma-synuclein	Gamma-synuclein		11	10	1.68568e+07	1.59995e+08	1.88621e+07	1.69253e+08	1.63239e+08	1.89871e+07
P00167ups|CYB5_HUMAN_UPS	Cytochrome	Cytochrome		5	5	1.55147e+07	1.33649e+08	1.34145e+07	1.31391e+08	1.29961e+08	1.30927e+07
P00350	6PGD_ECOLI	gnd	6-phosphogluconate dehydrogenase, decarboxylating	28	28	3.56412e+08	3.55575e+08	3.55363e+08	3.62937e+08	3.5451e+08	3.51188e+08
P00363	FRDA_ECOLI	frdA	Fumarate reductase flavoprotein subunit	28	28	2.5341e+08	2.31091e+08	2.42233e+08	2.33768e+08	2.28917e+08	2.47307e+08
P00370	DHE4_ECOLI	gdhA	NADP-specific glutamate dehydrogenase	11	11	1.56621e+07	1.63864e+07	1.65679e+07	1.70167e+07	1.78207e+07	1.67914e+07
P00393	DHNA_ECOLI	ndh	NADH dehydrogenase	18	18	3.62601e+07	3.72336e+07	3.59186e+07	3.64676e+07	3.59202e+07	3.62082e+07
P00441ups|SODC_HUMAN_UPS	Superoxide	Superoxide		2	2		5.90012e+07	7.29094e+06	6.19137e+07	5.61202e+07	
P00448	SODM_ECOLI	sodA	Superoxide dismutase [Mn]	8	8	4.21716e+07	4.20361e+07	4.13952e+07	4.09723e+07	4.03379e+07	4.1876e+07
P00452	RIR1_ECOLI	nrdA	Ribonucleoside-diphosphate reductase 1 subunit alpha	32	32	4.30694e+07	4.32977e+07	4.18664e+07	4.51807e+07	4.37614e+07	4.27774e+07
P00490	PHSM_ECOLI	malP	Maltodextrin phosphorylase	29	29	4.02599e+07	3.90137e+07	4.04469e+07	3.96645e+07	3.80086e+07	4.10931e+07
P00509	AAT_ECOLI	aspC	Aspartate aminotransferase	25	25	1.02179e+08	1.01257e+08	1.03245e+08	1.09086e+08	1.01897e+08	1.01737e+08
P00547	KHSE_ECOLI	thrB	Homoserine kinase	2	2	3.98664e+06	3.69865e+06	3.72102e+06	3.58854e+06	3.50115e+06	3.63275e+06
P00550	PTM3C_ECOLI	mtlA	PTS system mannitol-specific EIICBA component	5	5	2.84743e+06	2.61795e+06	3.26666e+06	3.0728e+06	2.85631e+06	3.00887e+06
P00561	AK1H_ECOLI	thrA	Bifunctional aspartokinase/homoserine dehydrogenase 1	11	11	1.20582e+07	1.21632e+07	1.19323e+07	1.15477e+07	1.16942e+07	1.27242e+07
P00562	AK2H_ECOLI	metL	Bifunctional aspartokinase/homoserine dehydrogenase 2	19	19	8.67416e+06	8.30332e+06	8.81607e+06	8.5863e+06	8.62017e+06	8.66193e+06
P00579	RPOD_ECOLI	rpoD	RNA polymerase sigma factor RpoD	20	19	5.73157e+07	5.61509e+07	6.07242e+07	6.11837e+07	5.96228e+07	6.01065e+07
P00582	DPO1_ECOLI	polA	DNA polymerase I	42	42	2.39951e+07	2.3855e+07	2.49034e+07	2.39715e+07	2.31723e+07	2.51567e+07
P00709ups|LALBA_HUMAN_UPS	Alpha-lactalbumin	Alpha-lactalbumin		2	2		7.59159e+07		7.24592e+07	8.12648e+07	9.5249e+06
P00803	LEP_ECOLI	lepB	Signal peptidase I	7	7	1.47772e+07	1.52957e+07	1.50981e+07	1.50117e+07	1.60217e+07	1.39766e+07
P00805	ASPG2_ECOLI	ansB	L-asparaginase 2	17	17	1.37711e+08	1.4053e+08	1.42803e+08	1.43825e+08	1.38923e+08	1.46808e+08
P00811	AMPC_ECOLI	ampC	Beta-lactamase	5	5	4.92281e+06	5.19776e+06	5.01912e+06	5.44237e+06	5.17417e+06	5.50581e+06
P00861	DCDA_ECOLI	lysA	Diaminopimelate decarboxylase	2	2	1.50621e+06	1.5329e+06	698631	964016	1.70271e+06	1.35575e+06
