Protein.Group	Protein.Names	Genes	First.Protein.Description	N.Sequences	N.Proteotypic.Sequences	/home/lerost/DIA_tools_manuscript/input_files/PXD026600/RD139_Wide_UPS1_0_25fmol_inj2.mzML	/home/lerost/DIA_tools_manuscript/input_files/PXD026600/RD139_Wide_UPS1_5fmol_inj3.mzML	/home/lerost/DIA_tools_manuscript/input_files/PXD026600/RD139_Wide_UPS1_0_25fmol_inj3.mzML	/home/lerost/DIA_tools_manuscript/input_files/PXD026600/RD139_Wide_UPS1_5fmol_inj2.mzML	/home/lerost/DIA_tools_manuscript/input_files/PXD026600/RD139_Wide_UPS1_0_25fmol_inj1.mzML	/home/lerost/DIA_tools_manuscript/input_files/PXD026600/RD139_Wide_UPS1_5fmol_inj1.mzML
O00762ups|UBE2C_HUMAN_UPS	Ubiquitin-conjugating	Ubiquitin-conjugating		3	3		7.04792e+06		6.58366e+06		6.55465e+06
O76070ups|SYUG_HUMAN_UPS	Gamma-synuclein	Gamma-synuclein		4	4		2.2247e+07		2.30551e+07		2.41543e+07
P00167ups|CYB5_HUMAN_UPS	Cytochrome	Cytochrome		4	4		1.19197e+07		1.20472e+07		1.22314e+07
P00350	6PGD_ECOLI	gnd	6-phosphogluconate dehydrogenase, decarboxylating	27	27	2.98952e+08	3.06126e+08	2.91388e+08	3.0453e+08	2.80972e+08	2.99442e+08
P00363	FRDA_ECOLI	frdA	Fumarate reductase flavoprotein subunit	27	27	2.59654e+08	2.52778e+08	2.58412e+08	2.57727e+08	2.50588e+08	2.61355e+08
P00370	DHE4_ECOLI	gdhA	NADP-specific glutamate dehydrogenase	10	10	1.68247e+07	1.65285e+07	1.65952e+07	1.60623e+07	1.64813e+07	1.60876e+07
P00393	DHNA_ECOLI	ndh	NADH dehydrogenase	20	20	2.69838e+07	2.78185e+07	2.72992e+07	2.75468e+07	2.69409e+07	2.7687e+07
P00448	SODM_ECOLI	sodA	Superoxide dismutase [Mn]	7	7	4.15893e+07	4.349e+07	4.21163e+07	4.26815e+07	4.0934e+07	4.13892e+07
P00452	RIR1_ECOLI	nrdA	Ribonucleoside-diphosphate reductase 1 subunit alpha	29	29	4.33293e+07	4.35218e+07	4.27463e+07	4.16841e+07	4.33468e+07	4.27538e+07
P00490	PHSM_ECOLI	malP	Maltodextrin phosphorylase	32	32	4.04972e+07	4.1227e+07	3.90477e+07	4.0644e+07	4.02404e+07	4.04641e+07
