Protein.Group	Protein.Names	Genes	First.Protein.Description	N.Sequences	N.Proteotypic.Sequences	/home/lerost/DIA_tools_manuscript/input_files/PXD026600/RD139_Wide_UPS1_0_25fmol_inj2.mzML	/home/lerost/DIA_tools_manuscript/input_files/PXD026600/RD139_Wide_UPS1_50fmol_inj2.mzML	/home/lerost/DIA_tools_manuscript/input_files/PXD026600/RD139_Wide_UPS1_0_25fmol_inj3.mzML	/home/lerost/DIA_tools_manuscript/input_files/PXD026600/RD139_Wide_UPS1_50fmol_inj3.mzML	/home/lerost/DIA_tools_manuscript/input_files/PXD026600/RD139_Wide_UPS1_0_25fmol_inj1.mzML	/home/lerost/DIA_tools_manuscript/input_files/PXD026600/RD139_Wide_UPS1_50fmol_inj1.mzML
DECOY_sp|P14497|TRAF_ECOLI	Protein	Protein		1	1					4.37708e+06	
DECOY_sp|P32138|YIHQ_ECOLI	Alpha-glucosidase	Alpha-glucosidase		1	1		1.10962e+06				
DECOY_sp|P33924|YEJO_ECOLI	Putative	Putative		1	1	8.35814e+06	6.27393e+06				5.08756e+06
O00762ups|UBE2C_HUMAN_UPS	Ubiquitin-conjugating	Ubiquitin-conjugating		7	7		9.81384e+07		9.74161e+07		9.85515e+07
O76070ups|SYUG_HUMAN_UPS	Gamma-synuclein	Gamma-synuclein		11	10		1.58842e+08		1.67436e+08		1.56467e+08
P00167ups|CYB5_HUMAN_UPS	Cytochrome	Cytochrome		5	5		1.38555e+08		1.32866e+08		1.39565e+08
P00350	6PGD_ECOLI	gnd	6-phosphogluconate dehydrogenase, decarboxylating	29	29	3.0277e+08	3.0827e+08	2.96189e+08	3.13623e+08	2.85361e+08	3.06947e+08
P00363	FRDA_ECOLI	frdA	Fumarate reductase flavoprotein subunit	26	26	2.15059e+08	2.08671e+08	2.19013e+08	2.1411e+08	2.1228e+08	2.03163e+08
P00370	DHE4_ECOLI	gdhA	NADP-specific glutamate dehydrogenase	10	10	1.46342e+07	1.49564e+07	1.48464e+07	1.50383e+07	1.44974e+07	1.51422e+07
P00393	DHNA_ECOLI	ndh	NADH dehydrogenase	20	20	2.47026e+07	2.52272e+07	2.45233e+07	2.45322e+07	2.39751e+07	2.32219e+07
P00441ups|SODC_HUMAN_UPS	Superoxide	Superoxide		2	2		5.78878e+07		5.74566e+07		5.30581e+07
P00448	SODM_ECOLI	sodA	Superoxide dismutase [Mn]	8	8	3.89553e+07	4.06917e+07	3.99786e+07	3.93942e+07	3.73192e+07	3.79111e+07
P00452	RIR1_ECOLI	nrdA	Ribonucleoside-diphosphate reductase 1 subunit alpha	29	29	4.09694e+07	4.19357e+07	4.12505e+07	4.2758e+07	4.18105e+07	4.14745e+07
P00490	PHSM_ECOLI	malP	Maltodextrin phosphorylase	32	32	3.84666e+07	3.65694e+07	3.68102e+07	3.51214e+07	3.7375e+07	3.58764e+07
P00509	AAT_ECOLI	aspC	Aspartate aminotransferase	27	27	8.82013e+07	9.64102e+07	9.27704e+07	1.01472e+08	9.1825e+07	9.58122e+07
P00547	KHSE_ECOLI	thrB	Homoserine kinase	3	3	3.31108e+06	3.6656e+06	4.03609e+06	3.56528e+06	3.61094e+06	3.42889e+06
P00550	PTM3C_ECOLI	mtlA	PTS system mannitol-specific EIICBA component	4	4	3.23185e+06	3.17102e+06	3.79534e+06	3.34353e+06	3.81272e+06	3.03314e+06
P00561	AK1H_ECOLI	thrA	Bifunctional aspartokinase/homoserine dehydrogenase 1	12	12	1.17522e+07	1.22868e+07	1.374e+07	1.19126e+07	1.22221e+07	1.21088e+07
P00562	AK2H_ECOLI	metL	Bifunctional aspartokinase/homoserine dehydrogenase 2	15	15	7.37764e+06	7.39453e+06	7.79137e+06	7.29498e+06	7.75144e+06	7.35393e+06
P00579	RPOD_ECOLI	rpoD	RNA polymerase sigma factor RpoD	18	17	8.34766e+07	8.41376e+07	8.53117e+07	9.11462e+07	8.40544e+07	8.85762e+07
P00582	DPO1_ECOLI	polA	DNA polymerase I	41	41	2.35292e+07	2.33926e+07	2.41336e+07	2.32889e+07	2.33889e+07	2.24433e+07
P00709ups|LALBA_HUMAN_UPS	Alpha-lactalbumin	Alpha-lactalbumin		2	2		7.86245e+07		6.86698e+07		7.90215e+07
P00803	LEP_ECOLI	lepB	Signal peptidase I	6	6	1.28883e+07	1.44372e+07	1.34996e+07	1.38018e+07	1.29369e+07	1.42751e+07
