Protein.Group	Protein.Names	Genes	First.Protein.Description	N.Sequences	N.Proteotypic.Sequences	/home/lerost/DIA_tools_manuscript/input_files/PXD026600/RD139_Wide_UPS1_0_1fmol_inj3.mzML	/home/lerost/DIA_tools_manuscript/input_files/PXD026600/RD139_Wide_UPS1_1fmol_inj1.mzML	/home/lerost/DIA_tools_manuscript/input_files/PXD026600/RD139_Wide_UPS1_0_1fmol_inj2.mzML	/home/lerost/DIA_tools_manuscript/input_files/PXD026600/RD139_Wide_UPS1_1fmol_inj2.mzML	/home/lerost/DIA_tools_manuscript/input_files/PXD026600/RD139_Wide_UPS1_0_1fmol_inj1.mzML	/home/lerost/DIA_tools_manuscript/input_files/PXD026600/RD139_Wide_UPS1_1fmol_inj3.mzML
DECOY_sp|P29745|PEPT_ECOLI	Peptidase	Peptidase		1	1	6.38938e+07		8.84223e+07	9.18823e+07		8.22263e+07
DECOY_sp|P37005|LAST_ECOLI	Uncharacterized	Uncharacterized		1	1					4.61289e+06	
DECOY_sp|P63389|YHES_ECOLI	Uncharacterized	Uncharacterized		1	1	9.78046e+06		1.01304e+07	9.55301e+06	9.85579e+06	8.97141e+06
O00762ups|UBE2C_HUMAN_UPS	Ubiquitin-conjugating	Ubiquitin-conjugating		1	1				915887		620204
O76070ups|SYUG_HUMAN_UPS	Gamma-synuclein	Gamma-synuclein		1	1		839740				588114
P00350	6PGD_ECOLI	gnd	6-phosphogluconate dehydrogenase, decarboxylating	28	28	3.4055e+08	3.2646e+08	3.40084e+08	3.31052e+08	3.28909e+08	3.3106e+08
P00363	FRDA_ECOLI	frdA	Fumarate reductase flavoprotein subunit	28	28	2.17366e+08	2.18181e+08	2.02789e+08	2.15164e+08	2.14002e+08	2.15946e+08
P00370	DHE4_ECOLI	gdhA	NADP-specific glutamate dehydrogenase	10	10	1.52406e+07	1.4529e+07	1.42709e+07	1.46169e+07	1.53642e+07	1.44054e+07
P00393	DHNA_ECOLI	ndh	NADH dehydrogenase	19	19	2.33024e+07	2.24964e+07	2.30426e+07	2.30035e+07	2.37854e+07	2.28542e+07
P00448	SODM_ECOLI	sodA	Superoxide dismutase [Mn]	8	8	4.70866e+07	4.36085e+07	4.31958e+07	4.40525e+07	4.49919e+07	4.50016e+07
P00452	RIR1_ECOLI	nrdA	Ribonucleoside-diphosphate reductase 1 subunit alpha	33	33	4.09271e+07	4.0139e+07	4.14624e+07	4.00885e+07	4.18923e+07	4.03941e+07
P00490	PHSM_ECOLI	malP	Maltodextrin phosphorylase	30	30	3.74186e+07	3.75864e+07	3.88308e+07	3.80297e+07	3.84736e+07	3.75545e+07
P00509	AAT_ECOLI	aspC	Aspartate aminotransferase	27	27	9.80383e+07	9.37729e+07	9.56298e+07	9.57696e+07	9.46828e+07	9.54407e+07
P00547	KHSE_ECOLI	thrB	Homoserine kinase	3	3		3.23159e+06	2.77444e+06	2.71908e+06	2.76352e+06	3.30697e+06
P00550	PTM3C_ECOLI	mtlA	PTS system mannitol-specific EIICBA component	4	4	3.63925e+06	3.70231e+06	3.89172e+06	3.63878e+06	3.6113e+06	4.06382e+06
P00561	AK1H_ECOLI	thrA	Bifunctional aspartokinase/homoserine dehydrogenase 1	13	13	1.28244e+07	1.27451e+07	1.28034e+07	1.28515e+07	1.28676e+07	1.33168e+07
