Protein.Group	Protein.Ids	Protein.Names	Genes	First.Protein.Description	/home/lerost/DIA_tools_manuscript/input_files/PXD026600/RD139_Wide_UPS1_0_25fmol_inj2.mzML	/home/lerost/DIA_tools_manuscript/input_files/PXD026600/RD139_Wide_UPS1_0_1fmol_inj2.mzML	/home/lerost/DIA_tools_manuscript/input_files/PXD026600/RD139_Wide_UPS1_0_25fmol_inj3.mzML	/home/lerost/DIA_tools_manuscript/input_files/PXD026600/RD139_Wide_UPS1_0_1fmol_inj3.mzML	/home/lerost/DIA_tools_manuscript/input_files/PXD026600/RD139_Wide_UPS1_0_25fmol_inj1.mzML	/home/lerost/DIA_tools_manuscript/input_files/PXD026600/RD139_Wide_UPS1_0_1fmol_inj1.mzML
DECOY_sp|P04036|DAPB_ECOLI 4-hydroxy-tetrahydrodipicolinate reductase OS=Escherichia coli (strain K12) GN=dapB PE=1 SV=1	DECOY_sp|P04036|DAPB_ECOLI 4-hydroxy-tetrahydrodipicolinate reductase OS=Escherichia coli (strain K12) GN=dapB PE=1 SV=1				2.14627e+06	2.17651e+06	2.06117e+06	1.96843e+06	1.97841e+06	1.90688e+06
DECOY_sp|P09394|GLPQ_ECOLI Glycerophosphoryl diester phosphodiesterase OS=Escherichia coli (strain K12) GN=glpQ PE=1 SV=2	DECOY_sp|P09394|GLPQ_ECOLI Glycerophosphoryl diester phosphodiesterase OS=Escherichia coli (strain K12) GN=glpQ PE=1 SV=2				1.28892e+06	1.22316e+06	1.14877e+06	1.29528e+06	883124	1.10186e+06
DECOY_sp|P0A6P5|DER_ECOLI GTPase Der OS=Escherichia coli (strain K12) GN=der PE=1 SV=1	DECOY_sp|P0A6P5|DER_ECOLI GTPase Der OS=Escherichia coli (strain K12) GN=der PE=1 SV=1						3.0056e+06	2.39613e+06		
DECOY_sp|P0AA95|YACC_ECOLI Uncharacterized protein YacC OS=Escherichia coli (strain K12) GN=yacC PE=4 SV=1	DECOY_sp|P0AA95|YACC_ECOLI Uncharacterized protein YacC OS=Escherichia coli (strain K12) GN=yacC PE=4 SV=1				1.30806e+07	1.47716e+07	1.24259e+07	1.35194e+07	1.25863e+07	1.43104e+07
DECOY_sp|P21888|SYC_ECOLI Cysteine--tRNA ligase OS=Escherichia coli (strain K12) GN=cysS PE=1 SV=2	DECOY_sp|P21888|SYC_ECOLI Cysteine--tRNA ligase OS=Escherichia coli (strain K12) GN=cysS PE=1 SV=2				419214	474628	393745	419736	367958	432533
DECOY_sp|P37653|BCSA_ECOLI Cellulose synthase catalytic subunit [UDP-forming] OS=Escherichia coli (strain K12) GN=bcsA PE=1 SV=3	DECOY_sp|P37653|BCSA_ECOLI Cellulose synthase catalytic subunit [UDP-forming] OS=Escherichia coli (strain K12) GN=bcsA PE=1 SV=3				557173	545956	611686	695436	668256	782797
DECOY_sp|P63389|YHES_ECOLI Uncharacterized ABC transporter ATP-binding protein YheS OS=Escherichia coli (strain K12) GN=yheS PE=1 SV=1	DECOY_sp|P63389|YHES_ECOLI Uncharacterized ABC transporter ATP-binding protein YheS OS=Escherichia coli (strain K12) GN=yheS PE=1 SV=1				3.52476e+06	3.85587e+06	3.88856e+06	4.12502e+06	3.2642e+06	4.07316e+06
DECOY_sp|P77348|MPPA_ECOLI Periplasmic murein peptide-binding protein OS=Escherichia coli (strain K12) GN=mppA PE=1 SV=2	DECOY_sp|P77348|MPPA_ECOLI Periplasmic murein peptide-binding protein OS=Escherichia coli (strain K12) GN=mppA PE=1 SV=2				1.80228e+06	1.91883e+06	1.93715e+06	1.83853e+06	1.68146e+06	1.8504e+06
DECOY_sp|P77366|PGMB_ECOLI Beta-phosphoglucomutase OS=Escherichia coli (strain K12) GN=ycjU PE=1 SV=1	DECOY_sp|P77366|PGMB_ECOLI Beta-phosphoglucomutase OS=Escherichia coli (strain K12) GN=ycjU PE=1 SV=1				2.8278e+06	3.01425e+06	2.82791e+06	2.86889e+06	2.93461e+06	2.98435e+06
P00350	P00350		gnd		3.56777e+07	3.53952e+07	3.56065e+07	3.59361e+07	3.52322e+07	3.52429e+07
P00363	P00363		frdA		4.58896e+07	4.46309e+07	4.63531e+07	4.54958e+07	4.67369e+07	4.55789e+07
P00370	P00370		gdhA		2.16851e+06	2.20593e+06	2.16576e+06	2.21758e+06	2.21579e+06	2.28722e+06
P00393	P00393		ndh		5.39718e+06	5.65864e+06	5.47598e+06	5.69816e+06	5.26462e+06	5.5018e+06
P00448	P00448		sodA		3.16209e+06	3.18708e+06	3.30747e+06	3.374e+06	3.01895e+06	3.24703e+06
P00452	P00452		nrdA		3.61432e+07	3.66287e+07	3.66402e+07	3.65206e+07	3.67303e+07	3.66405e+07
P00490	P00490		malP		5.77712e+06	5.81973e+06	5.75207e+06	5.55468e+06	5.7349e+06	5.67222e+06
P00509	P00509		aspC		1.80661e+07	1.82214e+07	1.82127e+07	1.8398e+07	1.79757e+07	1.80693e+07
P00547	P00547		thrB		1.75043e+06	1.49966e+06	1.80161e+06	1.53038e+06	1.68838e+06	1.62479e+06
P00550	P00550		mtlA		818299	812881	877654	836674	863588	767382
P00561	P00561		thrA		2.9747e+06	3.06298e+06	3.05616e+06	3.06553e+06	3.23682e+06	3.04059e+06
P00562	P00562		metL		2.62773e+06	2.75289e+06	2.62782e+06	2.73529e+06	2.76404e+06	2.82607e+06
P00579	P00579		rpoD		8.43363e+06	7.76715e+06	8.4559e+06	7.54485e+06	8.40419e+06	7.78904e+06
P00582	P00582		polA		4.47267e+06	4.49241e+06	4.39824e+06	4.39528e+06	4.21611e+06	4.33777e+06
P00803	P00803		lepB		4.3218e+06	4.27414e+06	4.41206e+06	4.13341e+06	4.35459e+06	4.10313e+06
P00805	P00805		ansB		2.06253e+07	2.03085e+07	2.02824e+07	2.03574e+07	2.035e+07	1.9936e+07
P00811	P00811		ampC		1.50191e+06	1.52495e+06	1.61507e+06	1.6057e+06	1.37572e+06	1.61727e+06
P00864	P00864		ppc		1.1123e+07	1.10863e+07	1.10356e+07	1.10721e+07	1.11537e+07	1.10512e+07
P00887	P00887		aroH		1.50897e+06	1.31697e+06	1.45879e+06	1.45554e+06	1.45209e+06	1.59916e+06
P00888	P00888		aroF		1.94128e+06	1.91654e+06	1.81739e+06	1.90427e+06	1.9199e+06	1.88106e+06
P00934	P00934		thrC		4.41701e+06	4.57858e+06	4.24393e+06	4.33731e+06	4.25678e+06	4.53365e+06
P00935	P00935		metB		732895	768093	577178	591226	740032	653307
P00936	P00936		cyaA		714778	734163	836761	869925	854351	814565
P00946	P00946		manA		1.10555e+07	1.08896e+07	1.10442e+07	1.09918e+07	1.11476e+07	1.1302e+07
P00954	P00954		trpS		1.18565e+07	1.13994e+07	1.13522e+07	1.12185e+07	1.12551e+07	1.10063e+07
P00956	P00956		ileS		2.45983e+07	2.4029e+07	2.4533e+07	2.41305e+07	2.5261e+07	2.41534e+07
P00957	P00957		alaS		1.65762e+07	1.61336e+07	1.65284e+07	1.63987e+07	1.62909e+07	1.58851e+07
P00959	P00959		metG		1.81809e+07	1.82482e+07	1.82628e+07	1.82011e+07	1.8374e+07	1.80695e+07
P00960	P00960		glyQ		4.66801e+06	4.91669e+06	4.76966e+06	4.9814e+06	4.62839e+06	4.72576e+06
P00961	P00961		glyS		1.06856e+07	1.08286e+07	1.08057e+07	1.09838e+07	1.08256e+07	1.10164e+07
P00962	P00962		glnS		9.70142e+06	9.48824e+06	9.74841e+06	9.72604e+06	9.70529e+06	9.68312e+06
P00963	P00963		asnA		1.36833e+07	1.44949e+07	1.426e+07	1.44098e+07	1.36005e+07	1.48729e+07
P00968	P00968		carB		4.25366e+06	4.20619e+06	4.33644e+06	4.30853e+06	4.28909e+06	4.20601e+06
P02358	P02358		rpsF		9.73697e+07	8.63538e+07	9.80029e+07	8.74434e+07	9.35166e+07	8.67758e+07
P02359	P02359		rpsG		1.32918e+08	1.32234e+08	1.3305e+08	1.33486e+08	1.34212e+08	1.31654e+08
P02413	P02413		rplO		1.25197e+08	1.23127e+08	1.28845e+08	1.19235e+08	1.26617e+08	1.22223e+08
P02918	P02918		mrcA		1.63637e+06	1.67152e+06	1.59994e+06	1.6592e+06	1.65408e+06	1.78504e+06
P02919	P02919		mrcB		1.5689e+06	1.59025e+06	1.48985e+06	1.49564e+06	1.57052e+06	1.59083e+06
P02925	P02925		rbsB		6.00212e+06	5.95175e+06	5.97355e+06	6.05908e+06	5.97772e+06	5.87083e+06
P02930	P02930		tolC		2.36579e+07	2.24207e+07	2.36644e+07	2.32377e+07	2.31374e+07	2.20679e+07
P02931	P02931		ompF		3.74747e+07	3.6563e+07	3.73185e+07	3.69841e+07	3.61053e+07	3.58349e+07
P02942	P02942		tsr		1.05937e+07	1.03728e+07	1.03078e+07	1.00997e+07	1.0528e+07	1.00506e+07
P02943	P02943		lamB		1.43196e+06	1.3781e+06	1.54794e+06	1.45036e+06	1.43348e+06	1.50016e+06
P03004	P03004		dnaA		1.92288e+06	1.85713e+06	1.9327e+06	1.84922e+06	1.8771e+06	1.86407e+06
P03018	P03018		uvrD		3.99733e+06	4.11407e+06	4.15629e+06	4.11031e+06	4.25741e+06	4.07797e+06
P03817	P03817		mioC		8.07063e+06	7.92197e+06	7.98216e+06	7.4659e+06	7.94655e+06	7.96613e+06
P03841	P03841		malM		9.75844e+06	9.3217e+06	9.67004e+06	9.5929e+06	9.64569e+06	9.48787e+06
P04036	P04036		dapB		5.35242e+06	4.51719e+06	4.85518e+06	4.70206e+06	5.39698e+06	4.63932e+06
P04079	P04079		guaA		1.95171e+07	1.96673e+07	1.94982e+07	1.93836e+07	1.94758e+07	1.98481e+07
P04335	P04335		frsA		4.43311e+06	4.31455e+06	4.4571e+06	4.06932e+06	4.30437e+06	4.34784e+06
P04425	P04425		gshB		8.77334e+06	8.39153e+06	8.74096e+06	8.55337e+06	8.7227e+06	8.26266e+06
P04693	P04693		tyrB		3.51393e+06	3.42729e+06	3.55073e+06	3.49069e+06	3.26002e+06	3.31804e+06
P04805	P04805		gltX		2.1746e+07	2.20311e+07	2.16282e+07	2.18522e+07	2.23157e+07	2.29207e+07
P04825	P04825		pepN		1.514e+07	1.50979e+07	1.52688e+07	1.55155e+07	1.52826e+07	1.57042e+07
P04846	P04846		nlpA		3.20483e+06	3.0767e+06	3.25026e+06	3.32309e+06	3.15703e+06	3.24832e+06
P04949	P04949		fliC		3.93297e+07	3.53483e+07	3.85208e+07	3.6822e+07	3.81183e+07	3.42834e+07
P04951	P04951		kdsB		4.07722e+06	4.0775e+06	4.02262e+06	3.87999e+06	4.10398e+06	4.19672e+06
P04982	P04982		rbsD		1.66319e+06	1.5997e+06	1.60324e+06	1.57693e+06	1.68501e+06	1.57666e+06
P04995	P04995		sbcB		1.25258e+07	1.16451e+07	1.21318e+07	1.20922e+07	1.18796e+07	1.21218e+07
P05020	P05020		pyrC		6.25301e+06	6.19972e+06	6.34157e+06	6.07707e+06	6.31759e+06	6.29706e+06
P05041	P05041		pabB		1.65547e+06	1.56643e+06	1.72321e+06	1.58243e+06	1.76983e+06	1.4549e+06
P05055	P05055		pnp		3.83433e+07	3.56533e+07	3.77245e+07	3.61943e+07	3.78101e+07	3.60256e+07
P05100	P05100		tag		1.56971e+06	1.47927e+06	1.3091e+06	1.21821e+06	1.48534e+06	1.70619e+06
P05194	P05194		aroD		1.02138e+06	831504	966717	975902	980307	1.02052e+06
P05458	P05458		ptrA		940472	901658	905842	867141	930821	901791
P05459	P05459		pdxB		5.7568e+06	5.66543e+06	5.83612e+06	5.61416e+06	5.38473e+06	5.67574e+06
P05637	P05637		apaH		2.35753e+06	2.54631e+06	2.60635e+06	2.48188e+06	2.09592e+06	2.43984e+06
P05719	P05719		hsdS		1.18581e+06	1.17979e+06	1.17699e+06	1.18274e+06	1.36974e+06	1.15816e+06
P05791	P05791		ilvD		2.7081e+06	2.91406e+06	2.79253e+06	2.78104e+06	2.92538e+06	2.9199e+06
P05793	P05793		ilvC		6.66738e+06	6.27166e+06	6.64278e+06	6.20236e+06	6.85038e+06	6.41757e+06
P05825	P05825		fepA		1.59286e+06	1.56739e+06	1.65349e+06	1.55866e+06	1.60463e+06	1.55032e+06
P05852	P05852		gcp		2.6319e+06	2.62237e+06	2.66477e+06	2.47495e+06	2.72015e+06	2.50938e+06
P06129	P06129		btuB		1.28851e+07	1.27415e+07	1.32195e+07	1.32497e+07	1.30265e+07	1.2983e+07
P06149	P06149		dld		6.04558e+06	6.21485e+06	6.16688e+06	6.15861e+06	6.04988e+06	5.79325e+06
P06282	P06282		cdh		2.32581e+06	2.40198e+06	2.3894e+06	2.31526e+06	2.26101e+06	2.32638e+06
P06610	P06610		btuE		6.74374e+06	6.35945e+06	6.58906e+06	6.41448e+06	6.4207e+06	6.52879e+06
P06612	P06612		topA		5.62782e+06	5.66165e+06	5.49974e+06	5.68496e+06	5.60939e+06	5.73077e+06
P06616	P06616		era		3.9663e+06	3.75687e+06	3.92996e+06	3.83018e+06	3.73994e+06	3.76445e+06
P06709	P06709		birA		994064	937841	968811	1.03739e+06	1.09171e+06	1.11674e+06
P06710	P06710		dnaX		1.35696e+06	1.3668e+06	1.35169e+06	1.30113e+06	1.45305e+06	1.38244e+06
P06715	P06715		gor		3.05433e+06	3.0616e+06	3.04401e+06	3.1555e+06	3.09126e+06	3.08692e+06
P06722	P06722		mutH		482044	493700	482219	468552	494482	540032
P06846	P06846		ebgR		1.31445e+06	1.21766e+06	1.31919e+06	1.27323e+06	1.25034e+06	1.28993e+06
P06959	P06959		aceF		6.15882e+07	5.84543e+07	6.03981e+07	5.79293e+07	6.13408e+07	5.78724e+07
P06961	P06961		cca		882618	1.02498e+06	1.01266e+06	1.01332e+06	1.01205e+06	1.03303e+06
P06968	P06968		dut		8.2412e+06	8.01365e+06	8.0843e+06	8.18713e+06	7.77513e+06	7.69311e+06
P06971	P06971		fhuA		1.39773e+07	1.34433e+07	1.34577e+07	1.32894e+07	1.37107e+07	1.35652e+07
P06974	P06974		fliM		1.67316e+06	1.78433e+06	1.70808e+06	1.73448e+06	1.63966e+06	1.75389e+06
P06983	P06983		hemC		1.25143e+07	1.2067e+07	1.23002e+07	1.20372e+07	1.23091e+07	1.18047e+07
P06986	P06986		hisC		4.37986e+06	4.36181e+06	4.27277e+06	4.26879e+06	4.14057e+06	4.12509e+06
P06987	P06987		hisB		1.21848e+06	1.16791e+06	1.16787e+06	1.22584e+06	1.14881e+06	1.15832e+06
P06988	P06988		hisD		1.68627e+06	1.57333e+06	1.63272e+06	1.59017e+06	1.65593e+06	1.6881e+06
P06992	P06992		rsmA		2.11984e+06	2.16827e+06	2.05404e+06	2.1915e+06	1.97092e+06	2.14971e+06
P06996	P06996		ompC		2.19702e+08	2.15972e+08	2.16596e+08	2.15383e+08	2.18817e+08	2.05574e+08
P06999	P06999		pfkB		1.10939e+06	1.18144e+06	1.13229e+06	1.19218e+06	1.18049e+06	1.27157e+06
P07000	P07000		pldB		642976	497511	607062	560126	562347	533276
P07001	P07001		pntA		3.27095e+06	3.36841e+06	3.32391e+06	3.25181e+06	3.07498e+06	3.29863e+06
P07003	P07003		poxB		2.41331e+06	2.41645e+06	2.36328e+06	2.47858e+06	2.24587e+06	2.40765e+06
P07004	P07004		proA		2.52476e+07	2.54284e+07	2.54375e+07	2.55134e+07	2.57387e+07	2.53091e+07
P07012	P07012		prfB		9.25755e+06	8.71217e+06	9.10953e+06	9.1505e+06	9.22318e+06	8.84012e+06
P07014	P07014		sdhB		1.66813e+06	1.70695e+06	1.75276e+06	1.65295e+06	1.59532e+06	1.54217e+06
P07017	P07017		tar		3.15003e+06	3.35933e+06	3.24056e+06	3.24195e+06	3.1263e+06	3.17918e+06
P07021	P07021		yfiB		827102	804598	799659	782846	783282	761006
P07023	P07023		tyrA		2.24125e+06	2.33836e+06	2.28333e+06	2.34573e+06	2.23528e+06	2.33633e+06
P07024	P07024		ushA		4.76283e+06	4.81119e+06	4.61986e+06	4.61316e+06	4.62029e+06	4.70443e+06
P07026	P07026		sdiA		1.79366e+06	1.76864e+06	1.74482e+06	1.69179e+06	1.6225e+06	1.66708e+06
P07118	P07118		valS		1.92568e+07	1.87944e+07	1.91632e+07	1.90442e+07	1.95581e+07	1.8935e+07
P07330	P07330		cheB		1.01652e+06	972371	989345	1.01101e+06	972479	1.08962e+06
P07363	P07363		cheA		1.7256e+06	1.69032e+06	1.72218e+06	1.74486e+06	1.71226e+06	1.70179e+06
P07395	P07395		pheT		1.50247e+07	1.52474e+07	1.4716e+07	1.52021e+07	1.49181e+07	1.52824e+07
P07604	P07604		tyrR		2.28006e+06	2.27958e+06	2.30262e+06	2.18359e+06	2.35549e+06	2.26648e+06
P07639	P07639		aroB		3.27223e+06	3.37118e+06	3.228e+06	3.27471e+06	3.23715e+06	3.14672e+06
P07649	P07649		truA		1.87284e+06	1.95869e+06	1.90867e+06	1.98377e+06	1.86768e+06	1.8467e+06
P07650	P07650		deoA		5.60717e+06	5.6803e+06	5.6972e+06	5.77603e+06	5.59606e+06	5.66441e+06
P07658	P07658		fdhF		749783	780331	789832	804626	819102	736135
P07762	P07762		glgB		3.02029e+06	2.95587e+06	3.04139e+06	2.93654e+06	2.99739e+06	3.03241e+06
P07813	P07813		leuS		1.57522e+07	1.53571e+07	1.56148e+07	1.55297e+07	1.58261e+07	1.5687e+07
P07821	P07821		fhuC		582268	533867	585734	519825	599867	587353
P07862	P07862		ddlB		2.05641e+06	2.04658e+06	2.08594e+06	2.12384e+06	2.08247e+06	2.20547e+06
P07913	P07913		tdh		3.16922e+06	3.24902e+06	3.11867e+06	3.36814e+06	3.1748e+06	3.24196e+06
P08178	P08178		purM		1.67491e+06	1.52639e+06	1.60394e+06	1.71204e+06	1.50558e+06	1.49873e+06
P08189	P08189		fimF		1.33382e+06	987341	1.25463e+06	1.15104e+06	1.32889e+06	1.06522e+06
P08190	P08190		fimG		2.08243e+06	1.96458e+06	2.07912e+06	2.21618e+06	2.11763e+06	2.19529e+06
P08191	P08191		fimH		2.80925e+06	3.10287e+06	2.70687e+06	2.95138e+06	2.52025e+06	2.8999e+06
P08192	P08192		folC		2.82377e+06	2.85336e+06	2.85595e+06	2.90786e+06	2.7799e+06	2.76738e+06
P08200	P08200		icd		2.40868e+07	2.35046e+07	2.38301e+07	2.35085e+07	2.42071e+07	2.39305e+07
P08201	P08201		nirB		5.12427e+06	5.19435e+06	5.09128e+06	5.12293e+06	5.08258e+06	5.19579e+06
P08244	P08244		pyrF		9.61928e+06	9.82886e+06	9.46714e+06	9.62113e+06	9.80408e+06	9.64586e+06
P08245	P08245		yciH		700973	706019	670829	728852	733919	722556
P08312	P08312		pheS		1.32892e+07	1.30749e+07	1.32716e+07	1.32462e+07	1.33318e+07	1.32277e+07
P08331	P08331		cpdB		3.29472e+06	3.25906e+06	3.30468e+06	3.3296e+06	3.3297e+06	3.26925e+06
P08337	P08337		mutT		1.07618e+06	1.09375e+06	973399	1.01629e+06	972252	1.09272e+06
P08373	P08373		murB		1.54052e+06	1.74474e+06	1.64313e+06	1.69276e+06	1.6262e+06	1.80859e+06
P08390	P08390		usg		5.18499e+06	4.97772e+06	5.40418e+06	4.97216e+06	5.29008e+06	5.03408e+06
P08395	P08395		sppA		3.17017e+06	3.12229e+06	3.03569e+06	3.28103e+06	3.09401e+06	3.33973e+06
P08506	P08506		dacC		5.71402e+06	5.83668e+06	5.70664e+06	5.7714e+06	5.73622e+06	5.83993e+06
P08622	P08622		dnaJ		5.86747e+06	5.73536e+06	5.85222e+06	5.79696e+06	5.97579e+06	5.74462e+06
P08660	P08660		lysC		2.74089e+06	2.98437e+06	2.87544e+06	2.78844e+06	2.79219e+06	2.96712e+06
P08839	P08839		ptsI		3.53736e+07	3.34199e+07	3.50143e+07	3.36197e+07	3.51836e+07	3.39486e+07
P08956	P08956		hsdR		1.47264e+06	1.5783e+06	1.43956e+06	1.45851e+06	1.51822e+06	1.37415e+06
P08957	P08957		hsdM		9.46645e+06	9.61916e+06	9.67382e+06	9.64367e+06	9.61003e+06	9.69174e+06
P09029	P09029		purK		941741	1.10801e+06	931662	1.05032e+06	929718	1.02623e+06
P09030	P09030		xthA		2.75641e+06	2.81645e+06	2.79922e+06	2.82427e+06	2.71146e+06	2.84141e+06
P09053	P09053		avtA		1.80866e+06	1.75858e+06	1.8578e+06	1.73782e+06	1.89864e+06	1.79422e+06
P09126	P09126		hemD		1.65845e+06	1.82863e+06	1.69257e+06	1.79596e+06	1.80308e+06	1.84781e+06
P09127	P09127		hemX		1.15473e+07	1.14064e+07	1.16704e+07	1.17903e+07	1.13783e+07	1.13602e+07
P09147	P09147		galE		8.49153e+06	8.17236e+06	8.49994e+06	8.41172e+06	8.32093e+06	8.42393e+06
P09148	P09148		galT		1.81366e+06	1.91273e+06	1.87643e+06	1.78566e+06	1.81895e+06	1.86467e+06
P09152	P09152		narG		3.33513e+06	3.29076e+06	3.4019e+06	3.31123e+06	3.19172e+06	3.25541e+06
P09155	P09155		rnd		2.20223e+06	2.36961e+06	2.25894e+06	2.22869e+06	2.27624e+06	2.27358e+06
P09158	P09158		speE		6.88807e+06	6.89195e+06	6.77462e+06	7.21894e+06	6.60393e+06	6.80005e+06
P09169	P09169		ompT		5.38565e+06	5.26657e+06	5.46468e+06	5.53517e+06	5.2108e+06	5.44508e+06
P09323	P09323		nagE		2.98809e+06	3.22896e+06	2.96307e+06	3.27826e+06	2.88124e+06	3.67523e+06
P09372	P09372		grpE		4.60934e+07	4.56013e+07	4.62448e+07	4.55797e+07	4.73327e+07	4.28305e+07
P09373	P09373		pflB		2.64096e+08	2.33763e+08	2.61616e+08	2.32546e+08	2.58599e+08	2.28346e+08
P09394	P09394		glpQ		5.38931e+06	5.39528e+06	5.46558e+06	5.47682e+06	5.38622e+06	5.33701e+06
P09424	P09424		mtlD		2.09518e+06	2.22987e+06	2.14179e+06	2.29852e+06	2.15243e+06	2.17808e+06
P09546	P09546		putA		1.8403e+06	1.70705e+06	1.75724e+06	1.83225e+06	1.72743e+06	1.74865e+06
P09549	P09549		dedD		1.32398e+06	1.2399e+06	1.26774e+06	1.2814e+06	1.28768e+06	1.32267e+06
